labrus_bergylta ENSLBEG00000026616
cynoglossus_semilaevis ENSCSEG00000016669
seriola_dumerili ENSSDUG00000017632
seriola_lalandi_dorsalis ENSSLDG00000008181
scophthalmus_maximus ENSSMAG00000001570
amphiprion_ocellaris ENSAOCG00000017451
amphiprion_percula ENSAPEG00000000841
acanthochromis_polyacanthus ENSAPOG00000004490
stegastes_partitus ENSSPAG00000009464
mola_mola ENSMMOG00000009885
kryptolebias_marmoratus ENSKMAG00000004494
cyprinodon_variegatus ENSCVAG00000015997
gasterosteus_aculeatus ENSGACG00000019386
poecilia_formosa ENSPFOG00000003354
poecilia_mexicana ENSPMEG00000019468
poecilia_latipinna ENSPLAG00000019481
poecilia_reticulata ENSPREG00000016614
gambusia_affinis ENSGAFG00000020007
xiphophorus_maculatus ENSXMAG00000021110
fundulus_heteroclitus ENSFHEG00000015604
oryzias_latipes_asm223467v1 ENSORLG00000023988
oryzias_latipes_asm223471v1 ENSORLG00020022276
oryzias_melastigma ENSOMEG00000017030
pundamilia_nyererei ENSPNYG00000019862
haplochromis_burtoni ENSHBUG00000002777
astatotilapia_calliptera ENSACLG00000012549
maylandia_zebra ENSMZEG00005007358
neolamprologus_brichardi ENSNBRG00000019703
oreochromis_niloticus ENSONIG00000011922
amphilophus_citrinellus ENSACIG00000024455
takifugu_rubripes ENSTRUG00000006822
tetraodon_nigroviridis ENSTNIG00000019834
monopterus_albus ENSMALG00000012917
mastacembelus_armatus ENSMAMG00000023425
anabas_testudineus ENSATEG00000001017
periophthalmus_magnuspinnatus ENSPMGG00000008645
gadus_morhua ENSGMOG00000013126
esox_lucius ENSELUG00000004495
pygocentrus_nattereri ENSPNAG00000004310
astyanax_mexicanus ENSAMXG00000004083
ictalurus_punctatus ENSIPUG00000015450
danio_rerio ENSDARG00000015222
pygocentrus_nattereri ENSPNAG00000020874
astyanax_mexicanus ENSAMXG00000009402
ictalurus_punctatus ENSIPUG00000006567
paramormyrops_kingsleyae ENSPKIG00000016867
paramormyrops_kingsleyae ENSPKIG00000015766
scleropages_formosus ENSSFOG00015000266
lepisosteus_oculatus ENSLOCG00000015804
