cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005543
cricetulus_griseus_crigri-picr ENSCGRG00015025698
meriones_unguiculatus ENSMUGG00000008250
spermophilus_dauricus ENSSDAG00000021051
spermophilus_dauricus ENSSDAG00000003414
urocitellus_parryii ENSUPAG00010003857
marmota_marmota_marmota ENSMMMG00000007496
marmota_marmota_marmota ENSMMMG00000005889
marmota_marmota_marmota ENSMMMG00000023176
theropithecus_gelada ENSTGEG00000003816
theropithecus_gelada ENSTGEG00000007891
piliocolobus_tephrosceles ENSPTEG00000027924
vulpes_vulpes ENSVVUG00000001347
canis_lupus_dingo ENSCAFG00020005671
vulpes_vulpes ENSVVUG00000011880
neovison_vison ENSNVIG00000014492
ursus_maritimus ENSUMAG00000004311
ursus_americanus ENSUAMG00000010438
felis_catus ENSFCAG00000036756
panthera_pardus ENSPPRG00000016308
panthera_tigris_altaica ENSPTIG00000004708
felis_catus ENSFCAG00000039577
bos_taurus ENSBTAG00000053775
bos_mutus ENSBMUG00000009697
bison_bison_bison ENSBBBG00000004209
capra_hircus ENSCHIG00000009015
sus_scrofa ENSSSCG00000035013
equus_caballus ENSECAG00000033943
equus_asinus_asinus ENSEASG00005004709
phascolarctos_cinereus ENSPCIG00000027956
