pundamilia_nyererei ENSPNYG00000001972
astatotilapia_calliptera ENSACLG00000003662
poecilia_latipinna ENSPLAG00000003304
ictalurus_punctatus ENSIPUG00000008517
ictalurus_punctatus ENSIPUG00000006266
ictalurus_punctatus ENSIPUG00000012240
ictalurus_punctatus ENSIPUG00000011752
anolis_carolinensis ENSACAG00000007632
pogona_vitticeps ENSPVIG00000002909
salvator_merianae ENSSMRG00000019232
notechis_scutatus ENSNSUG00000019823
gopherus_agassizii ENSGAGG00000001855
chelonoidis_abingdonii ENSCABG00000014669
chrysemys_picta_bellii ENSCPBG00000017474
notamacropus_eugenii ENSMEUG00000004135
phascolarctos_cinereus ENSPCIG00000027897
monodelphis_domestica ENSMODG00000010037
sarcophilus_harrisii ENSSHAG00000002075
castor_canadensis ENSCCNG00000016618
dipodomys_ordii ENSDORG00000023524
peromyscus_maniculatus_bairdii ENSPEMG00000010225
microtus_ochrogaster ENSMOCG00000005351
cricetulus_griseus_crigri-picr ENSCGRG00015007227
cricetulus_griseus_crigri_1.0 ENSCGRG00000015536
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010240
mesocricetus_auratus ENSMAUG00000009222
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034049
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031155
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032901
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031449
rattus_norvegicus ENSRNOG00000008177
nannospalax_galili ENSNGAG00000001210
jaculus_jaculus ENSJJAG00000017188
jaculus_jaculus ENSJJAG00000015907
ictidomys_tridecemlineatus ENSSTOG00000014191
urocitellus_parryii ENSUPAG00010002998
spermophilus_dauricus ENSSDAG00000021399
chinchilla_lanigera ENSCLAG00000005773
octodon_degus ENSODEG00000009339
cavia_aperea ENSCAPG00000009896
cavia_porcellus ENSCPOG00000006111
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012484
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001519
fukomys_damarensis ENSFDAG00000019807
oryctolagus_cuniculus ENSOCUG00000015757
ochotona_princeps ENSOPRG00000010294
rhinopithecus_bieti ENSRBIG00000043349
rhinopithecus_roxellana ENSRROG00000035407
colobus_angolensis_palliatus ENSCANG00000029724
piliocolobus_tephrosceles ENSPTEG00000013683
macaca_fascicularis ENSMFAG00000032689
macaca_nemestrina ENSMNEG00000036646
cercocebus_atys ENSCATG00000038525
mandrillus_leucophaeus ENSMLEG00000029129
theropithecus_gelada ENSTGEG00000003170
papio_anubis ENSPANG00000009952
chlorocebus_sabaeus ENSCSAG00000013149
pan_troglodytes ENSPTRG00000021875
pan_paniscus ENSPPAG00000041108
homo_sapiens ENSG00000102096
gorilla_gorilla ENSGGOG00000011440
pongo_abelii ENSPPYG00000020326
nomascus_leucogenys ENSNLEG00000007927
cebus_capucinus_imitator ENSCCAG00000024329
callithrix_jacchus ENSCJAG00000002488
saimiri_boliviensis_boliviensis ENSSBOG00000013515
aotus_nancymaae ENSANAG00000025623
carlito_syrichta ENSTSYG00000030255
carlito_syrichta ENSTSYG00000010030
propithecus_coquereli ENSPCOG00000016885
prolemur_simus ENSPSMG00000016892
microcebus_murinus ENSMICG00000043000
otolemur_garnettii ENSOGAG00000009613
tupaia_belangeri ENSTBEG00000008924
ovis_aries ENSOARG00000011481
capra_hircus ENSCHIG00000010677
bos_taurus ENSBTAG00000004597
bos_mutus ENSBMUG00000005005
bison_bison_bison ENSBBBG00000024569
tursiops_truncatus ENSTTRG00000004747
vicugna_pacos ENSVPAG00000009582
sus_scrofa ENSSSCG00000028964
pteropus_vampyrus ENSPVAG00000007647
myotis_lucifugus ENSMLUG00000009174
equus_caballus ENSECAG00000007505
equus_asinus_asinus ENSEASG00005019217
sorex_araneus ENSSARG00000008832
neovison_vison ENSNVIG00000006922
mustela_putorius_furo ENSMPUG00000013731
ailuropoda_melanoleuca ENSAMEG00000012433
ursus_americanus ENSUAMG00000010961
canis_lupus_dingo ENSCAFG00020020303
vulpes_vulpes ENSVVUG00000017785
canis_lupus_familiaris ENSCAFG00000015683
panthera_pardus ENSPPRG00000005796
panthera_tigris_altaica ENSPTIG00000017127
felis_catus ENSFCAG00000022467
procavia_capensis ENSPCAG00000007662
echinops_telfairi ENSETEG00000007968
loxodonta_africana ENSLAFG00000007542
choloepus_hoffmanni ENSCHOG00000000739
dasypus_novemcinctus ENSDNOG00000015644
