chinchilla_lanigera ENSCLAG00000008629
cavia_porcellus ENSCPOG00000020079
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017884
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017565
meriones_unguiculatus ENSMUGG00000019590
urocitellus_parryii ENSUPAG00010007148
marmota_marmota_marmota ENSMMMG00000020105
spermophilus_dauricus ENSSDAG00000007677
ictidomys_tridecemlineatus ENSSTOG00000002961
oryctolagus_cuniculus ENSOCUG00000009538
ochotona_princeps ENSOPRG00000010182
propithecus_coquereli ENSPCOG00000021077
microcebus_murinus ENSMICG00000042148
prolemur_simus ENSPSMG00000019708
otolemur_garnettii ENSOGAG00000013866
gorilla_gorilla ENSGGOG00000014429
homo_sapiens ENSG00000130167
pan_troglodytes ENSPTRG00000010495
pan_paniscus ENSPPAG00000033656
pongo_abelii ENSPPYG00000009574
nomascus_leucogenys ENSNLEG00000029153
piliocolobus_tephrosceles ENSPTEG00000036225
colobus_angolensis_palliatus ENSCANG00000031490
rhinopithecus_bieti ENSRBIG00000020999
rhinopithecus_roxellana ENSRROG00000044841
cercocebus_atys ENSCATG00000035661
mandrillus_leucophaeus ENSMLEG00000001531
macaca_mulatta ENSMMUG00000011311
macaca_fascicularis ENSMFAG00000046046
papio_anubis ENSPANG00000021070
theropithecus_gelada ENSTGEG00000026971
chlorocebus_sabaeus ENSCSAG00000006831
cebus_capucinus_imitator ENSCCAG00000033000
callithrix_jacchus ENSCJAG00000005772
saimiri_boliviensis_boliviensis ENSSBOG00000021378
aotus_nancymaae ENSANAG00000029845
bos_mutus ENSBMUG00000000464
bison_bison_bison ENSBBBG00000017704
capra_hircus ENSCHIG00000010405
ovis_aries ENSOARG00000018159
tursiops_truncatus ENSTTRG00000001756
sus_scrofa ENSSSCG00000030693
equus_caballus ENSECAG00000022479
equus_asinus_asinus ENSEASG00005004626
ursus_americanus ENSUAMG00000027049
ailuropoda_melanoleuca ENSAMEG00000010678
canis_lupus_dingo ENSCAFG00020004401
felis_catus ENSFCAG00000042840
panthera_tigris_altaica ENSPTIG00000015303
pteropus_vampyrus ENSPVAG00000007798
myotis_lucifugus ENSMLUG00000016215
echinops_telfairi ENSETEG00000007102
loxodonta_africana ENSLAFG00000006700
choloepus_hoffmanni ENSCHOG00000004390
chrysemys_picta_bellii ENSCPBG00000005310
