haplochromis_burtoni ENSHBUG00000012175
maylandia_zebra ENSMZEG00005009760
stegastes_partitus ENSSPAG00000009370
gasterosteus_aculeatus ENSGACG00000004339
esox_lucius ENSELUG00000003225
seriola_dumerili ENSSDUG00000011406
mola_mola ENSMMOG00000006138
monopterus_albus ENSMALG00000002543
neolamprologus_brichardi ENSNBRG00000003121
xiphophorus_couchianus ENSXCOG00000007319
periophthalmus_magnuspinnatus ENSPMGG00000011068
paramormyrops_kingsleyae ENSPKIG00000003693
mesocricetus_auratus ENSMAUG00000016699
microtus_ochrogaster ENSMOCG00000004988
meriones_unguiculatus ENSMUGG00000012539
nannospalax_galili ENSNGAG00000016460
cavia_aperea ENSCAPG00000010019
octodon_degus ENSODEG00000007680
ornithorhynchus_anatinus ENSOANG00000008112
notechis_scutatus ENSNSUG00000019988
