saimiri_boliviensis_boliviensis ENSSBOG00000024630
cebus_capucinus_imitator ENSCCAG00000028496
aotus_nancymaae ENSANAG00000029129
pan_paniscus ENSPPAG00000001201
pan_troglodytes ENSPTRG00000050660
homo_sapiens ENSG00000240386
nomascus_leucogenys ENSNLEG00000027468
homo_sapiens ENSG00000186226
carlito_syrichta ENSTSYG00000036515
theropithecus_gelada ENSTGEG00000018079
piliocolobus_tephrosceles ENSPTEG00000026900
theropithecus_gelada ENSTGEG00000018115
macaca_mulatta ENSMMUG00000044320
rhinopithecus_roxellana ENSRROG00000044055
piliocolobus_tephrosceles ENSPTEG00000026882
macaca_mulatta ENSMMUG00000038503
macaca_mulatta ENSMMUG00000031674
gorilla_gorilla ENSGGOG00000003304
homo_sapiens ENSG00000172155
rhinopithecus_bieti ENSRBIG00000037097
prolemur_simus ENSPSMG00000002299
microcebus_murinus ENSMICG00000016847
choloepus_hoffmanni ENSCHOG00000011196
