poecilia_reticulata ENSPREG00000019692
xiphophorus_couchianus ENSXCOG00000019820
amphilophus_citrinellus ENSACIG00000003994
periophthalmus_magnuspinnatus ENSPMGG00000001782
paramormyrops_kingsleyae ENSPKIG00000002449
scleropages_formosus ENSSFOG00015010003
astyanax_mexicanus ENSAMXG00000040438
pygocentrus_nattereri ENSPNAG00000006990
ictalurus_punctatus ENSIPUG00000003941
danio_rerio ENSDARG00000089441
esox_lucius ENSELUG00000011541
pygocentrus_nattereri ENSPNAG00000009373
astyanax_mexicanus ENSAMXG00000042556
ictalurus_punctatus ENSIPUG00000006924
scleropages_formosus ENSSFOG00015021411
lepisosteus_oculatus ENSLOCG00000007099
