ornithorhynchus_anatinus ENSOANG00000021534
coturnix_japonica ENSCJPG00005014214
gopherus_agassizii ENSGAGG00000010867
chelonoidis_abingdonii ENSCABG00000003541
chrysemys_picta_bellii ENSCPBG00000024665
pelodiscus_sinensis ENSPSIG00000017021
crocodylus_porosus ENSCPRG00005000715
apteryx_haastii ENSAHAG00000010788
apteryx_rowi ENSARWG00000007862
apteryx_owenii ENSAOWG00000006587
dromaius_novaehollandiae ENSDNVG00000003092
nothoprocta_perdicaria ENSNPEG00000014104
lonchura_striata_domestica ENSLSDG00000016460
taeniopygia_guttata ENSTGUG00000003819
serinus_canaria ENSSCAG00000013023
cyanistes_caeruleus ENSCCEG00000012306
parus_major ENSPMJG00000000460
zonotrichia_albicollis ENSZALG00000000818
junco_hyemalis ENSJHYG00000000864
ficedula_albicollis ENSFALG00000001179
lepidothrix_coronata ENSLCOG00000006124
manacus_vitellinus ENSMVIG00005010463
calidris_pygmaea ENSCPGG00000006767
calidris_pugnax ENSCPUG00000017978
numida_meleagris ENSNMEG00000006231
gallus_gallus ENSGALG00000034258
anas_platyrhynchos_platyrhynchos ENSAPLG00000015388
anser_brachyrhynchus ENSABRG00000018264
meleagris_gallopavo ENSMGAG00000013095
pogona_vitticeps ENSPVIG00000023447
anolis_carolinensis ENSACAG00000010571
notechis_scutatus ENSNSUG00000014529
neovison_vison ENSNVIG00000017630
mustela_putorius_furo ENSMPUG00000007840
sorex_araneus ENSSARG00000009015
equus_caballus ENSECAG00000017585
equus_asinus_asinus ENSEASG00005000488
oryctolagus_cuniculus ENSOCUG00000016461
colobus_angolensis_palliatus ENSCANG00000030242
octodon_degus ENSODEG00000009106
canis_lupus_dingo ENSCAFG00020008410
ursus_maritimus ENSUMAG00000020190
ursus_americanus ENSUAMG00000024389
cricetulus_griseus_crigri_1.0 ENSCGRG00000010791
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018378
cricetulus_griseus_crigri_1.0 ENSCGRG00000011090
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024677
cricetulus_griseus_crigri-picr ENSCGRG00015005513
mesocricetus_auratus ENSMAUG00000001710
microtus_ochrogaster ENSMOCG00000016695
peromyscus_maniculatus_bairdii ENSPEMG00000000559
mus_spicilegus ENSMSIG00000027489
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025223
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027942
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026667
rattus_norvegicus ENSRNOG00000017758
meriones_unguiculatus ENSMUGG00000007272
nannospalax_galili ENSNGAG00000023898
jaculus_jaculus ENSJJAG00000004208
castor_canadensis ENSCCNG00000020936
dipodomys_ordii ENSDORG00000005454
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008749
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000796
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013296
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015050
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006366
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007121
fukomys_damarensis ENSFDAG00000018784
chinchilla_lanigera ENSCLAG00000012981
chinchilla_lanigera ENSCLAG00000000055
octodon_degus ENSODEG00000011467
cavia_porcellus ENSCPOG00000006131
cavia_aperea ENSCAPG00000015117
ictidomys_tridecemlineatus ENSSTOG00000033786
ictidomys_tridecemlineatus ENSSTOG00000031916
spermophilus_dauricus ENSSDAG00000001231
spermophilus_dauricus ENSSDAG00000009517
ictidomys_tridecemlineatus ENSSTOG00000033707
marmota_marmota_marmota ENSMMMG00000017556
urocitellus_parryii ENSUPAG00010014744
ictidomys_tridecemlineatus ENSSTOG00000029834
marmota_marmota_marmota ENSMMMG00000001390
tupaia_belangeri ENSTBEG00000013866
loxodonta_africana ENSLAFG00000009524
echinops_telfairi ENSETEG00000001056
dasypus_novemcinctus ENSDNOG00000019160
dasypus_novemcinctus ENSDNOG00000030638
choloepus_hoffmanni ENSCHOG00000010531
urocitellus_parryii ENSUPAG00010001568
marmota_marmota_marmota ENSMMMG00000022120
spermophilus_dauricus ENSSDAG00000023155
ochotona_princeps ENSOPRG00000007244
callithrix_jacchus ENSCJAG00000009722
callithrix_jacchus ENSCJAG00000048456
cebus_capucinus_imitator ENSCCAG00000031953
saimiri_boliviensis_boliviensis ENSSBOG00000023168
aotus_nancymaae ENSANAG00000020121
pan_paniscus ENSPPAG00000037317
pan_troglodytes ENSPTRG00000001378
homo_sapiens ENSG00000143612
gorilla_gorilla ENSGGOG00000024361
pongo_abelii ENSPPYG00000000785
nomascus_leucogenys ENSNLEG00000031408
rhinopithecus_bieti ENSRBIG00000033263
rhinopithecus_roxellana ENSRROG00000025641
colobus_angolensis_palliatus ENSCANG00000031097
piliocolobus_tephrosceles ENSPTEG00000035016
theropithecus_gelada ENSTGEG00000020574
macaca_fascicularis ENSMFAG00000033673
macaca_mulatta ENSMMUG00000010808
macaca_nemestrina ENSMNEG00000040260
theropithecus_gelada ENSTGEG00000001945
papio_anubis ENSPANG00000021847
cercocebus_atys ENSCATG00000030081
mandrillus_leucophaeus ENSMLEG00000038029
chlorocebus_sabaeus ENSCSAG00000001924
chlorocebus_sabaeus ENSCSAG00000004130
carlito_syrichta ENSTSYG00000036266
carlito_syrichta ENSTSYG00000035630
microcebus_murinus ENSMICG00000033180
prolemur_simus ENSPSMG00000022185
propithecus_coquereli ENSPCOG00000011508
propithecus_coquereli ENSPCOG00000021857
otolemur_garnettii ENSOGAG00000012008
otolemur_garnettii ENSOGAG00000024873
myotis_lucifugus ENSMLUG00000013338
myotis_lucifugus ENSMLUG00000029548
pteropus_vampyrus ENSPVAG00000002717
vulpes_vulpes ENSVVUG00000000194
canis_lupus_familiaris ENSCAFG00000017266
ailuropoda_melanoleuca ENSAMEG00000011865
panthera_pardus ENSPPRG00000023434
panthera_tigris_altaica ENSPTIG00000015880
felis_catus ENSFCAG00000012597
sus_scrofa ENSSSCG00000006554
tursiops_truncatus ENSTTRG00000015824
ovis_aries ENSOARG00000000215
capra_hircus ENSCHIG00000021619
ovis_aries ENSOARG00000002028
bos_taurus ENSBTAG00000020026
bos_mutus ENSBMUG00000009598
bison_bison_bison ENSBBBG00000013653
ovis_aries ENSOARG00000007482
capra_hircus ENSCHIG00000012572
bos_mutus ENSBMUG00000011330
vicugna_pacos ENSVPAG00000001003
echinops_telfairi ENSETEG00000011334
phascolarctos_cinereus ENSPCIG00000029289
phascolarctos_cinereus ENSPCIG00000019289
notamacropus_eugenii ENSMEUG00000002600
sarcophilus_harrisii ENSSHAG00000012915
monodelphis_domestica ENSMODG00000017237
xenopus_tropicalis ENSXETG00000020733
latimeria_chalumnae ENSLACG00000002718
takifugu_rubripes ENSTRUG00000005154
tetraodon_nigroviridis ENSTNIG00000018337
mola_mola ENSMMOG00000003626
gasterosteus_aculeatus ENSGACG00000012147
labrus_bergylta ENSLBEG00000005416
hippocampus_comes ENSHCOG00000008306
monopterus_albus ENSMALG00000003464
mastacembelus_armatus ENSMAMG00000013746
anabas_testudineus ENSATEG00000023802
seriola_dumerili ENSSDUG00000005312
seriola_lalandi_dorsalis ENSSLDG00000014787
scophthalmus_maximus ENSSMAG00000017110
maylandia_zebra ENSMZEG00005022406
astatotilapia_calliptera ENSACLG00000018518
pundamilia_nyererei ENSPNYG00000005488
haplochromis_burtoni ENSHBUG00000004304
neolamprologus_brichardi ENSNBRG00000005400
oreochromis_niloticus ENSONIG00000006270
amphilophus_citrinellus ENSACIG00000010718
amphiprion_ocellaris ENSAOCG00000000508
amphiprion_percula ENSAPEG00000003365
acanthochromis_polyacanthus ENSAPOG00000003341
stegastes_partitus ENSSPAG00000002780
xiphophorus_maculatus ENSXMAG00000007171
xiphophorus_couchianus ENSXCOG00000019565
gambusia_affinis ENSGAFG00000014970
poecilia_formosa ENSPFOG00000015420
poecilia_latipinna ENSPLAG00000001484
poecilia_mexicana ENSPMEG00000011875
poecilia_reticulata ENSPREG00000016893
fundulus_heteroclitus ENSFHEG00000000510
cyprinodon_variegatus ENSCVAG00000005010
kryptolebias_marmoratus ENSKMAG00000002844
oryzias_latipes_asm223471v1 ENSORLG00020000250
oryzias_latipes_asm223467v1 ENSORLG00000009633
oryzias_latipes_asm223469v1 ENSORLG00015016374
oryzias_melastigma ENSOMEG00000006745
cynoglossus_semilaevis ENSCSEG00000002038
periophthalmus_magnuspinnatus ENSPMGG00000008725
gadus_morhua ENSGMOG00000007932
esox_lucius ENSELUG00000011307
amphiprion_ocellaris ENSAOCG00000009069
amphiprion_percula ENSAPEG00000008101
acanthochromis_polyacanthus ENSAPOG00000005006
stegastes_partitus ENSSPAG00000022033
oryzias_latipes_asm223469v1 ENSORLG00015009121
oryzias_latipes_asm223471v1 ENSORLG00020014971
oryzias_latipes_asm223467v1 ENSORLG00000000442
oryzias_melastigma ENSOMEG00000006115
labrus_bergylta ENSLBEG00000026343
takifugu_rubripes ENSTRUG00000010377
tetraodon_nigroviridis ENSTNIG00000017566
mola_mola ENSMMOG00000016544
gasterosteus_aculeatus ENSGACG00000004466
astatotilapia_calliptera ENSACLG00000010093
maylandia_zebra ENSMZEG00005026569
pundamilia_nyererei ENSPNYG00000010519
haplochromis_burtoni ENSHBUG00000001034
neolamprologus_brichardi ENSNBRG00000016149
oreochromis_niloticus ENSONIG00000019739
amphilophus_citrinellus ENSACIG00000003732
fundulus_heteroclitus ENSFHEG00000011582
cyprinodon_variegatus ENSCVAG00000017363
xiphophorus_couchianus ENSXCOG00000019828
xiphophorus_maculatus ENSXMAG00000024844
gambusia_affinis ENSGAFG00000005927
poecilia_formosa ENSPFOG00000009435
poecilia_mexicana ENSPMEG00000019697
poecilia_latipinna ENSPLAG00000008919
poecilia_reticulata ENSPREG00000019815
kryptolebias_marmoratus ENSKMAG00000011191
scophthalmus_maximus ENSSMAG00000003418
cynoglossus_semilaevis ENSCSEG00000007289
seriola_dumerili ENSSDUG00000017804
seriola_lalandi_dorsalis ENSSLDG00000014790
mastacembelus_armatus ENSMAMG00000016647
monopterus_albus ENSMALG00000018989
anabas_testudineus ENSATEG00000009719
periophthalmus_magnuspinnatus ENSPMGG00000001805
hippocampus_comes ENSHCOG00000002551
gadus_morhua ENSGMOG00000010839
esox_lucius ENSELUG00000008771
astyanax_mexicanus ENSAMXG00000016250
pygocentrus_nattereri ENSPNAG00000024458
ictalurus_punctatus ENSIPUG00000004083
danio_rerio ENSDARG00000055613
danio_rerio ENSDARG00000116978
scleropages_formosus ENSSFOG00015021301
paramormyrops_kingsleyae ENSPKIG00000023636
melopsittacus_undulatus ENSMUNG00000010843
sphenodon_punctatus ENSSPUG00000003367
salvator_merianae ENSSMRG00000002686
petromyzon_marinus ENSPMAG00000000453
eptatretus_burgeri ENSEBUG00000012834
ciona_savignyi ENSCSAVG00000009744
ciona_intestinalis ENSCING00000014051
drosophila_melanogaster FBgn0034172
