cyanistes_caeruleus ENSCCEG00000007391
parus_major ENSPMJG00000007638
junco_hyemalis ENSJHYG00000002633
zonotrichia_albicollis ENSZALG00000010526
serinus_canaria ENSSCAG00000013180
taeniopygia_guttata ENSTGUG00000000567
lepidothrix_coronata ENSLCOG00000007955
meleagris_gallopavo ENSMGAG00000004813
gallus_gallus ENSGALG00000003512
calidris_pygmaea ENSCPGG00000015416
calidris_pugnax ENSCPUG00000000133
coturnix_japonica ENSCJPG00005011237
crocodylus_porosus ENSCPRG00005013507
pelodiscus_sinensis ENSPSIG00000016776
pogona_vitticeps ENSPVIG00000025030
sarcophilus_harrisii ENSSHAG00000001234
monodelphis_domestica ENSMODG00000027485
equus_asinus_asinus ENSEASG00005020702
equus_caballus ENSECAG00000030855
panthera_tigris_altaica ENSPTIG00000011009
panthera_pardus ENSPPRG00000001637
vulpes_vulpes ENSVVUG00000021286
canis_lupus_familiaris ENSCAFG00000006679
ailuropoda_melanoleuca ENSAMEG00000009493
mustela_putorius_furo ENSMPUG00000007717
neovison_vison ENSNVIG00000009982
felis_catus ENSFCAG00000030926
canis_lupus_dingo ENSCAFG00020024763
myotis_lucifugus ENSMLUG00000027330
bos_mutus ENSBMUG00000025250
bos_taurus ENSBTAG00000052309
bison_bison_bison ENSBBBG00000010061
capra_hircus ENSCHIG00000008592
sus_scrofa ENSSSCG00000038182
piliocolobus_tephrosceles ENSPTEG00000022654
dasypus_novemcinctus ENSDNOG00000045800
ursus_maritimus ENSUMAG00000000814
ailuropoda_melanoleuca ENSAMEG00000001367
canis_lupus_familiaris ENSCAFG00000031145
panthera_pardus ENSPPRG00000010293
felis_catus ENSFCAG00000042500
bison_bison_bison ENSBBBG00000012829
bos_mutus ENSBMUG00000011713
ovis_aries ENSOARG00000000999
piliocolobus_tephrosceles ENSPTEG00000003733
colobus_angolensis_palliatus ENSCANG00000041264
rhinopithecus_bieti ENSRBIG00000043514
rhinopithecus_roxellana ENSRROG00000043859
macaca_mulatta ENSMMUG00000049153
macaca_nemestrina ENSMNEG00000030973
macaca_fascicularis ENSMFAG00000040367
cercocebus_atys ENSCATG00000013332
chlorocebus_sabaeus ENSCSAG00000015901
mandrillus_leucophaeus ENSMLEG00000041095
papio_anubis ENSPANG00000015973
theropithecus_gelada ENSTGEG00000009300
pan_troglodytes ENSPTRG00000042337
pan_paniscus ENSPPAG00000005562
homo_sapiens ENSG00000229453
gorilla_gorilla ENSGGOG00000023563
cebus_capucinus_imitator ENSCCAG00000035889
callithrix_jacchus ENSCJAG00000002737
saimiri_boliviensis_boliviensis ENSSBOG00000027866
aotus_nancymaae ENSANAG00000025106
carlito_syrichta ENSTSYG00000028418
microcebus_murinus ENSMICG00000031612
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000050074
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033868
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032720
mus_spicilegus ENSMSIG00000012531
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015587
rattus_norvegicus ENSRNOG00000037199
meriones_unguiculatus ENSMUGG00000019157
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017383
cricetulus_griseus_crigri-picr ENSCGRG00015016332
mesocricetus_auratus ENSMAUG00000021916
microtus_ochrogaster ENSMOCG00000004226
nannospalax_galili ENSNGAG00000000582
castor_canadensis ENSCCNG00000008693
oryctolagus_cuniculus ENSOCUG00000025512
ornithorhynchus_anatinus ENSOANG00000031209
