colobus_angolensis_palliatus ENSCANG00000038663
piliocolobus_tephrosceles ENSPTEG00000019721
papio_anubis ENSPANG00000033668
theropithecus_gelada ENSTGEG00000020919
macaca_fascicularis ENSMFAG00000027759
homo_sapiens ENSG00000286190
callithrix_jacchus ENSCJAG00000045470
aotus_nancymaae ENSANAG00000009039
carlito_syrichta ENSTSYG00000032999
prolemur_simus ENSPSMG00000019671
otolemur_garnettii ENSOGAG00000024552
peromyscus_maniculatus_bairdii ENSPEMG00000026018
microtus_ochrogaster ENSMOCG00000007619
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010141
cricetulus_griseus_crigri-picr ENSCGRG00015003236
mesocricetus_auratus ENSMAUG00000021541
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000018451
mus_spicilegus ENSMSIG00000024059
rattus_norvegicus ENSRNOG00000059827
meriones_unguiculatus ENSMUGG00000006885
urocitellus_parryii ENSUPAG00010019484
castor_canadensis ENSCCNG00000000582
oryctolagus_cuniculus ENSOCUG00000027233
bison_bison_bison ENSBBBG00000013698
bos_mutus ENSBMUG00000006109
capra_hircus ENSCHIG00000010335
ovis_aries ENSOARG00000004247
sus_scrofa ENSSSCG00000036977
canis_lupus_familiaris ENSCAFG00000031261
vulpes_vulpes ENSVVUG00000027322
ailuropoda_melanoleuca ENSAMEG00000006019
equus_caballus ENSECAG00000002074
equus_asinus_asinus ENSEASG00005015334
loxodonta_africana ENSLAFG00000031469
