phascolarctos_cinereus ENSPCIG00000029627
monodelphis_domestica ENSMODG00000027688
latimeria_chalumnae ENSLACG00000001656
pygocentrus_nattereri ENSPNAG00000020798
astyanax_mexicanus ENSAMXG00000001724
danio_rerio ENSDARG00000069607
takifugu_rubripes ENSTRUG00000002933
cynoglossus_semilaevis ENSCSEG00000017428
anabas_testudineus ENSATEG00000003615
hippocampus_comes ENSHCOG00000000331
gasterosteus_aculeatus ENSGACG00000019206
labrus_bergylta ENSLBEG00000025326
mola_mola ENSMMOG00000010200
mastacembelus_armatus ENSMAMG00000023574
fundulus_heteroclitus ENSFHEG00000004091
xiphophorus_couchianus ENSXCOG00000008171
cyprinodon_variegatus ENSCVAG00000008299
gambusia_affinis ENSGAFG00000004801
xiphophorus_maculatus ENSXMAG00000024273
poecilia_formosa ENSPFOG00000012000
poecilia_mexicana ENSPMEG00000015148
poecilia_latipinna ENSPLAG00000012742
poecilia_reticulata ENSPREG00000015122
kryptolebias_marmoratus ENSKMAG00000000342
oryzias_latipes_asm223471v1 ENSORLG00020004097
oryzias_latipes_asm223467v1 ENSORLG00000029239
oryzias_melastigma ENSOMEG00000023156
astatotilapia_calliptera ENSACLG00000003159
maylandia_zebra ENSMZEG00005015004
haplochromis_burtoni ENSHBUG00000011481
astatotilapia_calliptera ENSACLG00000016266
pundamilia_nyererei ENSPNYG00000014841
neolamprologus_brichardi ENSNBRG00000017703
oreochromis_niloticus ENSONIG00000011886
amphilophus_citrinellus ENSACIG00000019255
amphiprion_percula ENSAPEG00000022255
amphiprion_ocellaris ENSAOCG00000019534
acanthochromis_polyacanthus ENSAPOG00000008631
stegastes_partitus ENSSPAG00000007088
seriola_lalandi_dorsalis ENSSLDG00000017615
seriola_dumerili ENSSDUG00000015616
scophthalmus_maximus ENSSMAG00000012756
periophthalmus_magnuspinnatus ENSPMGG00000008046
gadus_morhua ENSGMOG00000005388
esox_lucius ENSELUG00000016748
pygocentrus_nattereri ENSPNAG00000017361
astyanax_mexicanus ENSAMXG00000032906
danio_rerio ENSDARG00000069038
scleropages_formosus ENSSFOG00015023273
paramormyrops_kingsleyae ENSPKIG00000009173
