lepidothrix_coronata ENSLCOG00000014507
manacus_vitellinus ENSMVIG00005004817
calidris_pygmaea ENSCPGG00000016507
calidris_pugnax ENSCPUG00000004673
melopsittacus_undulatus ENSMUNG00000008587
anas_platyrhynchos_platyrhynchos ENSAPLG00000030893
nothoprocta_perdicaria ENSNPEG00000007427
canis_lupus_dingo ENSCAFG00020018461
vulpes_vulpes ENSVVUG00000011540
ursus_americanus ENSUAMG00000025928
bos_mutus ENSBMUG00000003865
urocitellus_parryii ENSUPAG00010023212
paramormyrops_kingsleyae ENSPKIG00000021854
