mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044719
mus_spicilegus ENSMSIG00000031672
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023043
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022131
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018865
meriones_unguiculatus ENSMUGG00000023638
peromyscus_maniculatus_bairdii ENSPEMG00000012125
microtus_ochrogaster ENSMOCG00000020033
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005820
cricetulus_griseus_crigri_1.0 ENSCGRG00000011665
cricetulus_griseus_crigri-picr ENSCGRG00015003405
mesocricetus_auratus ENSMAUG00000017725
nannospalax_galili ENSNGAG00000021337
jaculus_jaculus ENSJJAG00000022274
chinchilla_lanigera ENSCLAG00000006382
octodon_degus ENSODEG00000003419
fukomys_damarensis ENSFDAG00000009650
cavia_porcellus ENSCPOG00000024495
oryctolagus_cuniculus ENSOCUG00000021766
piliocolobus_tephrosceles ENSPTEG00000029267
mustela_putorius_furo ENSMPUG00000008463
canis_lupus_familiaris ENSCAFG00000005845
equus_asinus_asinus ENSEASG00005017493
equus_caballus ENSECAG00000024241
ovis_aries ENSOARG00000018230
sus_scrofa ENSSSCG00000014368
dasypus_novemcinctus ENSDNOG00000048239
loxodonta_africana ENSLAFG00000027299
monodelphis_domestica ENSMODG00000011462
sarcophilus_harrisii ENSSHAG00000016361
ornithorhynchus_anatinus ENSOANG00000011669
gopherus_agassizii ENSGAGG00000000123
