equus_asinus_asinus ENSEASG00005000399
myotis_lucifugus ENSMLUG00000001629
neovison_vison ENSNVIG00000018965
mustela_putorius_furo ENSMPUG00000015644
canis_lupus_familiaris ENSCAFG00000029980
canis_lupus_dingo ENSCAFG00020001278
ursus_americanus ENSUAMG00000013285
ursus_maritimus ENSUMAG00000021354
ailuropoda_melanoleuca ENSAMEG00000007981
panthera_pardus ENSPPRG00000013700
felis_catus ENSFCAG00000040994
sus_scrofa ENSSSCG00000038882
colobus_angolensis_palliatus ENSCANG00000029329
piliocolobus_tephrosceles ENSPTEG00000035616
rhinopithecus_roxellana ENSRROG00000041801
rhinopithecus_bieti ENSRBIG00000038097
macaca_nemestrina ENSMNEG00000032053
macaca_fascicularis ENSMFAG00000046049
cercocebus_atys ENSCATG00000017665
mandrillus_leucophaeus ENSMLEG00000035865
theropithecus_gelada ENSTGEG00000005058
papio_anubis ENSPANG00000021088
chlorocebus_sabaeus ENSCSAG00000011651
pan_troglodytes ENSPTRG00000007592
pan_paniscus ENSPPAG00000035290
gorilla_gorilla ENSGGOG00000036674
homo_sapiens ENSG00000174109
pongo_abelii ENSPPYG00000006951
nomascus_leucogenys ENSNLEG00000034051
cebus_capucinus_imitator ENSCCAG00000036104
saimiri_boliviensis_boliviensis ENSSBOG00000018977
callithrix_jacchus ENSCJAG00000014406
aotus_nancymaae ENSANAG00000021620
carlito_syrichta ENSTSYG00000030140
prolemur_simus ENSPSMG00000024850
propithecus_coquereli ENSPCOG00000017870
microcebus_murinus ENSMICG00000047600
otolemur_garnettii ENSOGAG00000029437
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022135
mus_spicilegus ENSMSIG00000011275
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067722
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021224
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023542
rattus_norvegicus ENSRNOG00000029415
meriones_unguiculatus ENSMUGG00000016176
cricetulus_griseus_crigri-picr ENSCGRG00015016580
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011218
cricetulus_griseus_crigri_1.0 ENSCGRG00000017398
mesocricetus_auratus ENSMAUG00000002041
peromyscus_maniculatus_bairdii ENSPEMG00000025335
microtus_ochrogaster ENSMOCG00000014311
nannospalax_galili ENSNGAG00000024109
jaculus_jaculus ENSJJAG00000004240
chinchilla_lanigera ENSCLAG00000016079
octodon_degus ENSODEG00000014612
cavia_porcellus ENSCPOG00000031653
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001649
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007383
fukomys_damarensis ENSFDAG00000007500
castor_canadensis ENSCCNG00000031287
oryctolagus_cuniculus ENSOCUG00000026249
vicugna_pacos ENSVPAG00000002984
tursiops_truncatus ENSTTRG00000011990
pteropus_vampyrus ENSPVAG00000016651
erinaceus_europaeus ENSEEUG00000010629
bos_mutus ENSBMUG00000022202
bos_taurus ENSBTAG00000033395
capra_hircus ENSCHIG00000017912
ovis_aries ENSOARG00000015664
marmota_marmota_marmota ENSMMMG00000015846
ictidomys_tridecemlineatus ENSSTOG00000003515
urocitellus_parryii ENSUPAG00010014604
spermophilus_dauricus ENSSDAG00000017023
dasypus_novemcinctus ENSDNOG00000012366
loxodonta_africana ENSLAFG00000026451
monodelphis_domestica ENSMODG00000016185
phascolarctos_cinereus ENSPCIG00000015640
gopherus_agassizii ENSGAGG00000023672
xenopus_tropicalis ENSXETG00000019929
pygocentrus_nattereri ENSPNAG00000002298
astyanax_mexicanus ENSAMXG00000007229
ictalurus_punctatus ENSIPUG00000000450
danio_rerio ENSDARG00000100025
seriola_lalandi_dorsalis ENSSLDG00000013357
scophthalmus_maximus ENSSMAG00000012675
anabas_testudineus ENSATEG00000015571
neolamprologus_brichardi ENSNBRG00000022791
amphilophus_citrinellus ENSACIG00000022836
cyprinodon_variegatus ENSCVAG00000001826
fundulus_heteroclitus ENSFHEG00000023212
oryzias_latipes_asm223469v1 ENSORLG00015009266
oryzias_latipes_asm223467v1 ENSORLG00000024249
oryzias_latipes_asm223471v1 ENSORLG00020010795
oryzias_melastigma ENSOMEG00000016075
amphiprion_percula ENSAPEG00000006774
amphiprion_ocellaris ENSAOCG00000003836
acanthochromis_polyacanthus ENSAPOG00000020538
stegastes_partitus ENSSPAG00000016319
mastacembelus_armatus ENSMAMG00000009825
tetraodon_nigroviridis ENSTNIG00000000770
takifugu_rubripes ENSTRUG00000021197
hippocampus_comes ENSHCOG00000015491
cynoglossus_semilaevis ENSCSEG00000012098
labrus_bergylta ENSLBEG00000016016
esox_lucius ENSELUG00000009841
xiphophorus_couchianus ENSXCOG00000002632
poecilia_reticulata ENSPREG00000017939
poecilia_formosa ENSPFOG00000024069
poecilia_mexicana ENSPMEG00000017123
poecilia_latipinna ENSPLAG00000022304
gambusia_affinis ENSGAFG00000016223
xiphophorus_maculatus ENSXMAG00000022593
paramormyrops_kingsleyae ENSPKIG00000006856
scleropages_formosus ENSSFOG00015018961
lepisosteus_oculatus ENSLOCG00000003623
