monopterus_albus ENSMALG00000003460
mastacembelus_armatus ENSMAMG00000012780
anabas_testudineus ENSATEG00000006469
seriola_dumerili ENSSDUG00000003934
seriola_lalandi_dorsalis ENSSLDG00000004288
labrus_bergylta ENSLBEG00000005968
cyprinodon_variegatus ENSCVAG00000020652
fundulus_heteroclitus ENSFHEG00000008886
kryptolebias_marmoratus ENSKMAG00000016858
oryzias_latipes_asm223471v1 ENSORLG00020012985
oryzias_latipes_asm223469v1 ENSORLG00015003231
oryzias_latipes_asm223467v1 ENSORLG00000015289
astatotilapia_calliptera ENSACLG00000006670
maylandia_zebra ENSMZEG00005014989
pundamilia_nyererei ENSPNYG00000008283
haplochromis_burtoni ENSHBUG00000023772
oreochromis_niloticus ENSONIG00000010959
amphilophus_citrinellus ENSACIG00000011775
takifugu_rubripes ENSTRUG00000005087
tetraodon_nigroviridis ENSTNIG00000008839
neolamprologus_brichardi ENSNBRG00000001919
amphiprion_ocellaris ENSAOCG00000011805
gasterosteus_aculeatus ENSGACG00000000431
amphiprion_percula ENSAPEG00000006394
amphiprion_ocellaris ENSAOCG00000001171
acanthochromis_polyacanthus ENSAPOG00000006380
stegastes_partitus ENSSPAG00000023396
poecilia_latipinna ENSPLAG00000020872
poecilia_formosa ENSPFOG00000011742
poecilia_mexicana ENSPMEG00000014740
poecilia_reticulata ENSPREG00000021015
gambusia_affinis ENSGAFG00000007014
xiphophorus_maculatus ENSXMAG00000002903
xiphophorus_couchianus ENSXCOG00000005525
oryzias_melastigma ENSOMEG00000019767
scophthalmus_maximus ENSSMAG00000000455
gasterosteus_aculeatus ENSGACG00000002104
mola_mola ENSMMOG00000010700
hippocampus_comes ENSHCOG00000007283
cynoglossus_semilaevis ENSCSEG00000021808
gadus_morhua ENSGMOG00000003784
periophthalmus_magnuspinnatus ENSPMGG00000018041
esox_lucius ENSELUG00000012961
astyanax_mexicanus ENSAMXG00000038306
pygocentrus_nattereri ENSPNAG00000017603
ictalurus_punctatus ENSIPUG00000007391
danio_rerio ENSDARG00000110991
paramormyrops_kingsleyae ENSPKIG00000004626
scleropages_formosus ENSSFOG00015023301
lepisosteus_oculatus ENSLOCG00000002928
gopherus_agassizii ENSGAGG00000003289
chelonoidis_abingdonii ENSCABG00000005569
chrysemys_picta_bellii ENSCPBG00000013695
crocodylus_porosus ENSCPRG00005007917
melopsittacus_undulatus ENSMUNG00000003363
pelodiscus_sinensis ENSPSIG00000009997
apteryx_owenii ENSAOWG00000007081
nothoprocta_perdicaria ENSNPEG00000004854
anas_platyrhynchos_platyrhynchos ENSAPLG00000006256
manacus_vitellinus ENSMVIG00005016866
meleagris_gallopavo ENSMGAG00000008195
coturnix_japonica ENSCJPG00005015063
numida_meleagris ENSNMEG00000005247
gallus_gallus ENSGALG00000000513
anser_brachyrhynchus ENSABRG00000002098
calidris_pugnax ENSCPUG00000010442
calidris_pygmaea ENSCPGG00000018400
melopsittacus_undulatus ENSMUNG00000003362
apteryx_rowi ENSARWG00000005840
dromaius_novaehollandiae ENSDNVG00000011766
apteryx_haastii ENSAHAG00000005456
taeniopygia_guttata ENSTGUG00000007961
lonchura_striata_domestica ENSLSDG00000005470
zonotrichia_albicollis ENSZALG00000008046
serinus_canaria ENSSCAG00000008165
junco_hyemalis ENSJHYG00000005932
ficedula_albicollis ENSFALG00000003070
lepidothrix_coronata ENSLCOG00000012387
manacus_vitellinus ENSMVIG00005013508
cyanistes_caeruleus ENSCCEG00000004414
parus_major ENSPMJG00000013794
pogona_vitticeps ENSPVIG00000011697
anolis_carolinensis ENSACAG00000008103
notechis_scutatus ENSNSUG00000020434
salvator_merianae ENSSMRG00000007115
phascolarctos_cinereus ENSPCIG00000024719
notamacropus_eugenii ENSMEUG00000001901
sarcophilus_harrisii ENSSHAG00000006045
monodelphis_domestica ENSMODG00000003479
loxodonta_africana ENSLAFG00000018198
procavia_capensis ENSPCAG00000001610
echinops_telfairi ENSETEG00000007978
dasypus_novemcinctus ENSDNOG00000001856
choloepus_hoffmanni ENSCHOG00000004826
erinaceus_europaeus ENSEEUG00000012574
sorex_araneus ENSSARG00000003731
myotis_lucifugus ENSMLUG00000013641
canis_lupus_familiaris ENSCAFG00000019816
vulpes_vulpes ENSVVUG00000003941
ailuropoda_melanoleuca ENSAMEG00000001273
mustela_putorius_furo ENSMPUG00000007237
neovison_vison ENSNVIG00000010837
panthera_pardus ENSPPRG00000008094
