neovison_vison ENSNVIG00000012878
ursus_americanus ENSUAMG00000026954
vulpes_vulpes ENSVVUG00000025592
canis_lupus_dingo ENSCAFG00020003364
bos_mutus ENSBMUG00000009010
bison_bison_bison ENSBBBG00000000988
equus_caballus ENSECAG00000030091
equus_asinus_asinus ENSEASG00005020856
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000092349
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000115113
mus_spicilegus ENSMSIG00000012579
meriones_unguiculatus ENSMUGG00000018106
peromyscus_maniculatus_bairdii ENSPEMG00000030934
cricetulus_griseus_crigri-picr ENSCGRG00015028567
castor_canadensis ENSCCNG00000026587
spermophilus_dauricus ENSSDAG00000018735
marmota_marmota_marmota ENSMMMG00000024242
urocitellus_parryii ENSUPAG00010013617
piliocolobus_tephrosceles ENSPTEG00000023306
piliocolobus_tephrosceles ENSPTEG00000006654
theropithecus_gelada ENSTGEG00000029474
homo_sapiens ENSG00000285064
prolemur_simus ENSPSMG00000018419
phascolarctos_cinereus ENSPCIG00000030125
