poecilia_formosa ENSPFOG00000000498
poecilia_latipinna ENSPLAG00000015592
poecilia_mexicana ENSPMEG00000005288
xiphophorus_maculatus ENSXMAG00000015776
gambusia_affinis ENSGAFG00000000918
fundulus_heteroclitus ENSFHEG00000014414
kryptolebias_marmoratus ENSKMAG00000014038
labrus_bergylta ENSLBEG00000028426
seriola_dumerili ENSSDUG00000022535
amphiprion_ocellaris ENSAOCG00000020606
amphiprion_percula ENSAPEG00000022488
acanthochromis_polyacanthus ENSAPOG00000008143
stegastes_partitus ENSSPAG00000012564
mola_mola ENSMMOG00000018709
takifugu_rubripes ENSTRUG00000024994
astatotilapia_calliptera ENSACLG00000003326
maylandia_zebra ENSMZEG00005013959
haplochromis_burtoni ENSHBUG00000001802
pundamilia_nyererei ENSPNYG00000015841
oreochromis_niloticus ENSONIG00000006819
neolamprologus_brichardi ENSNBRG00000020492
labrus_bergylta ENSLBEG00000010006
amphilophus_citrinellus ENSACIG00000018410
scophthalmus_maximus ENSSMAG00000021049
periophthalmus_magnuspinnatus ENSPMGG00000021015
esox_lucius ENSELUG00000012166
astyanax_mexicanus ENSAMXG00000034850
gopherus_agassizii ENSGAGG00000006802
chelonoidis_abingdonii ENSCABG00000002171
chrysemys_picta_bellii ENSCPBG00000013243
pelodiscus_sinensis ENSPSIG00000008028
dromaius_novaehollandiae ENSDNVG00000014718
apteryx_rowi ENSARWG00000006014
apteryx_haastii ENSAHAG00000014767
coturnix_japonica ENSCJPG00005011546
numida_meleagris ENSNMEG00000001069
meleagris_gallopavo ENSMGAG00000004611
gallus_gallus ENSGALG00000031582
lepidothrix_coronata ENSLCOG00000013436
manacus_vitellinus ENSMVIG00005018474
zonotrichia_albicollis ENSZALG00000012439
junco_hyemalis ENSJHYG00000002728
lonchura_striata_domestica ENSLSDG00000016575
parus_major ENSPMJG00000002113
cyanistes_caeruleus ENSCCEG00000012237
ficedula_albicollis ENSFALG00000013624
taeniopygia_guttata ENSTGUG00000002328
serinus_canaria ENSSCAG00000000941
calidris_pygmaea ENSCPGG00000014156
calidris_pugnax ENSCPUG00000002865
melopsittacus_undulatus ENSMUNG00000006809
anas_platyrhynchos_platyrhynchos ENSAPLG00000018342
anser_brachyrhynchus ENSABRG00000002833
nothoprocta_perdicaria ENSNPEG00000016053
crocodylus_porosus ENSCPRG00005012987
salvator_merianae ENSSMRG00000005319
notechis_scutatus ENSNSUG00000019164
sphenodon_punctatus ENSSPUG00000012822
sarcophilus_harrisii ENSSHAG00000003597
phascolarctos_cinereus ENSPCIG00000023212
monodelphis_domestica ENSMODG00000003340
ornithorhynchus_anatinus ENSOANG00000012438
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016958
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020149
mus_spicilegus ENSMSIG00000013288
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016115
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016776
rattus_norvegicus ENSRNOG00000004992
meriones_unguiculatus ENSMUGG00000025245
cricetulus_griseus_crigri_1.0 ENSCGRG00000008456
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012691
cricetulus_griseus_crigri-picr ENSCGRG00015027841
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004584
cricetulus_griseus_crigri-picr ENSCGRG00015016757
cricetulus_griseus_crigri_1.0 ENSCGRG00000010513
mesocricetus_auratus ENSMAUG00000012156
peromyscus_maniculatus_bairdii ENSPEMG00000009340
microtus_ochrogaster ENSMOCG00000017022
nannospalax_galili ENSNGAG00000005838
fukomys_damarensis ENSFDAG00000019505
fukomys_damarensis ENSFDAG00000008386
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013585
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007994
cavia_porcellus ENSCPOG00000015437
octodon_degus ENSODEG00000011248
octodon_degus ENSODEG00000014420
chinchilla_lanigera ENSCLAG00000014766
dipodomys_ordii ENSDORG00000028628
dipodomys_ordii ENSDORG00000002112
castor_canadensis ENSCCNG00000010642
oryctolagus_cuniculus ENSOCUG00000017003
ictidomys_tridecemlineatus ENSSTOG00000020693
ictidomys_tridecemlineatus ENSSTOG00000033408
spermophilus_dauricus ENSSDAG00000024234
marmota_marmota_marmota ENSMMMG00000005929
urocitellus_parryii ENSUPAG00010010773
carlito_syrichta ENSTSYG00000029880
erinaceus_europaeus ENSEEUG00000011721
sorex_araneus ENSSARG00000000382
echinops_telfairi ENSETEG00000002205
equus_asinus_asinus ENSEASG00005007298
equus_caballus ENSECAG00000009926
myotis_lucifugus ENSMLUG00000009489
panthera_pardus ENSPPRG00000025077
felis_catus ENSFCAG00000002536
canis_lupus_familiaris ENSCAFG00000003187
canis_lupus_dingo ENSCAFG00020026971
vulpes_vulpes ENSVVUG00000027588
mustela_putorius_furo ENSMPUG00000006139
ailuropoda_melanoleuca ENSAMEG00000001127
microcebus_murinus ENSMICG00000012587
otolemur_garnettii ENSOGAG00000026181
dasypus_novemcinctus ENSDNOG00000018236
theropithecus_gelada ENSTGEG00000010339
mandrillus_leucophaeus ENSMLEG00000042535
macaca_nemestrina ENSMNEG00000028414
pan_troglodytes ENSPTRG00000011989
pan_paniscus ENSPPAG00000030253
gorilla_gorilla ENSGGOG00000026603
homo_sapiens ENSG00000138069
nomascus_leucogenys ENSNLEG00000009944
piliocolobus_tephrosceles ENSPTEG00000021058
pan_paniscus ENSPPAG00000041123
pan_troglodytes ENSPTRG00000045283
gorilla_gorilla ENSGGOG00000043398
nomascus_leucogenys ENSNLEG00000006724
cercocebus_atys ENSCATG00000039791
papio_anubis ENSPANG00000035914
mandrillus_leucophaeus ENSMLEG00000038983
macaca_mulatta ENSMMUG00000044378
rhinopithecus_roxellana ENSRROG00000041477
rhinopithecus_bieti ENSRBIG00000034734
colobus_angolensis_palliatus ENSCANG00000041405
piliocolobus_tephrosceles ENSPTEG00000023560
rhinopithecus_bieti ENSRBIG00000042206
rhinopithecus_roxellana ENSRROG00000038212
piliocolobus_tephrosceles ENSPTEG00000021680
mandrillus_leucophaeus ENSMLEG00000028287
macaca_nemestrina ENSMNEG00000000645
theropithecus_gelada ENSTGEG00000018759
macaca_fascicularis ENSMFAG00000019539
macaca_nemestrina ENSMNEG00000028604
papio_anubis ENSPANG00000036095
mandrillus_leucophaeus ENSMLEG00000028592
saimiri_boliviensis_boliviensis ENSSBOG00000023732
callithrix_jacchus ENSCJAG00000046275
cebus_capucinus_imitator ENSCCAG00000021869
aotus_nancymaae ENSANAG00000020929
macaca_fascicularis ENSMFAG00000037784
macaca_nemestrina ENSMNEG00000042121
rhinopithecus_roxellana ENSRROG00000044448
saimiri_boliviensis_boliviensis ENSSBOG00000025345
aotus_nancymaae ENSANAG00000029760
bison_bison_bison ENSBBBG00000015620
bos_mutus ENSBMUG00000020049
sus_scrofa ENSSSCG00000008359
vicugna_pacos ENSVPAG00000005640
ursus_maritimus ENSUMAG00000021038
capra_hircus ENSCHIG00000014060
ovis_aries ENSOARG00000019997
panthera_tigris_altaica ENSPTIG00000013471
cercocebus_atys ENSCATG00000030853
papio_anubis ENSPANG00000010485
macaca_fascicularis ENSMFAG00000046246
rhinopithecus_bieti ENSRBIG00000039266
rhinopithecus_roxellana ENSRROG00000031865
pongo_abelii ENSPPYG00000012360
macaca_mulatta ENSMMUG00000021721
colobus_angolensis_palliatus ENSCANG00000035916
carlito_syrichta ENSTSYG00000005996
ochotona_princeps ENSOPRG00000006595
jaculus_jaculus ENSJJAG00000014396
ictidomys_tridecemlineatus ENSSTOG00000033153
tursiops_truncatus ENSTTRG00000008285
propithecus_coquereli ENSPCOG00000017244
loxodonta_africana ENSLAFG00000016666
choloepus_hoffmanni ENSCHOG00000005071
procavia_capensis ENSPCAG00000002464
ursus_americanus ENSUAMG00000014617
prolemur_simus ENSPSMG00000000273
bos_taurus ENSBTAG00000016720
tupaia_belangeri ENSTBEG00000003333
cavia_aperea ENSCAPG00000007013
apteryx_owenii ENSAOWG00000011973
latimeria_chalumnae ENSLACG00000012869
xiphophorus_couchianus ENSXCOG00000003737
pogona_vitticeps ENSPVIG00000020841
anolis_carolinensis ENSACAG00000000875
sphenodon_punctatus ENSSPUG00000011756
chelonoidis_abingdonii ENSCABG00000007825
gopherus_agassizii ENSGAGG00000019221
chrysemys_picta_bellii ENSCPBG00000006884
pelodiscus_sinensis ENSPSIG00000013447
drosophila_melanogaster FBgn0285937
