melopsittacus_undulatus ENSMUNG00000013559
salvator_merianae ENSSMRG00000006968
fundulus_heteroclitus ENSFHEG00000004288
cyprinodon_variegatus ENSCVAG00000000394
kryptolebias_marmoratus ENSKMAG00000021823
haplochromis_burtoni ENSHBUG00000022710
pundamilia_nyererei ENSPNYG00000009741
maylandia_zebra ENSMZEG00005012028
maylandia_zebra ENSMZEG00005011938
astatotilapia_calliptera ENSACLG00000020863
oreochromis_niloticus ENSONIG00000018872
neolamprologus_brichardi ENSNBRG00000005104
amphilophus_citrinellus ENSACIG00000003461
acanthochromis_polyacanthus ENSAPOG00000010952
scophthalmus_maximus ENSSMAG00000020973
hippocampus_comes ENSHCOG00000006648
tetraodon_nigroviridis ENSTNIG00000001365
pygocentrus_nattereri ENSPNAG00000006455
astyanax_mexicanus ENSAMXG00000009490
ictalurus_punctatus ENSIPUG00000020921
