ochotona_princeps ENSOPRG00000009641
spermophilus_dauricus ENSSDAG00000014600
erinaceus_europaeus ENSEEUG00000006644
sorex_araneus ENSSARG00000009737
pteropus_vampyrus ENSPVAG00000009290
pan_troglodytes ENSPTRG00000002459
pan_paniscus ENSPPAG00000028418
gorilla_gorilla ENSGGOG00000014991
homo_sapiens ENSG00000165406
pongo_abelii ENSPPYG00000002230
nomascus_leucogenys ENSNLEG00000015999
macaca_fascicularis ENSMFAG00000002860
macaca_mulatta ENSMMUG00000013437
macaca_nemestrina ENSMNEG00000032715
theropithecus_gelada ENSTGEG00000011639
papio_anubis ENSPANG00000022668
cercocebus_atys ENSCATG00000018800
mandrillus_leucophaeus ENSMLEG00000025367
chlorocebus_sabaeus ENSCSAG00000010743
rhinopithecus_bieti ENSRBIG00000044093
rhinopithecus_roxellana ENSRROG00000036944
piliocolobus_tephrosceles ENSPTEG00000019649
colobus_angolensis_palliatus ENSCANG00000011326
cebus_capucinus_imitator ENSCCAG00000028508
callithrix_jacchus ENSCJAG00000043002
saimiri_boliviensis_boliviensis ENSSBOG00000023929
aotus_nancymaae ENSANAG00000032137
carlito_syrichta ENSTSYG00000011985
prolemur_simus ENSPSMG00000000322
microcebus_murinus ENSMICG00000034366
propithecus_coquereli ENSPCOG00000021062
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025702
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029797
mus_spicilegus ENSMSIG00000002032
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028769
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022520
rattus_norvegicus ENSRNOG00000012297
meriones_unguiculatus ENSMUGG00000020685
meriones_unguiculatus ENSMUGG00000020581
peromyscus_maniculatus_bairdii ENSPEMG00000015311
microtus_ochrogaster ENSMOCG00000002394
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003616
cricetulus_griseus_crigri-picr ENSCGRG00015005394
cricetulus_griseus_crigri_1.0 ENSCGRG00000001740
mesocricetus_auratus ENSMAUG00000021879
nannospalax_galili ENSNGAG00000017176
jaculus_jaculus ENSJJAG00000016658
castor_canadensis ENSCCNG00000018933
chinchilla_lanigera ENSCLAG00000001924
octodon_degus ENSODEG00000000061
cavia_aperea ENSCAPG00000014786
cavia_porcellus ENSCPOG00000030112
fukomys_damarensis ENSFDAG00000013062
fukomys_damarensis ENSFDAG00000001469
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000644
