nomascus_leucogenys ENSNLEG00000012184
pongo_abelii ENSPPYG00000001488
pan_paniscus ENSPPAG00000028849
pan_troglodytes ENSPTRG00000000591
homo_sapiens ENSG00000187815
gorilla_gorilla ENSGGOG00000006972
piliocolobus_tephrosceles ENSPTEG00000029923
colobus_angolensis_palliatus ENSCANG00000023259
rhinopithecus_roxellana ENSRROG00000001028
rhinopithecus_bieti ENSRBIG00000031369
macaca_nemestrina ENSMNEG00000036561
macaca_fascicularis ENSMFAG00000038294
macaca_mulatta ENSMMUG00000016199
theropithecus_gelada ENSTGEG00000024099
papio_anubis ENSPANG00000006664
cercocebus_atys ENSCATG00000030938
chlorocebus_sabaeus ENSCSAG00000001149
mandrillus_leucophaeus ENSMLEG00000042959
cebus_capucinus_imitator ENSCCAG00000036754
cebus_capucinus_imitator ENSCCAG00000018207
saimiri_boliviensis_boliviensis ENSSBOG00000021129
callithrix_jacchus ENSCJAG00000002953
aotus_nancymaae ENSANAG00000027896
carlito_syrichta ENSTSYG00000000786
prolemur_simus ENSPSMG00000012721
microcebus_murinus ENSMICG00000007201
propithecus_coquereli ENSPCOG00000028710
otolemur_garnettii ENSOGAG00000009257
tupaia_belangeri ENSTBEG00000015175
castor_canadensis ENSCCNG00000008016
dipodomys_ordii ENSDORG00000024989
peromyscus_maniculatus_bairdii ENSPEMG00000004280
microtus_ochrogaster ENSMOCG00000001233
cricetulus_griseus_crigri_1.0 ENSCGRG00000004153
cricetulus_griseus_crigri-picr ENSCGRG00015003523
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020565
mesocricetus_auratus ENSMAUG00000014135
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028747
meriones_unguiculatus ENSMUGG00000007288
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000064141
mus_spicilegus ENSMSIG00000010091
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027395
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026418
rattus_norvegicus ENSRNOG00000028662
cricetulus_griseus_crigri-picr ENSCGRG00015003512
nannospalax_galili ENSNGAG00000002882
jaculus_jaculus ENSJJAG00000002605
cavia_porcellus ENSCPOG00000039050
cavia_aperea ENSCAPG00000016810
octodon_degus ENSODEG00000002197
chinchilla_lanigera ENSCLAG00000001880
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001364
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016741
fukomys_damarensis ENSFDAG00000016515
spermophilus_dauricus ENSSDAG00000004120
marmota_marmota_marmota ENSMMMG00000002478
urocitellus_parryii ENSUPAG00010013613
ictidomys_tridecemlineatus ENSSTOG00000031462
oryctolagus_cuniculus ENSOCUG00000016000
ochotona_princeps ENSOPRG00000001507
bos_taurus ENSBTAG00000039287
bos_mutus ENSBMUG00000025019
bison_bison_bison ENSBBBG00000001500
ovis_aries ENSOARG00000020260
capra_hircus ENSCHIG00000008554
tursiops_truncatus ENSTTRG00000012944
vicugna_pacos ENSVPAG00000003028
equus_caballus ENSECAG00000022039
sorex_araneus ENSSARG00000003615
ursus_maritimus ENSUMAG00000017175
ursus_americanus ENSUAMG00000024312
ailuropoda_melanoleuca ENSAMEG00000003808
neovison_vison ENSNVIG00000015479
mustela_putorius_furo ENSMPUG00000014134
vulpes_vulpes ENSVVUG00000005095
panthera_tigris_altaica ENSPTIG00000019037
panthera_pardus ENSPPRG00000024684
felis_catus ENSFCAG00000033023
pteropus_vampyrus ENSPVAG00000010052
myotis_lucifugus ENSMLUG00000012551
choloepus_hoffmanni ENSCHOG00000009413
dasypus_novemcinctus ENSDNOG00000007479
procavia_capensis ENSPCAG00000015283
