chinchilla_lanigera ENSCLAG00000015557
octodon_degus ENSODEG00000010365
cavia_aperea ENSCAPG00000011699
cavia_porcellus ENSCPOG00000007545
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008640
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013539
fukomys_damarensis ENSFDAG00000014974
marmota_marmota_marmota ENSMMMG00000001215
spermophilus_dauricus ENSSDAG00000011448
ictidomys_tridecemlineatus ENSSTOG00000013578
castor_canadensis ENSCCNG00000013054
dipodomys_ordii ENSDORG00000013284
peromyscus_maniculatus_bairdii ENSPEMG00000011443
microtus_ochrogaster ENSMOCG00000013058
cricetulus_griseus_crigri_1.0 ENSCGRG00000000685
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017752
cricetulus_griseus_crigri-picr ENSCGRG00015015380
mesocricetus_auratus ENSMAUG00000001587
mus_spicilegus ENSMSIG00000029873
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063232
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018911
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018066
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029825
rattus_norvegicus ENSRNOG00000011141
jaculus_jaculus ENSJJAG00000010522
ochotona_princeps ENSOPRG00000005463
oryctolagus_cuniculus ENSOCUG00000029296
tupaia_belangeri ENSTBEG00000003020
prolemur_simus ENSPSMG00000024180
microcebus_murinus ENSMICG00000038551
propithecus_coquereli ENSPCOG00000002625
otolemur_garnettii ENSOGAG00000012241
pan_troglodytes ENSPTRG00000006680
pan_paniscus ENSPPAG00000036447
homo_sapiens ENSG00000186910
gorilla_gorilla ENSGGOG00000004055
pongo_abelii ENSPPYG00000006104
nomascus_leucogenys ENSNLEG00000017281
colobus_angolensis_palliatus ENSCANG00000039180
piliocolobus_tephrosceles ENSPTEG00000009831
rhinopithecus_roxellana ENSRROG00000030148
rhinopithecus_bieti ENSRBIG00000035020
mandrillus_leucophaeus ENSMLEG00000027582
cercocebus_atys ENSCATG00000042030
papio_anubis ENSPANG00000016036
theropithecus_gelada ENSTGEG00000004688
macaca_nemestrina ENSMNEG00000038880
macaca_fascicularis ENSMFAG00000045424
chlorocebus_sabaeus ENSCSAG00000010918
callithrix_jacchus ENSCJAG00000009806
saimiri_boliviensis_boliviensis ENSSBOG00000022022
cebus_capucinus_imitator ENSCCAG00000020601
aotus_nancymaae ENSANAG00000037731
carlito_syrichta ENSTSYG00000012075
pteropus_vampyrus ENSPVAG00000014334
myotis_lucifugus ENSMLUG00000022592
sorex_araneus ENSSARG00000005129
ursus_americanus ENSUAMG00000015800
ursus_maritimus ENSUMAG00000004321
ailuropoda_melanoleuca ENSAMEG00000006363
mustela_putorius_furo ENSMPUG00000003238
neovison_vison ENSNVIG00000005687
canis_lupus_dingo ENSCAFG00020014485
canis_lupus_familiaris ENSCAFG00000024668
vulpes_vulpes ENSVVUG00000018752
panthera_tigris_altaica ENSPTIG00000011598
panthera_pardus ENSPPRG00000003788
felis_catus ENSFCAG00000010233
equus_asinus_asinus ENSEASG00005021471
equus_caballus ENSECAG00000022917
bos_taurus ENSBTAG00000038361
bos_mutus ENSBMUG00000016781
bison_bison_bison ENSBBBG00000006323
capra_hircus ENSCHIG00000024163
ovis_aries ENSOARG00000014917
tursiops_truncatus ENSTTRG00000007140
sus_scrofa ENSSSCG00000002479
vicugna_pacos ENSVPAG00000011856
loxodonta_africana ENSLAFG00000026130
procavia_capensis ENSPCAG00000014975
choloepus_hoffmanni ENSCHOG00000003990
dasypus_novemcinctus ENSDNOG00000010426
phascolarctos_cinereus ENSPCIG00000015697
notamacropus_eugenii ENSMEUG00000004423
sarcophilus_harrisii ENSSHAG00000006629
monodelphis_domestica ENSMODG00000012397
