poecilia_latipinna ENSPLAG00000020159
poecilia_formosa ENSPFOG00000010963
poecilia_mexicana ENSPMEG00000013343
poecilia_reticulata ENSPREG00000016672
xiphophorus_maculatus ENSXMAG00000017265
xiphophorus_couchianus ENSXCOG00000019334
fundulus_heteroclitus ENSFHEG00000016197
poecilia_reticulata ENSPREG00000016641
kryptolebias_marmoratus ENSKMAG00000022010
kryptolebias_marmoratus ENSKMAG00000022020
oryzias_latipes_asm223469v1 ENSORLG00015018931
oryzias_latipes_asm223467v1 ENSORLG00000030367
oryzias_latipes_asm223471v1 ENSORLG00020011661
oryzias_latipes_asm223469v1 ENSORLG00015018979
oryzias_latipes_asm223467v1 ENSORLG00000022311
oryzias_latipes_asm223471v1 ENSORLG00020011628
oryzias_latipes_asm223471v1 ENSORLG00020011593
oryzias_latipes_asm223467v1 ENSORLG00000026213
oryzias_latipes_asm223471v1 ENSORLG00020011703
oryzias_latipes_asm223469v1 ENSORLG00015019034
oryzias_latipes_asm223467v1 ENSORLG00000001240
oryzias_latipes_asm223471v1 ENSORLG00020011612
oryzias_latipes_asm223469v1 ENSORLG00015018959
oryzias_melastigma ENSOMEG00000010569
amphiprion_percula ENSAPEG00000011580
acanthochromis_polyacanthus ENSAPOG00000022242
stegastes_partitus ENSSPAG00000014807
mola_mola ENSMMOG00000017467
mola_mola ENSMMOG00000017017
takifugu_rubripes ENSTRUG00000023639
takifugu_rubripes ENSTRUG00000023475
tetraodon_nigroviridis ENSTNIG00000000473
labrus_bergylta ENSLBEG00000028909
labrus_bergylta ENSLBEG00000023176
labrus_bergylta ENSLBEG00000023157
seriola_lalandi_dorsalis ENSSLDG00000019452
seriola_lalandi_dorsalis ENSSLDG00000001501
seriola_dumerili ENSSDUG00000001860
seriola_lalandi_dorsalis ENSSLDG00000012379
scophthalmus_maximus ENSSMAG00000015858
mastacembelus_armatus ENSMAMG00000022110
anabas_testudineus ENSATEG00000012112
periophthalmus_magnuspinnatus ENSPMGG00000008911
periophthalmus_magnuspinnatus ENSPMGG00000008913
