pteropus_vampyrus ENSPVAG00000003112
sorex_araneus ENSSARG00000013777
bos_mutus ENSBMUG00000012726
bison_bison_bison ENSBBBG00000009500
capra_hircus ENSCHIG00000004800
sus_scrofa ENSSSCG00000008714
equus_caballus ENSECAG00000013584
equus_asinus_asinus ENSEASG00005005152
canis_lupus_familiaris ENSCAFG00000014433
urocitellus_parryii ENSUPAG00010004619
spermophilus_dauricus ENSSDAG00000013418
chinchilla_lanigera ENSCLAG00000018086
mus_spicilegus ENSMSIG00000025881
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028151
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043430
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027155
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016939
rattus_norvegicus ENSRNOG00000006845
meriones_unguiculatus ENSMUGG00000023660
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012581
cricetulus_griseus_crigri-picr ENSCGRG00015025046
cricetulus_griseus_crigri_1.0 ENSCGRG00000019435
peromyscus_maniculatus_bairdii ENSPEMG00000030506
castor_canadensis ENSCCNG00000010880
oryctolagus_cuniculus ENSOCUG00000017398
pan_troglodytes ENSPTRG00000031269
pan_paniscus ENSPPAG00000025997
homo_sapiens ENSG00000178597
gorilla_gorilla ENSGGOG00000002811
pongo_abelii ENSPPYG00000014572
nomascus_leucogenys ENSNLEG00000019118
chlorocebus_sabaeus ENSCSAG00000019704
theropithecus_gelada ENSTGEG00000024694
piliocolobus_tephrosceles ENSPTEG00000000262
carlito_syrichta ENSTSYG00000031932
prolemur_simus ENSPSMG00000025849
otolemur_garnettii ENSOGAG00000033890
tupaia_belangeri ENSTBEG00000014635
dasypus_novemcinctus ENSDNOG00000042228
