echinops_telfairi ENSETEG00000005626
procavia_capensis ENSPCAG00000002400
castor_canadensis ENSCCNG00000007171
castor_canadensis ENSCCNG00000004721
dipodomys_ordii ENSDORG00000027245
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028473
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053268
mus_spicilegus ENSMSIG00000005338
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027476
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017254
rattus_norvegicus ENSRNOG00000002168
meriones_unguiculatus ENSMUGG00000016266
microtus_ochrogaster ENSMOCG00000005741
peromyscus_maniculatus_bairdii ENSPEMG00000025899
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007381
cricetulus_griseus_crigri_1.0 ENSCGRG00000017758
cricetulus_griseus_crigri-picr ENSCGRG00015012712
mesocricetus_auratus ENSMAUG00000003984
nannospalax_galili ENSNGAG00000012207
jaculus_jaculus ENSJJAG00000009966
marmota_marmota_marmota ENSMMMG00000007171
spermophilus_dauricus ENSSDAG00000019599
ictidomys_tridecemlineatus ENSSTOG00000026093
urocitellus_parryii ENSUPAG00010003914
fukomys_damarensis ENSFDAG00000020851
oryctolagus_cuniculus ENSOCUG00000022074
ochotona_princeps ENSOPRG00000005438
homo_sapiens ENSG00000152591
pan_troglodytes ENSPTRG00000016261
gorilla_gorilla ENSGGOG00000024325
pongo_abelii ENSPPYG00000014916
nomascus_leucogenys ENSNLEG00000009572
papio_anubis ENSPANG00000034057
macaca_nemestrina ENSMNEG00000028809
cercocebus_atys ENSCATG00000039736
theropithecus_gelada ENSTGEG00000006114
macaca_fascicularis ENSMFAG00000032221
macaca_mulatta ENSMMUG00000010097
colobus_angolensis_palliatus ENSCANG00000028163
piliocolobus_tephrosceles ENSPTEG00000004393
rhinopithecus_bieti ENSRBIG00000035721
callithrix_jacchus ENSCJAG00000040393
aotus_nancymaae ENSANAG00000038291
saimiri_boliviensis_boliviensis ENSSBOG00000025289
cebus_capucinus_imitator ENSCCAG00000026109
carlito_syrichta ENSTSYG00000028838
prolemur_simus ENSPSMG00000016539
microcebus_murinus ENSMICG00000031483
otolemur_garnettii ENSOGAG00000030776
mustela_putorius_furo ENSMPUG00000002243
neovison_vison ENSNVIG00000024866
ursus_maritimus ENSUMAG00000025449
ursus_americanus ENSUAMG00000022812
vulpes_vulpes ENSVVUG00000009196
canis_lupus_dingo ENSCAFG00020008112
panthera_pardus ENSPPRG00000003345
felis_catus ENSFCAG00000025835
panthera_tigris_altaica ENSPTIG00000022109
equus_caballus ENSECAG00000007608
equus_asinus_asinus ENSEASG00005012740
capra_hircus ENSCHIG00000016631
ovis_aries ENSOARG00000005089
bos_taurus ENSBTAG00000045714
bos_mutus ENSBMUG00000025197
bison_bison_bison ENSBBBG00000023372
sus_scrofa ENSSSCG00000009221
tursiops_truncatus ENSTTRG00000002927
pteropus_vampyrus ENSPVAG00000004113
myotis_lucifugus ENSMLUG00000022580
sorex_araneus ENSSARG00000006799
dasypus_novemcinctus ENSDNOG00000036664
sarcophilus_harrisii ENSSHAG00000002200
phascolarctos_cinereus ENSPCIG00000036113
