astyanax_mexicanus ENSAMXG00000025645
pygocentrus_nattereri ENSPNAG00000012249
ictalurus_punctatus ENSIPUG00000022436
scleropages_formosus ENSSFOG00015006054
paramormyrops_kingsleyae ENSPKIG00000022718
danio_rerio ENSDARG00000044341
mola_mola ENSMMOG00000005937
scophthalmus_maximus ENSSMAG00000019672
amphiprion_ocellaris ENSAOCG00000014704
amphiprion_percula ENSAPEG00000018180
acanthochromis_polyacanthus ENSAPOG00000023734
stegastes_partitus ENSSPAG00000017199
oryzias_latipes_asm223467v1 ENSORLG00000016022
oryzias_latipes_asm223469v1 ENSORLG00015014491
oryzias_latipes_asm223471v1 ENSORLG00020018934
oryzias_melastigma ENSOMEG00000004282
monopterus_albus ENSMALG00000015165
mastacembelus_armatus ENSMAMG00000012492
anabas_testudineus ENSATEG00000012627
seriola_lalandi_dorsalis ENSSLDG00000022908
seriola_dumerili ENSSDUG00000002005
labrus_bergylta ENSLBEG00000024417
takifugu_rubripes ENSTRUG00000024334
poecilia_formosa ENSPFOG00000020926
poecilia_latipinna ENSPLAG00000015639
poecilia_mexicana ENSPMEG00000009111
poecilia_reticulata ENSPREG00000017516
xiphophorus_maculatus ENSXMAG00000019936
xiphophorus_couchianus ENSXCOG00000006263
gambusia_affinis ENSGAFG00000018123
cyprinodon_variegatus ENSCVAG00000015228
fundulus_heteroclitus ENSFHEG00000011826
kryptolebias_marmoratus ENSKMAG00000016251
gasterosteus_aculeatus ENSGACG00000013833
hippocampus_comes ENSHCOG00000012058
cynoglossus_semilaevis ENSCSEG00000007665
amphilophus_citrinellus ENSACIG00000005682
periophthalmus_magnuspinnatus ENSPMGG00000003656
esox_lucius ENSELUG00000009754
lepisosteus_oculatus ENSLOCG00000017795
astatotilapia_calliptera ENSACLG00000020234
pundamilia_nyererei ENSPNYG00000013824
haplochromis_burtoni ENSHBUG00000007956
maylandia_zebra ENSMZEG00005020990
neolamprologus_brichardi ENSNBRG00000007000
oreochromis_niloticus ENSONIG00000021356
scleropages_formosus ENSSFOG00015009047
latimeria_chalumnae ENSLACG00000016710
phascolarctos_cinereus ENSPCIG00000016580
sarcophilus_harrisii ENSSHAG00000001300
monodelphis_domestica ENSMODG00000025332
peromyscus_maniculatus_bairdii ENSPEMG00000022504
microtus_ochrogaster ENSMOCG00000008581
mesocricetus_auratus ENSMAUG00000016549
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012203
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034107
mus_spicilegus ENSMSIG00000031559
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037347
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032957
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031500
rattus_norvegicus ENSRNOG00000004258
meriones_unguiculatus ENSMUGG00000025596
nannospalax_galili ENSNGAG00000016021
jaculus_jaculus ENSJJAG00000013054
castor_canadensis ENSCCNG00000004065
dipodomys_ordii ENSDORG00000000051
octodon_degus ENSODEG00000019602
cavia_porcellus ENSCPOG00000005183
chinchilla_lanigera ENSCLAG00000003200
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006779
urocitellus_parryii ENSUPAG00010010355
ictidomys_tridecemlineatus ENSSTOG00000025227
spermophilus_dauricus ENSSDAG00000020598
oryctolagus_cuniculus ENSOCUG00000004224
propithecus_coquereli ENSPCOG00000005330
prolemur_simus ENSPSMG00000014994
otolemur_garnettii ENSOGAG00000028254
macaca_mulatta ENSMMUG00000019663
macaca_nemestrina ENSMNEG00000027662
macaca_fascicularis ENSMFAG00000029054
cercocebus_atys ENSCATG00000002977
theropithecus_gelada ENSTGEG00000006207
papio_anubis ENSPANG00000008543
mandrillus_leucophaeus ENSMLEG00000017937
chlorocebus_sabaeus ENSCSAG00000019563
rhinopithecus_bieti ENSRBIG00000004106
rhinopithecus_roxellana ENSRROG00000007669
piliocolobus_tephrosceles ENSPTEG00000014109
pan_troglodytes ENSPTRG00000047325
pan_paniscus ENSPPAG00000043319
homo_sapiens ENSG00000147119
gorilla_gorilla ENSGGOG00000025638
pongo_abelii ENSPPYG00000020277
nomascus_leucogenys ENSNLEG00000002858
saimiri_boliviensis_boliviensis ENSSBOG00000017049
cebus_capucinus_imitator ENSCCAG00000031574
callithrix_jacchus ENSCJAG00000041345
aotus_nancymaae ENSANAG00000019874
tupaia_belangeri ENSTBEG00000006884
ursus_americanus ENSUAMG00000006550
ailuropoda_melanoleuca ENSAMEG00000013153
canis_lupus_dingo ENSCAFG00020021466
canis_lupus_familiaris ENSCAFG00000014753
vulpes_vulpes ENSVVUG00000014268
neovison_vison ENSNVIG00000016885
mustela_putorius_furo ENSMPUG00000018968
panthera_pardus ENSPPRG00000014832
capra_hircus ENSCHIG00000019628
ovis_aries ENSOARG00000014246
bison_bison_bison ENSBBBG00000013334
bos_taurus ENSBTAG00000007654
sus_scrofa ENSSSCG00000012265
equus_caballus ENSECAG00000029885
equus_asinus_asinus ENSEASG00005022338
dasypus_novemcinctus ENSDNOG00000006572
procavia_capensis ENSPCAG00000010814
apteryx_rowi ENSARWG00000011993
apteryx_owenii ENSAOWG00000010836
apteryx_haastii ENSAHAG00000005201
dromaius_novaehollandiae ENSDNVG00000017177
nothoprocta_perdicaria ENSNPEG00000003933
anas_platyrhynchos_platyrhynchos ENSAPLG00000028678
anser_brachyrhynchus ENSABRG00000017687
gallus_gallus ENSGALG00000031375
coturnix_japonica ENSCJPG00005018442
numida_meleagris ENSNMEG00000015783
calidris_pygmaea ENSCPGG00000014528
melopsittacus_undulatus ENSMUNG00000002756
zonotrichia_albicollis ENSZALG00000008012
junco_hyemalis ENSJHYG00000018128
lonchura_striata_domestica ENSLSDG00000015581
ficedula_albicollis ENSFALG00000004093
parus_major ENSPMJG00000016392
lepidothrix_coronata ENSLCOG00000003519
gopherus_agassizii ENSGAGG00000016509
chelonoidis_abingdonii ENSCABG00000004997
chrysemys_picta_bellii ENSCPBG00000007591
salvator_merianae ENSSMRG00000022405
notechis_scutatus ENSNSUG00000007244
crocodylus_porosus ENSCPRG00005007438
anolis_carolinensis ENSACAG00000027845
xenopus_tropicalis ENSXETG00000004136
eptatretus_burgeri ENSEBUG00000002453
eptatretus_burgeri ENSEBUG00000014303
