ficedula_albicollis ENSFALG00000009257
zonotrichia_albicollis ENSZALG00000001807
lepidothrix_coronata ENSLCOG00000010929
calidris_pygmaea ENSCPGG00000010913
gallus_gallus ENSGALG00000031958
apteryx_rowi ENSARWG00000001306
apteryx_owenii ENSAOWG00000012241
apteryx_haastii ENSAHAG00000014991
crocodylus_porosus ENSCPRG00005006199
ornithorhynchus_anatinus ENSOANG00000021298
pogona_vitticeps ENSPVIG00000016004
anolis_carolinensis ENSACAG00000007650
salvator_merianae ENSSMRG00000012087
notechis_scutatus ENSNSUG00000002566
sphenodon_punctatus ENSSPUG00000002441
chelonoidis_abingdonii ENSCABG00000006021
gopherus_agassizii ENSGAGG00000007253
chrysemys_picta_bellii ENSCPBG00000013768
pelodiscus_sinensis ENSPSIG00000003187
oryctolagus_cuniculus ENSOCUG00000007200
dipodomys_ordii ENSDORG00000012936
pan_troglodytes ENSPTRG00000050931
pan_paniscus ENSPPAG00000000812
gorilla_gorilla ENSGGOG00000009050
homo_sapiens ENSG00000139579
pongo_abelii ENSPPYG00000004650
nomascus_leucogenys ENSNLEG00000017533
papio_anubis ENSPANG00000026357
theropithecus_gelada ENSTGEG00000013571
macaca_fascicularis ENSMFAG00000000354
macaca_mulatta ENSMMUG00000038453
macaca_nemestrina ENSMNEG00000027879
mandrillus_leucophaeus ENSMLEG00000042811
chlorocebus_sabaeus ENSCSAG00000005199
cercocebus_atys ENSCATG00000031131
colobus_angolensis_palliatus ENSCANG00000043770
piliocolobus_tephrosceles ENSPTEG00000004420
rhinopithecus_roxellana ENSRROG00000044063
rhinopithecus_bieti ENSRBIG00000039231
callithrix_jacchus ENSCJAG00000011455
saimiri_boliviensis_boliviensis ENSSBOG00000010714
cebus_capucinus_imitator ENSCCAG00000030372
aotus_nancymaae ENSANAG00000020737
carlito_syrichta ENSTSYG00000029063
propithecus_coquereli ENSPCOG00000014721
microcebus_murinus ENSMICG00000046909
prolemur_simus ENSPSMG00000024009
otolemur_garnettii ENSOGAG00000026514
mus_spicilegus ENSMSIG00000008469
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025374
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016761
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015936
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031148
rattus_norvegicus ENSRNOG00000023480
meriones_unguiculatus ENSMUGG00000022891
cricetulus_griseus_crigri_1.0 ENSCGRG00000018023
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022709
cricetulus_griseus_crigri-picr ENSCGRG00015028294
mesocricetus_auratus ENSMAUG00000002611
microtus_ochrogaster ENSMOCG00000020813
peromyscus_maniculatus_bairdii ENSPEMG00000013415
nannospalax_galili ENSNGAG00000020105
jaculus_jaculus ENSJJAG00000024279
castor_canadensis ENSCCNG00000020024
cavia_porcellus ENSCPOG00000014895
cavia_aperea ENSCAPG00000016677
chinchilla_lanigera ENSCLAG00000012948
octodon_degus ENSODEG00000005221
octodon_degus ENSODEG00000005960
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017829
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019193
fukomys_damarensis ENSFDAG00000012266
ictidomys_tridecemlineatus ENSSTOG00000015937
urocitellus_parryii ENSUPAG00010015675
spermophilus_dauricus ENSSDAG00000005864
marmota_marmota_marmota ENSMMMG00000013765
myotis_lucifugus ENSMLUG00000006646
pteropus_vampyrus ENSPVAG00000007578
equus_caballus ENSECAG00000008042
equus_asinus_asinus ENSEASG00005004905
ovis_aries ENSOARG00000009774
bos_mutus ENSBMUG00000017512
bos_taurus ENSBTAG00000002798
bison_bison_bison ENSBBBG00000002860
capra_hircus ENSCHIG00000015362
tursiops_truncatus ENSTTRG00000007083
sus_scrofa ENSSSCG00000000384
ursus_americanus ENSUAMG00000027231
ursus_maritimus ENSUMAG00000016815
ailuropoda_melanoleuca ENSAMEG00000003630
mustela_putorius_furo ENSMPUG00000001297
mustela_putorius_furo ENSMPUG00000020071
neovison_vison ENSNVIG00000022526
canis_lupus_dingo ENSCAFG00020024920
canis_lupus_familiaris ENSCAFG00000023084
vulpes_vulpes ENSVVUG00000021962
panthera_tigris_altaica ENSPTIG00000011222
panthera_pardus ENSPPRG00000001294
felis_catus ENSFCAG00000012015
erinaceus_europaeus ENSEEUG00000001325
erinaceus_europaeus ENSEEUG00000000869
loxodonta_africana ENSLAFG00000000193
procavia_capensis ENSPCAG00000009311
dasypus_novemcinctus ENSDNOG00000013517
phascolarctos_cinereus ENSPCIG00000024649
phascolarctos_cinereus ENSPCIG00000034180
notamacropus_eugenii ENSMEUG00000004485
sarcophilus_harrisii ENSSHAG00000002240
echinops_telfairi ENSETEG00000007056
latimeria_chalumnae ENSLACG00000010866
xenopus_tropicalis ENSXETG00000024652
astyanax_mexicanus ENSAMXG00000035256
pygocentrus_nattereri ENSPNAG00000007952
ictalurus_punctatus ENSIPUG00000002786
danio_rerio ENSDARG00000090976
esox_lucius ENSELUG00000022241
scleropages_formosus ENSSFOG00015017976
paramormyrops_kingsleyae ENSPKIG00000003530
lepisosteus_oculatus ENSLOCG00000004560
serinus_canaria ENSSCAG00000001908
ciona_savignyi ENSCSAVG00000001016
