kryptolebias_marmoratus ENSKMAG00000015909
poecilia_reticulata ENSPREG00000021607
oryzias_melastigma ENSOMEG00000004170
acanthochromis_polyacanthus ENSAPOG00000012696
gasterosteus_aculeatus ENSGACG00000003651
oryzias_latipes_asm223471v1 ENSORLG00020016347
gambusia_affinis ENSGAFG00000018372
oryzias_latipes_asm223469v1 ENSORLG00015000138
astatotilapia_calliptera ENSACLG00000024877
cynoglossus_semilaevis ENSCSEG00000013357
esox_lucius ENSELUG00000013979
pogona_vitticeps ENSPVIG00000020159
notechis_scutatus ENSNSUG00000007724
lonchura_striata_domestica ENSLSDG00000006514
ursus_maritimus ENSUMAG00000025572
ursus_americanus ENSUAMG00000008854
sus_scrofa ENSSSCG00000031608
octodon_degus ENSODEG00000005411
microcebus_murinus ENSMICG00000043312
phascolarctos_cinereus ENSPCIG00000007287
