poecilia_reticulata ENSPREG00000005796
xiphophorus_maculatus ENSXMAG00000027967
fundulus_heteroclitus ENSFHEG00000018036
gambusia_affinis ENSGAFG00000008475
fundulus_heteroclitus ENSFHEG00000016246
astatotilapia_calliptera ENSACLG00000011928
maylandia_zebra ENSMZEG00005007466
astatotilapia_calliptera ENSACLG00000011972
neolamprologus_brichardi ENSNBRG00000005210
stegastes_partitus ENSSPAG00000003013
xiphophorus_couchianus ENSXCOG00000007506
xiphophorus_maculatus ENSXMAG00000022747
oryzias_latipes_asm223471v1 ENSORLG00020009641
oryzias_latipes_asm223467v1 ENSORLG00000030254
oryzias_latipes_asm223469v1 ENSORLG00015004396
oryzias_melastigma ENSOMEG00000010537
amphiprion_ocellaris ENSAOCG00000004098
pundamilia_nyererei ENSPNYG00000020068
haplochromis_burtoni ENSHBUG00000014147
oryzias_latipes_asm223469v1 ENSORLG00015004328
labrus_bergylta ENSLBEG00000009504
labrus_bergylta ENSLBEG00000009524
mola_mola ENSMMOG00000017038
anabas_testudineus ENSATEG00000021068
haplochromis_burtoni ENSHBUG00000017407
cynoglossus_semilaevis ENSCSEG00000009949
periophthalmus_magnuspinnatus ENSPMGG00000009294
esox_lucius ENSELUG00000004352
esox_lucius ENSELUG00000009886
