sphenodon_punctatus ENSSPUG00000016913
pogona_vitticeps ENSPVIG00000008412
notechis_scutatus ENSNSUG00000006135
zonotrichia_albicollis ENSZALG00000008935
junco_hyemalis ENSJHYG00000018389
lonchura_striata_domestica ENSLSDG00000007176
ficedula_albicollis ENSFALG00000000747
lepidothrix_coronata ENSLCOG00000006011
apteryx_haastii ENSAHAG00000006401
coturnix_japonica ENSCJPG00005002562
coturnix_japonica ENSCJPG00005005046
cyanistes_caeruleus ENSCCEG00000005378
apteryx_owenii ENSAOWG00000011710
equus_asinus_asinus ENSEASG00005019446
equus_caballus ENSECAG00000012112
pteropus_vampyrus ENSPVAG00000016357
erinaceus_europaeus ENSEEUG00000011264
bos_mutus ENSBMUG00000022151
bos_taurus ENSBTAG00000008779
bison_bison_bison ENSBBBG00000002401
capra_hircus ENSCHIG00000018610
ovis_aries ENSOARG00000018613
tursiops_truncatus ENSTTRG00000010310
sus_scrofa ENSSSCG00000017978
vicugna_pacos ENSVPAG00000000475
pan_paniscus ENSPPAG00000040178
pan_troglodytes ENSPTRG00000008721
homo_sapiens ENSG00000179593
gorilla_gorilla ENSGGOG00000014350
pongo_abelii ENSPPYG00000007946
colobus_angolensis_palliatus ENSCANG00000039215
piliocolobus_tephrosceles ENSPTEG00000008827
rhinopithecus_bieti ENSRBIG00000028437
rhinopithecus_roxellana ENSRROG00000039498
theropithecus_gelada ENSTGEG00000025966
papio_anubis ENSPANG00000023835
mandrillus_leucophaeus ENSMLEG00000033978
cercocebus_atys ENSCATG00000041311
macaca_mulatta ENSMMUG00000009995
macaca_fascicularis ENSMFAG00000002960
macaca_nemestrina ENSMNEG00000043280
chlorocebus_sabaeus ENSCSAG00000010996
saimiri_boliviensis_boliviensis ENSSBOG00000035660
cebus_capucinus_imitator ENSCCAG00000029779
aotus_nancymaae ENSANAG00000032304
carlito_syrichta ENSTSYG00000004969
prolemur_simus ENSPSMG00000018141
propithecus_coquereli ENSPCOG00000006202
microcebus_murinus ENSMICG00000013649
otolemur_garnettii ENSOGAG00000001949
tupaia_belangeri ENSTBEG00000002153
tupaia_belangeri ENSTBEG00000003343
castor_canadensis ENSCCNG00000002277
dipodomys_ordii ENSDORG00000014346
mus_spicilegus ENSMSIG00000009726
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017395
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020891
