taeniopygia_guttata ENSTGUG00000003456
lonchura_striata_domestica ENSLSDG00000014259
cyanistes_caeruleus ENSCCEG00000001891
parus_major ENSPMJG00000018871
ficedula_albicollis ENSFALG00000013812
junco_hyemalis ENSJHYG00000001618
manacus_vitellinus ENSMVIG00005008841
lepidothrix_coronata ENSLCOG00000014934
zonotrichia_albicollis ENSZALG00000003381
anas_platyrhynchos_platyrhynchos ENSAPLG00000015773
chelonoidis_abingdonii ENSCABG00000011506
salvator_merianae ENSSMRG00000001913
coturnix_japonica ENSCJPG00005004626
meleagris_gallopavo ENSMGAG00000002229
gallus_gallus ENSGALG00000001122
numida_meleagris ENSNMEG00000012621
calidris_pugnax ENSCPUG00000007364
calidris_pygmaea ENSCPGG00000005537
melopsittacus_undulatus ENSMUNG00000002187
anser_brachyrhynchus ENSABRG00000007334
apteryx_owenii ENSAOWG00000018082
apteryx_haastii ENSAHAG00000005065
apteryx_rowi ENSARWG00000006223
dromaius_novaehollandiae ENSDNVG00000006061
nothoprocta_perdicaria ENSNPEG00000003213
chrysemys_picta_bellii ENSCPBG00000014900
gopherus_agassizii ENSGAGG00000000046
pelodiscus_sinensis ENSPSIG00000003384
crocodylus_porosus ENSCPRG00005007782
pogona_vitticeps ENSPVIG00000009876
anolis_carolinensis ENSACAG00000000491
notechis_scutatus ENSNSUG00000007965
sphenodon_punctatus ENSSPUG00000002764
oryctolagus_cuniculus ENSOCUG00000000973
ochotona_princeps ENSOPRG00000003196
ictidomys_tridecemlineatus ENSSTOG00000013753
marmota_marmota_marmota ENSMMMG00000005387
urocitellus_parryii ENSUPAG00010019121
dipodomys_ordii ENSDORG00000026569
mustela_putorius_furo ENSMPUG00000016189
neovison_vison ENSNVIG00000017876
ursus_maritimus ENSUMAG00000015325
ailuropoda_melanoleuca ENSAMEG00000004180
canis_lupus_familiaris ENSCAFG00000011106
canis_lupus_dingo ENSCAFG00020005451
vulpes_vulpes ENSVVUG00000016447
panthera_pardus ENSPPRG00000006558
panthera_tigris_altaica ENSPTIG00000017633
felis_catus ENSFCAG00000008708
prolemur_simus ENSPSMG00000005420
microcebus_murinus ENSMICG00000001453
propithecus_coquereli ENSPCOG00000027421
otolemur_garnettii ENSOGAG00000002143
saimiri_boliviensis_boliviensis ENSSBOG00000024914
callithrix_jacchus ENSCJAG00000004318
aotus_nancymaae ENSANAG00000036563
cebus_capucinus_imitator ENSCCAG00000035223
rhinopithecus_bieti ENSRBIG00000027864
piliocolobus_tephrosceles ENSPTEG00000007848
colobus_angolensis_palliatus ENSCANG00000032465
theropithecus_gelada ENSTGEG00000001503
mandrillus_leucophaeus ENSMLEG00000041939
macaca_fascicularis ENSMFAG00000032381
macaca_nemestrina ENSMNEG00000033085
cercocebus_atys ENSCATG00000029482
papio_anubis ENSPANG00000017545
pan_troglodytes ENSPTRG00000019263
pan_paniscus ENSPPAG00000033319
gorilla_gorilla ENSGGOG00000038999
homo_sapiens ENSG00000183166
pongo_abelii ENSPPYG00000017516
nomascus_leucogenys ENSNLEG00000013208
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016805
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014061
fukomys_damarensis ENSFDAG00000007927
cavia_aperea ENSCAPG00000012272
cavia_porcellus ENSCPOG00000039564
octodon_degus ENSODEG00000015050
chinchilla_lanigera ENSCLAG00000017310
peromyscus_maniculatus_bairdii ENSPEMG00000018124
microtus_ochrogaster ENSMOCG00000004315
cricetulus_griseus_crigri_1.0 ENSCGRG00000000438
cricetulus_griseus_crigri-picr ENSCGRG00015002480
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016069
mus_spicilegus ENSMSIG00000021434
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000060371
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028800
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027802
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024381
rattus_norvegicus ENSRNOG00000000886
meriones_unguiculatus ENSMUGG00000005702
jaculus_jaculus ENSJJAG00000017260
tupaia_belangeri ENSTBEG00000014413
ovis_aries ENSOARG00000010710
capra_hircus ENSCHIG00000013488
bos_taurus ENSBTAG00000043969
bos_mutus ENSBMUG00000003256
tursiops_truncatus ENSTTRG00000016273
sus_scrofa ENSSSCG00000007730
equus_asinus_asinus ENSEASG00005008816
equus_caballus ENSECAG00000022951
myotis_lucifugus ENSMLUG00000000932
pteropus_vampyrus ENSPVAG00000015388
erinaceus_europaeus ENSEEUG00000006387
loxodonta_africana ENSLAFG00000016544
procavia_capensis ENSPCAG00000008858
choloepus_hoffmanni ENSCHOG00000004391
chlorocebus_sabaeus ENSCSAG00000018273
mesocricetus_auratus ENSMAUG00000008778
echinops_telfairi ENSETEG00000004122
dasypus_novemcinctus ENSDNOG00000036478
ornithorhynchus_anatinus ENSOANG00000008778
gambusia_affinis ENSGAFG00000014412
astatotilapia_calliptera ENSACLG00000005848
notamacropus_eugenii ENSMEUG00000011741
phascolarctos_cinereus ENSPCIG00000030627
sarcophilus_harrisii ENSSHAG00000012581
monodelphis_domestica ENSMODG00000006694
pygocentrus_nattereri ENSPNAG00000008994
astyanax_mexicanus ENSAMXG00000004126
ictalurus_punctatus ENSIPUG00000016416
danio_rerio ENSDARG00000088898
poecilia_mexicana ENSPMEG00000019356
poecilia_formosa ENSPFOG00000015955
poecilia_latipinna ENSPLAG00000003587
poecilia_reticulata ENSPREG00000018801
xiphophorus_maculatus ENSXMAG00000014354
xiphophorus_couchianus ENSXCOG00000009806
cyprinodon_variegatus ENSCVAG00000000771
fundulus_heteroclitus ENSFHEG00000020696
kryptolebias_marmoratus ENSKMAG00000018626
oryzias_latipes_asm223469v1 ENSORLG00015008146
oryzias_latipes_asm223467v1 ENSORLG00000022802
oryzias_latipes_asm223471v1 ENSORLG00020019397
oryzias_melastigma ENSOMEG00000022768
takifugu_rubripes ENSTRUG00000016130
tetraodon_nigroviridis ENSTNIG00000018998
