maylandia_zebra ENSMZEG00005006287
astatotilapia_calliptera ENSACLG00000025990
haplochromis_burtoni ENSHBUG00000006655
pundamilia_nyererei ENSPNYG00000002845
neolamprologus_brichardi ENSNBRG00000005444
fundulus_heteroclitus ENSFHEG00000011039
takifugu_rubripes ENSTRUG00000024440
cynoglossus_semilaevis ENSCSEG00000007751
stegastes_partitus ENSSPAG00000007330
poecilia_mexicana ENSPMEG00000016122
poecilia_latipinna ENSPLAG00000011557
poecilia_reticulata ENSPREG00000011126
xiphophorus_couchianus ENSXCOG00000003966
xiphophorus_maculatus ENSXMAG00000025565
oryzias_latipes_asm223467v1 ENSORLG00000028952
oryzias_latipes_asm223469v1 ENSORLG00015001249
oryzias_latipes_asm223471v1 ENSORLG00020001612
oryzias_melastigma ENSOMEG00000005314
amphilophus_citrinellus ENSACIG00000010108
amphiprion_ocellaris ENSAOCG00000003514
amphiprion_percula ENSAPEG00000003064
mastacembelus_armatus ENSMAMG00000005087
anabas_testudineus ENSATEG00000006410
scophthalmus_maximus ENSSMAG00000007330
periophthalmus_magnuspinnatus ENSPMGG00000014557
mola_mola ENSMMOG00000020928
