danio_rerio ENSDARG00000099437
astyanax_mexicanus ENSAMXG00000041280
xiphophorus_maculatus ENSXMAG00000006821
gambusia_affinis ENSGAFG00000004654
poecilia_formosa ENSPFOG00000023961
poecilia_latipinna ENSPLAG00000013996
poecilia_mexicana ENSPMEG00000005317
cyprinodon_variegatus ENSCVAG00000003541
oryzias_latipes_asm223467v1 ENSORLG00000028577
oryzias_latipes_asm223469v1 ENSORLG00015022470
oryzias_latipes_asm223471v1 ENSORLG00020007128
takifugu_rubripes ENSTRUG00000024784
amphiprion_percula ENSAPEG00000024294
astatotilapia_calliptera ENSACLG00000022866
oryzias_melastigma ENSOMEG00000018910
anabas_testudineus ENSATEG00000014420
scophthalmus_maximus ENSSMAG00000010913
mastacembelus_armatus ENSMAMG00000016771
mastacembelus_armatus ENSMAMG00000016749
monopterus_albus ENSMALG00000005908
amphiprion_ocellaris ENSAOCG00000008839
amphiprion_percula ENSAPEG00000024307
amphilophus_citrinellus ENSACIG00000005793
neolamprologus_brichardi ENSNBRG00000020151
seriola_dumerili ENSSDUG00000003539
periophthalmus_magnuspinnatus ENSPMGG00000015066
labrus_bergylta ENSLBEG00000023493
ficedula_albicollis ENSFALG00000011308
taeniopygia_guttata ENSTGUG00000008007
numida_meleagris ENSNMEG00000016481
salvator_merianae ENSSMRG00000005860
anolis_carolinensis ENSACAG00000029479
