calidris_pugnax ENSCPUG00000005860
calidris_pygmaea ENSCPGG00000012766
taeniopygia_guttata ENSTGUG00000002835
lonchura_striata_domestica ENSLSDG00000005921
serinus_canaria ENSSCAG00000000616
zonotrichia_albicollis ENSZALG00000003084
junco_hyemalis ENSJHYG00000012071
ficedula_albicollis ENSFALG00000009570
cyanistes_caeruleus ENSCCEG00000017883
parus_major ENSPMJG00000013335
taeniopygia_guttata ENSTGUG00000014692
lepidothrix_coronata ENSLCOG00000003427
manacus_vitellinus ENSMVIG00005001668
melopsittacus_undulatus ENSMUNG00000013763
meleagris_gallopavo ENSMGAG00000001896
coturnix_japonica ENSCJPG00005009495
gallus_gallus ENSGALG00000001081
numida_meleagris ENSNMEG00000005080
anser_brachyrhynchus ENSABRG00000006365
anas_platyrhynchos_platyrhynchos ENSAPLG00000006420
apteryx_haastii ENSAHAG00000014855
apteryx_rowi ENSARWG00000006857
apteryx_owenii ENSAOWG00000008466
dromaius_novaehollandiae ENSDNVG00000017837
nothoprocta_perdicaria ENSNPEG00000005998
crocodylus_porosus ENSCPRG00005012574
chelonoidis_abingdonii ENSCABG00000018293
gopherus_agassizii ENSGAGG00000021232
chrysemys_picta_bellii ENSCPBG00000021474
pelodiscus_sinensis ENSPSIG00000004087
anolis_carolinensis ENSACAG00000007852
pogona_vitticeps ENSPVIG00000020936
salvator_merianae ENSSMRG00000008963
phascolarctos_cinereus ENSPCIG00000020112
notamacropus_eugenii ENSMEUG00000010696
sarcophilus_harrisii ENSSHAG00000015062
monodelphis_domestica ENSMODG00000008310
ornithorhynchus_anatinus ENSOANG00000029895
procavia_capensis ENSPCAG00000015950
procavia_capensis ENSPCAG00000015528
loxodonta_africana ENSLAFG00000020870
dasypus_novemcinctus ENSDNOG00000048328
pan_paniscus ENSPPAG00000043335
pan_troglodytes ENSPTRG00000033888
homo_sapiens ENSG00000215912
gorilla_gorilla ENSGGOG00000007020
pongo_abelii ENSPPYG00000001971
nomascus_leucogenys ENSNLEG00000000272
colobus_angolensis_palliatus ENSCANG00000010131
piliocolobus_tephrosceles ENSPTEG00000019818
rhinopithecus_roxellana ENSRROG00000032518
rhinopithecus_bieti ENSRBIG00000043272
mandrillus_leucophaeus ENSMLEG00000038672
cercocebus_atys ENSCATG00000027432
theropithecus_gelada ENSTGEG00000012882
papio_anubis ENSPANG00000009324
macaca_nemestrina ENSMNEG00000029683
macaca_mulatta ENSMMUG00000048622
macaca_fascicularis ENSMFAG00000030925
chlorocebus_sabaeus ENSCSAG00000000719
cebus_capucinus_imitator ENSCCAG00000026375
saimiri_boliviensis_boliviensis ENSSBOG00000031203
callithrix_jacchus ENSCJAG00000002648
aotus_nancymaae ENSANAG00000028232
carlito_syrichta ENSTSYG00000031715
propithecus_coquereli ENSPCOG00000003769
prolemur_simus ENSPSMG00000000502
microcebus_murinus ENSMICG00000037123
otolemur_garnettii ENSOGAG00000031793
castor_canadensis ENSCCNG00000003876
dipodomys_ordii ENSDORG00000000265
marmota_marmota_marmota ENSMMMG00000018716
spermophilus_dauricus ENSSDAG00000023469
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015000
cricetulus_griseus_crigri_1.0 ENSCGRG00000014783
cricetulus_griseus_crigri-picr ENSCGRG00015013178
mesocricetus_auratus ENSMAUG00000013133
microtus_ochrogaster ENSMOCG00000006462
peromyscus_maniculatus_bairdii ENSPEMG00000003914
mus_spicilegus ENSMSIG00000015948
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046637
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027868
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026875
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029223
rattus_norvegicus ENSRNOG00000024526
meriones_unguiculatus ENSMUGG00000001583
nannospalax_galili ENSNGAG00000011533
jaculus_jaculus ENSJJAG00000016707
chinchilla_lanigera ENSCLAG00000005188
octodon_degus ENSODEG00000010598
cavia_aperea ENSCAPG00000008794
cavia_porcellus ENSCPOG00000025630
