dromaius_novaehollandiae ENSDNVG00000003724
nothoprocta_perdicaria ENSNPEG00000005293
apteryx_rowi ENSARWG00000002179
lepidothrix_coronata ENSLCOG00000003165
manacus_vitellinus ENSMVIG00005009363
parus_major ENSPMJG00000015132
cyanistes_caeruleus ENSCCEG00000023127
ficedula_albicollis ENSFALG00000005240
junco_hyemalis ENSJHYG00000016629
zonotrichia_albicollis ENSZALG00000010932
serinus_canaria ENSSCAG00000010425
lonchura_striata_domestica ENSLSDG00000014847
taeniopygia_guttata ENSTGUG00000002513
melopsittacus_undulatus ENSMUNG00000016339
calidris_pugnax ENSCPUG00000008049
calidris_pygmaea ENSCPGG00000004687
gallus_gallus ENSGALG00000008920
meleagris_gallopavo ENSMGAG00000001554
coturnix_japonica ENSCJPG00005015836
numida_meleagris ENSNMEG00000000728
anser_brachyrhynchus ENSABRG00000018558
nothoprocta_perdicaria ENSNPEG00000005296
apteryx_owenii ENSAOWG00000000317
apteryx_haastii ENSAHAG00000011898
anas_platyrhynchos_platyrhynchos ENSAPLG00000028938
crocodylus_porosus ENSCPRG00005011972
chelonoidis_abingdonii ENSCABG00000004986
gopherus_agassizii ENSGAGG00000004259
chrysemys_picta_bellii ENSCPBG00000000805
pelodiscus_sinensis ENSPSIG00000008779
sphenodon_punctatus ENSSPUG00000011040
pogona_vitticeps ENSPVIG00000013079
anolis_carolinensis ENSACAG00000012920
salvator_merianae ENSSMRG00000000488
notechis_scutatus ENSNSUG00000000667
capra_hircus ENSCHIG00000009768
ovis_aries ENSOARG00000002519
bos_mutus ENSBMUG00000026077
bos_taurus ENSBTAG00000047061
bison_bison_bison ENSBBBG00000022569
tursiops_truncatus ENSTTRG00000015359
sus_scrofa ENSSSCG00000005859
equus_caballus ENSECAG00000023940
ursus_americanus ENSUAMG00000021513
ursus_maritimus ENSUMAG00000023264
ailuropoda_melanoleuca ENSAMEG00000016418
neovison_vison ENSNVIG00000009586
mustela_putorius_furo ENSMPUG00000015111
canis_lupus_dingo ENSCAFG00020003114
canis_lupus_familiaris ENSCAFG00000019475
vulpes_vulpes ENSVVUG00000029424
panthera_pardus ENSPPRG00000006063
panthera_tigris_altaica ENSPTIG00000009392
felis_catus ENSFCAG00000028006
pteropus_vampyrus ENSPVAG00000008389
cavia_porcellus ENSCPOG00000009779
cavia_aperea ENSCAPG00000012444
chinchilla_lanigera ENSCLAG00000006332
octodon_degus ENSODEG00000015210
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011717
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011607
fukomys_damarensis ENSFDAG00000020070
urocitellus_parryii ENSUPAG00010006072
ictidomys_tridecemlineatus ENSSTOG00000004178
spermophilus_dauricus ENSSDAG00000003343
marmota_marmota_marmota ENSMMMG00000008644
castor_canadensis ENSCCNG00000002966
dipodomys_ordii ENSDORG00000009425
mus_spicilegus ENSMSIG00000023474
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024176
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000006471
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000115074
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023259
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024717
rattus_norvegicus ENSRNOG00000010616
meriones_unguiculatus ENSMUGG00000006816
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008788
cricetulus_griseus_crigri-picr ENSCGRG00015007024
cricetulus_griseus_crigri_1.0 ENSCGRG00000011702
peromyscus_maniculatus_bairdii ENSPEMG00000009089
microtus_ochrogaster ENSMOCG00000014853
nannospalax_galili ENSNGAG00000020219
jaculus_jaculus ENSJJAG00000023469
pan_troglodytes ENSPTRG00000024013
pan_paniscus ENSPPAG00000038650
homo_sapiens ENSG00000188566
gorilla_gorilla ENSGGOG00000026994
pongo_abelii ENSPPYG00000019817
nomascus_leucogenys ENSNLEG00000009137
rhinopithecus_roxellana ENSRROG00000033862
rhinopithecus_bieti ENSRBIG00000035758
colobus_angolensis_palliatus ENSCANG00000032366
piliocolobus_tephrosceles ENSPTEG00000023704
papio_anubis ENSPANG00000026336
cercocebus_atys ENSCATG00000022392
theropithecus_gelada ENSTGEG00000004906
mandrillus_leucophaeus ENSMLEG00000035151
macaca_mulatta ENSMMUG00000018107
macaca_nemestrina ENSMNEG00000000380
macaca_fascicularis ENSMFAG00000039422
chlorocebus_sabaeus ENSCSAG00000016571
cebus_capucinus_imitator ENSCCAG00000023502
saimiri_boliviensis_boliviensis ENSSBOG00000025055
callithrix_jacchus ENSCJAG00000013075
aotus_nancymaae ENSANAG00000027780
carlito_syrichta ENSTSYG00000033289
propithecus_coquereli ENSPCOG00000017736
microcebus_murinus ENSMICG00000006082
prolemur_simus ENSPSMG00000006547
otolemur_garnettii ENSOGAG00000005920
erinaceus_europaeus ENSEEUG00000000918
mesocricetus_auratus ENSMAUG00000000395
ochotona_princeps ENSOPRG00000015939
equus_asinus_asinus ENSEASG00005016229
echinops_telfairi ENSETEG00000008613
loxodonta_africana ENSLAFG00000004568
procavia_capensis ENSPCAG00000004618
dasypus_novemcinctus ENSDNOG00000043247
notamacropus_eugenii ENSMEUG00000010807
phascolarctos_cinereus ENSPCIG00000006200
sarcophilus_harrisii ENSSHAG00000008821
monodelphis_domestica ENSMODG00000017200
xenopus_tropicalis ENSXETG00000022930
latimeria_chalumnae ENSLACG00000013277
xiphophorus_couchianus ENSXCOG00000000260
xiphophorus_maculatus ENSXMAG00000003862
poecilia_formosa ENSPFOG00000004857
poecilia_latipinna ENSPLAG00000020306
poecilia_mexicana ENSPMEG00000020388
poecilia_reticulata ENSPREG00000007661
gambusia_affinis ENSGAFG00000008471
fundulus_heteroclitus ENSFHEG00000004294
cyprinodon_variegatus ENSCVAG00000013311
kryptolebias_marmoratus ENSKMAG00000005771
oryzias_latipes_asm223467v1 ENSORLG00000020185
oryzias_latipes_asm223471v1 ENSORLG00020002046
oryzias_latipes_asm223469v1 ENSORLG00015013768
