scophthalmus_maximus ENSSMAG00000014540
cynoglossus_semilaevis ENSCSEG00000003409
gasterosteus_aculeatus ENSGACG00000014542
fundulus_heteroclitus ENSFHEG00000018474
fundulus_heteroclitus ENSFHEG00000018469
poecilia_formosa ENSPFOG00000002638
gambusia_affinis ENSGAFG00000018871
kryptolebias_marmoratus ENSKMAG00000003431
oryzias_latipes_asm223467v1 ENSORLG00000018750
oryzias_melastigma ENSOMEG00000010055
oryzias_latipes_asm223467v1 ENSORLG00000000225
oryzias_latipes_asm223471v1 ENSORLG00020010403
oryzias_latipes_asm223469v1 ENSORLG00015011680
oryzias_melastigma ENSOMEG00000010090
amphiprion_percula ENSAPEG00000015455
acanthochromis_polyacanthus ENSAPOG00000003797
stegastes_partitus ENSSPAG00000011021
maylandia_zebra ENSMZEG00005021109
pundamilia_nyererei ENSPNYG00000015049
oreochromis_niloticus ENSONIG00000000948
amphilophus_citrinellus ENSACIG00000006224
amphilophus_citrinellus ENSACIG00000006244
monopterus_albus ENSMALG00000016364
mastacembelus_armatus ENSMAMG00000021960
gadus_morhua ENSGMOG00000008665
gopherus_agassizii ENSGAGG00000013017
chelonoidis_abingdonii ENSCABG00000009370
chrysemys_picta_bellii ENSCPBG00000013286
pelodiscus_sinensis ENSPSIG00000012980
pogona_vitticeps ENSPVIG00000007378
anolis_carolinensis ENSACAG00000001282
notechis_scutatus ENSNSUG00000012074
salvator_merianae ENSSMRG00000011446
xenopus_tropicalis ENSXETG00000014441
latimeria_chalumnae ENSLACG00000008304
