cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010751
cricetulus_griseus_crigri-picr ENSCGRG00015015514
cricetulus_griseus_crigri_1.0 ENSCGRG00000016203
mesocricetus_auratus ENSMAUG00000007962
microtus_ochrogaster ENSMOCG00000016011
peromyscus_maniculatus_bairdii ENSPEMG00000019048
mus_spicilegus ENSMSIG00000015925
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110404
meriones_unguiculatus ENSMUGG00000004196
nannospalax_galili ENSNGAG00000020782
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004312
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008643
chinchilla_lanigera ENSCLAG00000008086
marmota_marmota_marmota ENSMMMG00000021024
urocitellus_parryii ENSUPAG00010015971
castor_canadensis ENSCCNG00000017829
pan_troglodytes ENSPTRG00000049634
homo_sapiens ENSG00000237330
nomascus_leucogenys ENSNLEG00000028621
macaca_mulatta ENSMMUG00000032293
theropithecus_gelada ENSTGEG00000010670
chlorocebus_sabaeus ENSCSAG00000000631
piliocolobus_tephrosceles ENSPTEG00000014393
callithrix_jacchus ENSCJAG00000011411
carlito_syrichta ENSTSYG00000036250
prolemur_simus ENSPSMG00000012513
otolemur_garnettii ENSOGAG00000032911
bos_mutus ENSBMUG00000024724
bos_taurus ENSBTAG00000046758
bison_bison_bison ENSBBBG00000015977
capra_hircus ENSCHIG00000011163
sus_scrofa ENSSSCG00000034107
equus_asinus_asinus ENSEASG00005015042
equus_caballus ENSECAG00000022747
ursus_americanus ENSUAMG00000017914
ursus_americanus ENSUAMG00000017915
ailuropoda_melanoleuca ENSAMEG00000016635
mustela_putorius_furo ENSMPUG00000020070
neovison_vison ENSNVIG00000007311
canis_lupus_dingo ENSCAFG00020011641
canis_lupus_familiaris ENSCAFG00000023177
vulpes_vulpes ENSVVUG00000004022
panthera_pardus ENSPPRG00000021302
felis_catus ENSFCAG00000043375
dasypus_novemcinctus ENSDNOG00000039056
loxodonta_africana ENSLAFG00000027754
phascolarctos_cinereus ENSPCIG00000010570
anolis_carolinensis ENSACAG00000011618
pogona_vitticeps ENSPVIG00000022462
notechis_scutatus ENSNSUG00000001596
salvator_merianae ENSSMRG00000009182
sphenodon_punctatus ENSSPUG00000018900
junco_hyemalis ENSJHYG00000004847
serinus_canaria ENSSCAG00000017261
taeniopygia_guttata ENSTGUG00000004049
lonchura_striata_domestica ENSLSDG00000014794
parus_major ENSPMJG00000014407
lepidothrix_coronata ENSLCOG00000015102
calidris_pugnax ENSCPUG00000012650
calidris_pygmaea ENSCPGG00000011114
anas_platyrhynchos_platyrhynchos ENSAPLG00000001586
anser_brachyrhynchus ENSABRG00000007195
coturnix_japonica ENSCJPG00005011238
meleagris_gallopavo ENSMGAG00000003314
melopsittacus_undulatus ENSMUNG00000015723
apteryx_haastii ENSAHAG00000008474
apteryx_rowi ENSARWG00000003394
apteryx_owenii ENSAOWG00000004109
dromaius_novaehollandiae ENSDNVG00000009916
nothoprocta_perdicaria ENSNPEG00000005045
gopherus_agassizii ENSGAGG00000001994
chelonoidis_abingdonii ENSCABG00000022059
chrysemys_picta_bellii ENSCPBG00000022170
pelodiscus_sinensis ENSPSIG00000000876
xenopus_tropicalis ENSXETG00000031925
latimeria_chalumnae ENSLACG00000018466
astyanax_mexicanus ENSAMXG00000002229
pygocentrus_nattereri ENSPNAG00000016322
ictalurus_punctatus ENSIPUG00000016738
paramormyrops_kingsleyae ENSPKIG00000001034
scophthalmus_maximus ENSSMAG00000008165
cynoglossus_semilaevis ENSCSEG00000005091
seriola_dumerili ENSSDUG00000001721
seriola_lalandi_dorsalis ENSSLDG00000005535
hippocampus_comes ENSHCOG00000003924
amphiprion_ocellaris ENSAOCG00000023628
acanthochromis_polyacanthus ENSAPOG00000014722
stegastes_partitus ENSSPAG00000009535
pundamilia_nyererei ENSPNYG00000013966
astatotilapia_calliptera ENSACLG00000013260
maylandia_zebra ENSMZEG00005021743
haplochromis_burtoni ENSHBUG00000019945
neolamprologus_brichardi ENSNBRG00000020697
oreochromis_niloticus ENSONIG00000009295
amphilophus_citrinellus ENSACIG00000015101
oryzias_latipes_asm223467v1 ENSORLG00000025123
oryzias_latipes_asm223469v1 ENSORLG00015020119
oryzias_latipes_asm223471v1 ENSORLG00020000810
oryzias_melastigma ENSOMEG00000012936
cyprinodon_variegatus ENSCVAG00000001374
