equus_caballus ENSECAG00000023116
equus_asinus_asinus ENSEASG00005021783
equus_asinus_asinus ENSEASG00005021802
ailuropoda_melanoleuca ENSAMEG00000010252
bos_mutus ENSBMUG00000021291
piliocolobus_tephrosceles ENSPTEG00000026144
theropithecus_gelada ENSTGEG00000011074
gorilla_gorilla ENSGGOG00000038949
prolemur_simus ENSPSMG00000019759
prolemur_simus ENSPSMG00000019691
propithecus_coquereli ENSPCOG00000024497
homo_sapiens ENSG00000197937
gorilla_gorilla ENSGGOG00000010751
pan_troglodytes ENSPTRG00000011418
pan_paniscus ENSPPAG00000029569
pongo_abelii ENSPPYG00000010345
nomascus_leucogenys ENSNLEG00000006065
piliocolobus_tephrosceles ENSPTEG00000026092
colobus_angolensis_palliatus ENSCANG00000036476
rhinopithecus_roxellana ENSRROG00000030294
rhinopithecus_bieti ENSRBIG00000032942
macaca_mulatta ENSMMUG00000045827
macaca_nemestrina ENSMNEG00000037350
macaca_fascicularis ENSMFAG00000000482
mandrillus_leucophaeus ENSMLEG00000000049
cercocebus_atys ENSCATG00000017011
papio_anubis ENSPANG00000014779
theropithecus_gelada ENSTGEG00000005621
chlorocebus_sabaeus ENSCSAG00000001947
cebus_capucinus_imitator ENSCCAG00000029321
saimiri_boliviensis_boliviensis ENSSBOG00000022309
callithrix_jacchus ENSCJAG00000044749
aotus_nancymaae ENSANAG00000025919
urocitellus_parryii ENSUPAG00010006116
