lonchura_striata_domestica ENSLSDG00000003108
numida_meleagris ENSNMEG00000005774
apteryx_owenii ENSAOWG00000001177
pelodiscus_sinensis ENSPSIG00000005673
pogona_vitticeps ENSPVIG00000009783
notechis_scutatus ENSNSUG00000015078
choloepus_hoffmanni ENSCHOG00000003457
dasypus_novemcinctus ENSDNOG00000017805
ovis_aries ENSOARG00000020679
capra_hircus ENSCHIG00000023966
bos_mutus ENSBMUG00000005417
bos_taurus ENSBTAG00000044049
bison_bison_bison ENSBBBG00000015231
tursiops_truncatus ENSTTRG00000001281
sus_scrofa ENSSSCG00000005023
vicugna_pacos ENSVPAG00000000744
ursus_maritimus ENSUMAG00000000261
ursus_americanus ENSUAMG00000012983
ailuropoda_melanoleuca ENSAMEG00000010063
mustela_putorius_furo ENSMPUG00000005144
neovison_vison ENSNVIG00000001517
canis_lupus_familiaris ENSCAFG00000014594
canis_lupus_dingo ENSCAFG00020019106
vulpes_vulpes ENSVVUG00000029751
panthera_tigris_altaica ENSPTIG00000020897
panthera_pardus ENSPPRG00000024010
felis_catus ENSFCAG00000002777
pteropus_vampyrus ENSPVAG00000006179
myotis_lucifugus ENSMLUG00000014776
erinaceus_europaeus ENSEEUG00000000077
sorex_araneus ENSSARG00000006298
equus_asinus_asinus ENSEASG00005008311
equus_caballus ENSECAG00000009385
pan_paniscus ENSPPAG00000037619
pan_troglodytes ENSPTRG00000006336
gorilla_gorilla ENSGGOG00000016610
homo_sapiens ENSG00000131969
pongo_abelii ENSPPYG00000005807
nomascus_leucogenys ENSNLEG00000012291
colobus_angolensis_palliatus ENSCANG00000033622
piliocolobus_tephrosceles ENSPTEG00000039249
rhinopithecus_roxellana ENSRROG00000038624
rhinopithecus_bieti ENSRBIG00000031867
theropithecus_gelada ENSTGEG00000008821
papio_anubis ENSPANG00000011729
cercocebus_atys ENSCATG00000044092
mandrillus_leucophaeus ENSMLEG00000041894
macaca_nemestrina ENSMNEG00000033360
macaca_fascicularis ENSMFAG00000035570
macaca_mulatta ENSMMUG00000014667
chlorocebus_sabaeus ENSCSAG00000015110
cebus_capucinus_imitator ENSCCAG00000031225
saimiri_boliviensis_boliviensis ENSSBOG00000032718
callithrix_jacchus ENSCJAG00000006780
aotus_nancymaae ENSANAG00000030683
carlito_syrichta ENSTSYG00000004260
prolemur_simus ENSPSMG00000010272
propithecus_coquereli ENSPCOG00000024199
microcebus_murinus ENSMICG00000013597
otolemur_garnettii ENSOGAG00000014306
tupaia_belangeri ENSTBEG00000005010
castor_canadensis ENSCCNG00000025461
dipodomys_ordii ENSDORG00000003795
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090121
mus_spicilegus ENSMSIG00000029052
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018662
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017817
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029573
rattus_norvegicus ENSRNOG00000026855
meriones_unguiculatus ENSMUGG00000019350
cricetulus_griseus_crigri_1.0 ENSCGRG00000006040
cricetulus_griseus_crigri-picr ENSCGRG00015026613
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017992
mesocricetus_auratus ENSMAUG00000011642
microtus_ochrogaster ENSMOCG00000004427
peromyscus_maniculatus_bairdii ENSPEMG00000020611
nannospalax_galili ENSNGAG00000024196
jaculus_jaculus ENSJJAG00000023335
chinchilla_lanigera ENSCLAG00000009260
octodon_degus ENSODEG00000011544
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017092
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016574
fukomys_damarensis ENSFDAG00000011478
cavia_porcellus ENSCPOG00000014872
cavia_aperea ENSCAPG00000017435
urocitellus_parryii ENSUPAG00010001707
marmota_marmota_marmota ENSMMMG00000001413
spermophilus_dauricus ENSSDAG00000015970
ictidomys_tridecemlineatus ENSSTOG00000011954
oryctolagus_cuniculus ENSOCUG00000015511
ochotona_princeps ENSOPRG00000002078
procavia_capensis ENSPCAG00000013663
echinops_telfairi ENSETEG00000019272
loxodonta_africana ENSLAFG00000015414
phascolarctos_cinereus ENSPCIG00000022241
notamacropus_eugenii ENSMEUG00000005136
sarcophilus_harrisii ENSSHAG00000001798
ornithorhynchus_anatinus ENSOANG00000013968
