serinus_canaria ENSSCAG00000010850
zonotrichia_albicollis ENSZALG00000017459
parus_major ENSPMJG00000002018
manacus_vitellinus ENSMVIG00005012997
coturnix_japonica ENSCJPG00005020521
nothoprocta_perdicaria ENSNPEG00000004070
gopherus_agassizii ENSGAGG00000011071
chelonoidis_abingdonii ENSCABG00000002882
sphenodon_punctatus ENSSPUG00000012442
prolemur_simus ENSPSMG00000003194
otolemur_garnettii ENSOGAG00000000333
pan_paniscus ENSPPAG00000007512
pan_troglodytes ENSPTRG00000046383
gorilla_gorilla ENSGGOG00000040812
homo_sapiens ENSG00000204183
nomascus_leucogenys ENSNLEG00000018271
rhinopithecus_roxellana ENSRROG00000011104
rhinopithecus_bieti ENSRBIG00000012095
colobus_angolensis_palliatus ENSCANG00000013031
piliocolobus_tephrosceles ENSPTEG00000011611
macaca_fascicularis ENSMFAG00000030798
macaca_mulatta ENSMMUG00000031274
macaca_nemestrina ENSMNEG00000020059
cercocebus_atys ENSCATG00000022592
papio_anubis ENSPANG00000003013
theropithecus_gelada ENSTGEG00000004431
mandrillus_leucophaeus ENSMLEG00000027463
chlorocebus_sabaeus ENSCSAG00000018680
cebus_capucinus_imitator ENSCCAG00000028751
saimiri_boliviensis_boliviensis ENSSBOG00000022883
aotus_nancymaae ENSANAG00000037254
castor_canadensis ENSCCNG00000029453
dipodomys_ordii ENSDORG00000027886
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078972
mus_spicilegus ENSMSIG00000003810
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025464
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024542
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025987
meriones_unguiculatus ENSMUGG00000007980
peromyscus_maniculatus_bairdii ENSPEMG00000002798
microtus_ochrogaster ENSMOCG00000008777
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000465
mesocricetus_auratus ENSMAUG00000006576
nannospalax_galili ENSNGAG00000014827
jaculus_jaculus ENSJJAG00000003923
ictidomys_tridecemlineatus ENSSTOG00000001690
urocitellus_parryii ENSUPAG00010004220
marmota_marmota_marmota ENSMMMG00000023247
cavia_porcellus ENSCPOG00000037705
cavia_aperea ENSCAPG00000002777
octodon_degus ENSODEG00000014490
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021218
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019220
panthera_tigris_altaica ENSPTIG00000012329
vulpes_vulpes ENSVVUG00000003945
equus_caballus ENSECAG00000032932
equus_asinus_asinus ENSEASG00005005810
bos_taurus ENSBTAG00000052250
bison_bison_bison ENSBBBG00000008344
capra_hircus ENSCHIG00000024590
sus_scrofa ENSSSCG00000037881
carlito_syrichta ENSTSYG00000034136
loxodonta_africana ENSLAFG00000017485
