scophthalmus_maximus ENSSMAG00000009270
cynoglossus_semilaevis ENSCSEG00000016021
seriola_lalandi_dorsalis ENSSLDG00000023116
seriola_dumerili ENSSDUG00000001372
mola_mola ENSMMOG00000013985
takifugu_rubripes ENSTRUG00000022793
gasterosteus_aculeatus ENSGACG00000010386
labrus_bergylta ENSLBEG00000024303
mastacembelus_armatus ENSMAMG00000016365
monopterus_albus ENSMALG00000012528
amphiprion_percula ENSAPEG00000005605
amphiprion_ocellaris ENSAOCG00000010755
acanthochromis_polyacanthus ENSAPOG00000014094
stegastes_partitus ENSSPAG00000004457
oreochromis_niloticus ENSONIG00000011179
amphilophus_citrinellus ENSACIG00000007920
xiphophorus_couchianus ENSXCOG00000010746
xiphophorus_maculatus ENSXMAG00000018017
gambusia_affinis ENSGAFG00000013961
poecilia_formosa ENSPFOG00000009882
poecilia_mexicana ENSPMEG00000023553
poecilia_latipinna ENSPLAG00000015671
poecilia_reticulata ENSPREG00000011934
fundulus_heteroclitus ENSFHEG00000005632
cyprinodon_variegatus ENSCVAG00000000698
kryptolebias_marmoratus ENSKMAG00000019720
oryzias_latipes_asm223471v1 ENSORLG00020006834
oryzias_latipes_asm223469v1 ENSORLG00015011347
oryzias_latipes_asm223467v1 ENSORLG00000026796
oryzias_melastigma ENSOMEG00000006642
periophthalmus_magnuspinnatus ENSPMGG00000011179
hippocampus_comes ENSHCOG00000002587
gadus_morhua ENSGMOG00000010179
esox_lucius ENSELUG00000008825
pygocentrus_nattereri ENSPNAG00000003076
astyanax_mexicanus ENSAMXG00000040372
ictalurus_punctatus ENSIPUG00000014991
danio_rerio ENSDARG00000040582
paramormyrops_kingsleyae ENSPKIG00000024734
scleropages_formosus ENSSFOG00015001468
lepisosteus_oculatus ENSLOCG00000003149
anser_brachyrhynchus ENSABRG00000019787
anas_platyrhynchos_platyrhynchos ENSAPLG00000015160
gallus_gallus ENSGALG00000026293
coturnix_japonica ENSCJPG00005018129
meleagris_gallopavo ENSMGAG00000010753
numida_meleagris ENSNMEG00000013743
manacus_vitellinus ENSMVIG00005016892
lepidothrix_coronata ENSLCOG00000004728
lonchura_striata_domestica ENSLSDG00000001488
serinus_canaria ENSSCAG00000008985
junco_hyemalis ENSJHYG00000003603
zonotrichia_albicollis ENSZALG00000011595
parus_major ENSPMJG00000006750
cyanistes_caeruleus ENSCCEG00000000549
calidris_pygmaea ENSCPGG00000004403
calidris_pugnax ENSCPUG00000016524
melopsittacus_undulatus ENSMUNG00000016511
apteryx_haastii ENSAHAG00000014263
apteryx_rowi ENSARWG00000000162
apteryx_owenii ENSAOWG00000015029
nothoprocta_perdicaria ENSNPEG00000001276
dromaius_novaehollandiae ENSDNVG00000004631
crocodylus_porosus ENSCPRG00005007249
chelonoidis_abingdonii ENSCABG00000001981
gopherus_agassizii ENSGAGG00000019499
chrysemys_picta_bellii ENSCPBG00000018534
pelodiscus_sinensis ENSPSIG00000008805
anolis_carolinensis ENSACAG00000000431
notechis_scutatus ENSNSUG00000018576
salvator_merianae ENSSMRG00000003415
sphenodon_punctatus ENSSPUG00000015495
ursus_americanus ENSUAMG00000015459
ursus_maritimus ENSUMAG00000011751
ailuropoda_melanoleuca ENSAMEG00000002596
mustela_putorius_furo ENSMPUG00000002773
neovison_vison ENSNVIG00000012169
vulpes_vulpes ENSVVUG00000019825
vulpes_vulpes ENSVVUG00000002335
canis_lupus_familiaris ENSCAFG00000030909
canis_lupus_dingo ENSCAFG00020005555
panthera_tigris_altaica ENSPTIG00000014993
panthera_pardus ENSPPRG00000024803
felis_catus ENSFCAG00000044100
equus_asinus_asinus ENSEASG00005022502
equus_caballus ENSECAG00000022331
capra_hircus ENSCHIG00000025795
ovis_aries ENSOARG00000003230
bos_mutus ENSBMUG00000006782
bos_taurus ENSBTAG00000005203
bison_bison_bison ENSBBBG00000001389
sus_scrofa ENSSSCG00000021495
vicugna_pacos ENSVPAG00000008476
tursiops_truncatus ENSTTRG00000014794
erinaceus_europaeus ENSEEUG00000003750
pteropus_vampyrus ENSPVAG00000007212
pan_troglodytes ENSPTRG00000015553
pan_paniscus ENSPPAG00000040302
homo_sapiens ENSG00000174928
gorilla_gorilla ENSGGOG00000024967
pongo_abelii ENSPPYG00000014227
nomascus_leucogenys ENSNLEG00000032487
rhinopithecus_roxellana ENSRROG00000033959
rhinopithecus_bieti ENSRBIG00000044890
piliocolobus_tephrosceles ENSPTEG00000031346
colobus_angolensis_palliatus ENSCANG00000032849
cercocebus_atys ENSCATG00000030263
mandrillus_leucophaeus ENSMLEG00000008346
macaca_mulatta ENSMMUG00000037938
macaca_nemestrina ENSMNEG00000039740
macaca_fascicularis ENSMFAG00000004239
theropithecus_gelada ENSTGEG00000003984
papio_anubis ENSPANG00000011556
chlorocebus_sabaeus ENSCSAG00000012008
cebus_capucinus_imitator ENSCCAG00000020896
saimiri_boliviensis_boliviensis ENSSBOG00000022745
callithrix_jacchus ENSCJAG00000000910
aotus_nancymaae ENSANAG00000037818
carlito_syrichta ENSTSYG00000002939
propithecus_coquereli ENSPCOG00000007724
prolemur_simus ENSPSMG00000003083
microcebus_murinus ENSMICG00000049160
otolemur_garnettii ENSOGAG00000014996
tupaia_belangeri ENSTBEG00000000470
cricetulus_griseus_crigri-picr ENSCGRG00015022541
cricetulus_griseus_crigri_1.0 ENSCGRG00000017061
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024290
mesocricetus_auratus ENSMAUG00000016143
microtus_ochrogaster ENSMOCG00000022255
peromyscus_maniculatus_bairdii ENSPEMG00000024310
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048581
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025036
mus_spicilegus ENSMSIG00000029523
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025976
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026480
rattus_norvegicus ENSRNOG00000021324
meriones_unguiculatus ENSMUGG00000016232
meriones_unguiculatus ENSMUGG00000016225
nannospalax_galili ENSNGAG00000015579
ictidomys_tridecemlineatus ENSSTOG00000027383
urocitellus_parryii ENSUPAG00010007194
marmota_marmota_marmota ENSMMMG00000015801
spermophilus_dauricus ENSSDAG00000004267
dipodomys_ordii ENSDORG00000023719
cavia_aperea ENSCAPG00000017824
cavia_porcellus ENSCPOG00000035789
chinchilla_lanigera ENSCLAG00000004358
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019192
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011228
fukomys_damarensis ENSFDAG00000021039
castor_canadensis ENSCCNG00000012568
jaculus_jaculus ENSJJAG00000013831
myotis_lucifugus ENSMLUG00000026622
oryctolagus_cuniculus ENSOCUG00000017756
dasypus_novemcinctus ENSDNOG00000031969
choloepus_hoffmanni ENSCHOG00000013532
echinops_telfairi ENSETEG00000008620
procavia_capensis ENSPCAG00000015165
loxodonta_africana ENSLAFG00000015059
phascolarctos_cinereus ENSPCIG00000000038
notamacropus_eugenii ENSMEUG00000010993
sarcophilus_harrisii ENSSHAG00000002516
monodelphis_domestica ENSMODG00000015779
ornithorhynchus_anatinus ENSOANG00000010032
