ciona_intestinalis ENSCING00000004079
ciona_savignyi ENSCSAVG00000006906
pteropus_vampyrus ENSPVAG00000002354
myotis_lucifugus ENSMLUG00000005995
sus_scrofa ENSSSCG00000003780
vicugna_pacos ENSVPAG00000006899
ovis_aries ENSOARG00000012491
capra_hircus ENSCHIG00000017286
bos_mutus ENSBMUG00000015794
bos_taurus ENSBTAG00000003162
bison_bison_bison ENSBBBG00000013504
tursiops_truncatus ENSTTRG00000010471
equus_asinus_asinus ENSEASG00005007779
equus_caballus ENSECAG00000008254
ursus_americanus ENSUAMG00000010805
ursus_maritimus ENSUMAG00000006464
ailuropoda_melanoleuca ENSAMEG00000003442
neovison_vison ENSNVIG00000010500
neovison_vison ENSNVIG00000009873
mustela_putorius_furo ENSMPUG00000010969
mustela_putorius_furo ENSMPUG00000019272
canis_lupus_familiaris ENSCAFG00000020404
canis_lupus_dingo ENSCAFG00020017097
vulpes_vulpes ENSVVUG00000006915
vulpes_vulpes ENSVVUG00000013883
canis_lupus_familiaris ENSCAFG00000002181
panthera_pardus ENSPPRG00000023826
panthera_tigris_altaica ENSPTIG00000018039
felis_catus ENSFCAG00000030626
panthera_pardus ENSPPRG00000015723
felis_catus ENSFCAG00000031247
panthera_pardus ENSPPRG00000002401
sorex_araneus ENSSARG00000000104
erinaceus_europaeus ENSEEUG00000012104
peromyscus_maniculatus_bairdii ENSPEMG00000010626
microtus_ochrogaster ENSMOCG00000020983
cricetulus_griseus_crigri_1.0 ENSCGRG00000003502
cricetulus_griseus_crigri-picr ENSCGRG00015020858
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022359
mesocricetus_auratus ENSMAUG00000017771
mus_spicilegus ENSMSIG00000007731
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026709
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028199
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025756
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027207
rattus_norvegicus ENSRNOG00000028319
meriones_unguiculatus ENSMUGG00000014618
nannospalax_galili ENSNGAG00000009412
jaculus_jaculus ENSJJAG00000000662
cavia_porcellus ENSCPOG00000006521
cavia_aperea ENSCAPG00000008960
chinchilla_lanigera ENSCLAG00000004555
octodon_degus ENSODEG00000006615
octodon_degus ENSODEG00000019040
octodon_degus ENSODEG00000008026
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004519
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002585
fukomys_damarensis ENSFDAG00000009262
castor_canadensis ENSCCNG00000013746
dipodomys_ordii ENSDORG00000002723
marmota_marmota_marmota ENSMMMG00000000554
ictidomys_tridecemlineatus ENSSTOG00000005199
urocitellus_parryii ENSUPAG00010014757
oryctolagus_cuniculus ENSOCUG00000003038
ochotona_princeps ENSOPRG00000014165
pan_troglodytes ENSPTRG00000000865
pan_paniscus ENSPPAG00000042710
homo_sapiens ENSG00000116791
gorilla_gorilla ENSGGOG00000034854
pongo_abelii ENSPPYG00000001235
nomascus_leucogenys ENSNLEG00000009543
theropithecus_gelada ENSTGEG00000016356
mandrillus_leucophaeus ENSMLEG00000042810
macaca_fascicularis ENSMFAG00000007521
cercocebus_atys ENSCATG00000031359
papio_anubis ENSPANG00000000464
chlorocebus_sabaeus ENSCSAG00000001386
piliocolobus_tephrosceles ENSPTEG00000035483
piliocolobus_tephrosceles ENSPTEG00000022602
rhinopithecus_roxellana ENSRROG00000003138
rhinopithecus_bieti ENSRBIG00000033983
colobus_angolensis_palliatus ENSCANG00000030368
rhinopithecus_bieti ENSRBIG00000040617
rhinopithecus_roxellana ENSRROG00000042486
colobus_angolensis_palliatus ENSCANG00000037317
macaca_mulatta ENSMMUG00000038747
macaca_nemestrina ENSMNEG00000042704
mandrillus_leucophaeus ENSMLEG00000035126
papio_anubis ENSPANG00000033392
cercocebus_atys ENSCATG00000030611
nomascus_leucogenys ENSNLEG00000030328
callithrix_jacchus ENSCJAG00000038279
callithrix_jacchus ENSCJAG00000006521
cebus_capucinus_imitator ENSCCAG00000030723
saimiri_boliviensis_boliviensis ENSSBOG00000027623
aotus_nancymaae ENSANAG00000028727
aotus_nancymaae ENSANAG00000024614
carlito_syrichta ENSTSYG00000034547
carlito_syrichta ENSTSYG00000036585
carlito_syrichta ENSTSYG00000004193
carlito_syrichta ENSTSYG00000034422
propithecus_coquereli ENSPCOG00000027290
propithecus_coquereli ENSPCOG00000019091
prolemur_simus ENSPSMG00000016509
microcebus_murinus ENSMICG00000015873
otolemur_garnettii ENSOGAG00000032126
otolemur_garnettii ENSOGAG00000011586
tupaia_belangeri ENSTBEG00000016750
dasypus_novemcinctus ENSDNOG00000041846
dasypus_novemcinctus ENSDNOG00000016614
choloepus_hoffmanni ENSCHOG00000005167
loxodonta_africana ENSLAFG00000011371
procavia_capensis ENSPCAG00000000501
echinops_telfairi ENSETEG00000011168
phascolarctos_cinereus ENSPCIG00000024206
