periophthalmus_magnuspinnatus ENSPMGG00000013321
hippocampus_comes ENSHCOG00000006941
seriola_lalandi_dorsalis ENSSLDG00000010597
seriola_dumerili ENSSDUG00000012190
scophthalmus_maximus ENSSMAG00000014979
labrus_bergylta ENSLBEG00000020564
gasterosteus_aculeatus ENSGACG00000012531
mola_mola ENSMMOG00000015396
mastacembelus_armatus ENSMAMG00000010830
monopterus_albus ENSMALG00000015272
anabas_testudineus ENSATEG00000011826
xiphophorus_couchianus ENSXCOG00000017766
xiphophorus_maculatus ENSXMAG00000001177
gambusia_affinis ENSGAFG00000016846
poecilia_latipinna ENSPLAG00000010055
poecilia_formosa ENSPFOG00000010391
poecilia_reticulata ENSPREG00000002523
poecilia_mexicana ENSPMEG00000005916
fundulus_heteroclitus ENSFHEG00000019145
cyprinodon_variegatus ENSCVAG00000019188
kryptolebias_marmoratus ENSKMAG00000005334
oryzias_melastigma ENSOMEG00000008637
oryzias_latipes_asm223469v1 ENSORLG00015010931
astatotilapia_calliptera ENSACLG00000000025
maylandia_zebra ENSMZEG00005020883
pundamilia_nyererei ENSPNYG00000003213
haplochromis_burtoni ENSHBUG00000007813
neolamprologus_brichardi ENSNBRG00000001287
oreochromis_niloticus ENSONIG00000013802
amphilophus_citrinellus ENSACIG00000023926
amphiprion_ocellaris ENSAOCG00000013472
amphiprion_percula ENSAPEG00000000279
acanthochromis_polyacanthus ENSAPOG00000022417
stegastes_partitus ENSSPAG00000020007
cynoglossus_semilaevis ENSCSEG00000006669
gadus_morhua ENSGMOG00000010476
esox_lucius ENSELUG00000024363
pygocentrus_nattereri ENSPNAG00000012650
astyanax_mexicanus ENSAMXG00000014144
ictalurus_punctatus ENSIPUG00000023156
danio_rerio ENSDARG00000075555
scleropages_formosus ENSSFOG00015016848
paramormyrops_kingsleyae ENSPKIG00000017629
lepisosteus_oculatus ENSLOCG00000012754
ornithorhynchus_anatinus ENSOANG00000032295
ornithorhynchus_anatinus ENSOANG00000000145
loxodonta_africana ENSLAFG00000015058
procavia_capensis ENSPCAG00000000744
echinops_telfairi ENSETEG00000003575
dasypus_novemcinctus ENSDNOG00000009630
choloepus_hoffmanni ENSCHOG00000007191
homo_sapiens ENSG00000140470
gorilla_gorilla ENSGGOG00000007711
pan_troglodytes ENSPTRG00000007500
pan_paniscus ENSPPAG00000030123
pongo_abelii ENSPPYG00000006819
nomascus_leucogenys ENSNLEG00000000963
macaca_mulatta ENSMMUG00000021160
