tursiops_truncatus ENSTTRG00000002884
sus_scrofa ENSSSCG00000009738
bos_mutus ENSBMUG00000022210
bos_taurus ENSBTAG00000005644
bison_bison_bison ENSBBBG00000018097
capra_hircus ENSCHIG00000005588
ovis_aries ENSOARG00000011614
equus_asinus_asinus ENSEASG00005016684
equus_caballus ENSECAG00000009252
ursus_americanus ENSUAMG00000023775
ailuropoda_melanoleuca ENSAMEG00000013616
neovison_vison ENSNVIG00000010184
neovison_vison ENSNVIG00000010168
mustela_putorius_furo ENSMPUG00000002466
canis_lupus_dingo ENSCAFG00020010295
canis_lupus_familiaris ENSCAFG00000006281
vulpes_vulpes ENSVVUG00000004579
panthera_pardus ENSPPRG00000014662
felis_catus ENSFCAG00000012681
pteropus_vampyrus ENSPVAG00000004184
dipodomys_ordii ENSDORG00000029234
castor_canadensis ENSCCNG00000012395
chinchilla_lanigera ENSCLAG00000017287
octodon_degus ENSODEG00000007555
cavia_porcellus ENSCPOG00000010976
cavia_aperea ENSCAPG00000015399
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012963
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017919
fukomys_damarensis ENSFDAG00000015997
propithecus_coquereli ENSPCOG00000007661
prolemur_simus ENSPSMG00000019288
microcebus_murinus ENSMICG00000017778
otolemur_garnettii ENSOGAG00000012405
pan_paniscus ENSPPAG00000044024
pan_troglodytes ENSPTRG00000034555
homo_sapiens ENSG00000182870
gorilla_gorilla ENSGGOG00000034941
pongo_abelii ENSPPYG00000005137
nomascus_leucogenys ENSNLEG00000008672
macaca_fascicularis ENSMFAG00000001630
macaca_nemestrina ENSMNEG00000027427
macaca_mulatta ENSMMUG00000003735
chlorocebus_sabaeus ENSCSAG00000001863
theropithecus_gelada ENSTGEG00000028416
cercocebus_atys ENSCATG00000014904
mandrillus_leucophaeus ENSMLEG00000039939
papio_anubis ENSPANG00000030999
piliocolobus_tephrosceles ENSPTEG00000032030
colobus_angolensis_palliatus ENSCANG00000030317
rhinopithecus_roxellana ENSRROG00000040854
rhinopithecus_bieti ENSRBIG00000033026
cebus_capucinus_imitator ENSCCAG00000020957
cebus_capucinus_imitator ENSCCAG00000029006
saimiri_boliviensis_boliviensis ENSSBOG00000029934
callithrix_jacchus ENSCJAG00000010494
aotus_nancymaae ENSANAG00000027101
carlito_syrichta ENSTSYG00000036588
urocitellus_parryii ENSUPAG00010023348
marmota_marmota_marmota ENSMMMG00000004734
ictidomys_tridecemlineatus ENSSTOG00000029271
spermophilus_dauricus ENSSDAG00000005871
