saimiri_boliviensis_boliviensis ENSSBOG00000021264
cebus_capucinus_imitator ENSCCAG00000035908
callithrix_jacchus ENSCJAG00000008560
aotus_nancymaae ENSANAG00000030363
pan_troglodytes ENSPTRG00000007221
pan_paniscus ENSPPAG00000040777
gorilla_gorilla ENSGGOG00000013653
homo_sapiens ENSG00000258484
pongo_abelii ENSPPYG00000029816
nomascus_leucogenys ENSNLEG00000013404
rhinopithecus_roxellana ENSRROG00000031515
rhinopithecus_bieti ENSRBIG00000038257
piliocolobus_tephrosceles ENSPTEG00000031749
colobus_angolensis_palliatus ENSCANG00000040822
macaca_fascicularis ENSMFAG00000043000
macaca_nemestrina ENSMNEG00000024286
mandrillus_leucophaeus ENSMLEG00000035603
cercocebus_atys ENSCATG00000044425
papio_anubis ENSPANG00000016524
theropithecus_gelada ENSTGEG00000025796
chlorocebus_sabaeus ENSCSAG00000013535
carlito_syrichta ENSTSYG00000010624
propithecus_coquereli ENSPCOG00000018248
prolemur_simus ENSPSMG00000002424
microcebus_murinus ENSMICG00000045479
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015498
fukomys_damarensis ENSFDAG00000011864
chinchilla_lanigera ENSCLAG00000009992
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033460
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046846
mus_spicilegus ENSMSIG00000001679
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032322
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015188
rattus_norvegicus ENSRNOG00000025359
meriones_unguiculatus ENSMUGG00000024759
cricetulus_griseus_crigri_1.0 ENSCGRG00000005250
cricetulus_griseus_crigri-picr ENSCGRG00015021318
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015906
mesocricetus_auratus ENSMAUG00000008837
microtus_ochrogaster ENSMOCG00000016907
peromyscus_maniculatus_bairdii ENSPEMG00000017757
nannospalax_galili ENSNGAG00000012498
spermophilus_dauricus ENSSDAG00000017825
marmota_marmota_marmota ENSMMMG00000005545
urocitellus_parryii ENSUPAG00010002704
oryctolagus_cuniculus ENSOCUG00000025748
ochotona_princeps ENSOPRG00000015402
pteropus_vampyrus ENSPVAG00000014659
myotis_lucifugus ENSMLUG00000001051
equus_asinus_asinus ENSEASG00005006238
equus_caballus ENSECAG00000002377
ursus_maritimus ENSUMAG00000011718
ursus_americanus ENSUAMG00000003209
ailuropoda_melanoleuca ENSAMEG00000014134
neovison_vison ENSNVIG00000015552
mustela_putorius_furo ENSMPUG00000000214
canis_lupus_dingo ENSCAFG00020007667
canis_lupus_familiaris ENSCAFG00000017505
vulpes_vulpes ENSVVUG00000014730
capra_hircus ENSCHIG00000013213
ovis_aries ENSOARG00000018567
bos_taurus ENSBTAG00000005994
bison_bison_bison ENSBBBG00000001512
tursiops_truncatus ENSTTRG00000002680
sus_scrofa ENSSSCG00000032244
loxodonta_africana ENSLAFG00000012670
choloepus_hoffmanni ENSCHOG00000009943
monodelphis_domestica ENSMODG00000028959
ornithorhynchus_anatinus ENSOANG00000013537
