hippocampus_comes ENSHCOG00000015725
periophthalmus_magnuspinnatus ENSPMGG00000008497
cyprinodon_variegatus ENSCVAG00000008632
fundulus_heteroclitus ENSFHEG00000014615
poecilia_formosa ENSPFOG00000023422
poecilia_mexicana ENSPMEG00000023026
poecilia_latipinna ENSPLAG00000002724
poecilia_reticulata ENSPREG00000004283
xiphophorus_maculatus ENSXMAG00000026393
xiphophorus_couchianus ENSXCOG00000010914
gambusia_affinis ENSGAFG00000011926
kryptolebias_marmoratus ENSKMAG00000013151
oryzias_latipes_asm223467v1 ENSORLG00000026196
oryzias_latipes_asm223471v1 ENSORLG00020001387
oryzias_latipes_asm223469v1 ENSORLG00015012227
oryzias_melastigma ENSOMEG00000006714
amphilophus_citrinellus ENSACIG00000006034
labrus_bergylta ENSLBEG00000024411
amphiprion_percula ENSAPEG00000006112
amphiprion_ocellaris ENSAOCG00000000111
acanthochromis_polyacanthus ENSAPOG00000003354
stegastes_partitus ENSSPAG00000001168
astatotilapia_calliptera ENSACLG00000022787
maylandia_zebra ENSMZEG00005010413
pundamilia_nyererei ENSPNYG00000008764
neolamprologus_brichardi ENSNBRG00000020647
haplochromis_burtoni ENSHBUG00000003883
seriola_dumerili ENSSDUG00000014736
seriola_lalandi_dorsalis ENSSLDG00000003766
gasterosteus_aculeatus ENSGACG00000010467
takifugu_rubripes ENSTRUG00000021981
mola_mola ENSMMOG00000011379
scophthalmus_maximus ENSSMAG00000001826
monopterus_albus ENSMALG00000001443
mastacembelus_armatus ENSMAMG00000020655
anabas_testudineus ENSATEG00000023932
cynoglossus_semilaevis ENSCSEG00000009329
gadus_morhua ENSGMOG00000008202
danio_rerio ENSDARG00000102948
scleropages_formosus ENSSFOG00015023988
paramormyrops_kingsleyae ENSPKIG00000012853
