cebus_capucinus_imitator ENSCCAG00000035385
microcebus_murinus ENSMICG00000041475
ictidomys_tridecemlineatus ENSSTOG00000033722
spermophilus_dauricus ENSSDAG00000013996
urocitellus_parryii ENSUPAG00010016190
urocitellus_parryii ENSUPAG00010012130
mandrillus_leucophaeus ENSMLEG00000028460
cercocebus_atys ENSCATG00000036388
cercocebus_atys ENSCATG00000032759
papio_anubis ENSPANG00000034049
rhinopithecus_roxellana ENSRROG00000032238
rhinopithecus_bieti ENSRBIG00000044340
rhinopithecus_roxellana ENSRROG00000044707
pan_troglodytes ENSPTRG00000042858
pan_paniscus ENSPPAG00000032190
gorilla_gorilla ENSGGOG00000039579
callithrix_jacchus ENSCJAG00000040647
canis_lupus_dingo ENSCAFG00020014167
vulpes_vulpes ENSVVUG00000022156
neovison_vison ENSNVIG00000005931
