cynoglossus_semilaevis ENSCSEG00000012708
takifugu_rubripes ENSTRUG00000023423
hippocampus_comes ENSHCOG00000021128
seriola_dumerili ENSSDUG00000010796
seriola_lalandi_dorsalis ENSSLDG00000021948
labrus_bergylta ENSLBEG00000025349
scophthalmus_maximus ENSSMAG00000012796
monopterus_albus ENSMALG00000015740
mastacembelus_armatus ENSMAMG00000005785
anabas_testudineus ENSATEG00000024939
anabas_testudineus ENSATEG00000024925
amphiprion_ocellaris ENSAOCG00000010394
amphiprion_percula ENSAPEG00000016499
acanthochromis_polyacanthus ENSAPOG00000023704
stegastes_partitus ENSSPAG00000007532
maylandia_zebra ENSMZEG00005026575
astatotilapia_calliptera ENSACLG00000007557
oreochromis_niloticus ENSONIG00000016546
amphilophus_citrinellus ENSACIG00000004812
xiphophorus_maculatus ENSXMAG00000029759
gambusia_affinis ENSGAFG00000006383
poecilia_latipinna ENSPLAG00000002286
poecilia_mexicana ENSPMEG00000009819
poecilia_formosa ENSPFOG00000001409
poecilia_reticulata ENSPREG00000017511
fundulus_heteroclitus ENSFHEG00000019563
oryzias_latipes_asm223471v1 ENSORLG00020022589
oryzias_latipes_asm223469v1 ENSORLG00015009463
oryzias_latipes_asm223467v1 ENSORLG00000004117
esox_lucius ENSELUG00000023639
pygocentrus_nattereri ENSPNAG00000003822
astyanax_mexicanus ENSAMXG00000000062
ictalurus_punctatus ENSIPUG00000023396
danio_rerio ENSDARG00000087369
scleropages_formosus ENSSFOG00015010130
paramormyrops_kingsleyae ENSPKIG00000022444
lepisosteus_oculatus ENSLOCG00000016570
pogona_vitticeps ENSPVIG00000006299
anolis_carolinensis ENSACAG00000003932
notechis_scutatus ENSNSUG00000001506
salvator_merianae ENSSMRG00000017473
sphenodon_punctatus ENSSPUG00000005500
anser_brachyrhynchus ENSABRG00000007884
anas_platyrhynchos_platyrhynchos ENSAPLG00000011565
gallus_gallus ENSGALG00000015836
meleagris_gallopavo ENSMGAG00000013721
coturnix_japonica ENSCJPG00005004297
numida_meleagris ENSNMEG00000011537
calidris_pugnax ENSCPUG00000009931
calidris_pygmaea ENSCPGG00000016585
melopsittacus_undulatus ENSMUNG00000008210
parus_major ENSPMJG00000003104
cyanistes_caeruleus ENSCCEG00000017051
ficedula_albicollis ENSFALG00000002767
zonotrichia_albicollis ENSZALG00000016980
junco_hyemalis ENSJHYG00000015478
serinus_canaria ENSSCAG00000003517
lonchura_striata_domestica ENSLSDG00000013658
taeniopygia_guttata ENSTGUG00000012509
manacus_vitellinus ENSMVIG00005003989
lepidothrix_coronata ENSLCOG00000016012
apteryx_haastii ENSAHAG00000007739
apteryx_owenii ENSAOWG00000018837
apteryx_rowi ENSARWG00000013223
dromaius_novaehollandiae ENSDNVG00000017721
nothoprocta_perdicaria ENSNPEG00000013808
crocodylus_porosus ENSCPRG00005016624
gopherus_agassizii ENSGAGG00000009206
chelonoidis_abingdonii ENSCABG00000002278
chelonoidis_abingdonii ENSCABG00000017282
chrysemys_picta_bellii ENSCPBG00000019822
pelodiscus_sinensis ENSPSIG00000013418
phascolarctos_cinereus ENSPCIG00000020996
sarcophilus_harrisii ENSSHAG00000000828
monodelphis_domestica ENSMODG00000018362
pan_troglodytes ENSPTRG00000018388
pan_paniscus ENSPPAG00000025412
homo_sapiens ENSG00000135315
gorilla_gorilla ENSGGOG00000007273
pongo_abelii ENSPPYG00000016814
nomascus_leucogenys ENSNLEG00000012764
cercocebus_atys ENSCATG00000042079
cercocebus_atys ENSCATG00000036000
mandrillus_leucophaeus ENSMLEG00000033638
theropithecus_gelada ENSTGEG00000018097
