apteryx_rowi ENSARWG00000009355
apteryx_haastii ENSAHAG00000012982
apteryx_owenii ENSAOWG00000017970
nothoprocta_perdicaria ENSNPEG00000005086
dromaius_novaehollandiae ENSDNVG00000005311
calidris_pygmaea ENSCPGG00000012382
melopsittacus_undulatus ENSMUNG00000006338
manacus_vitellinus ENSMVIG00005015591
lepidothrix_coronata ENSLCOG00000008437
parus_major ENSPMJG00000005609
cyanistes_caeruleus ENSCCEG00000009351
junco_hyemalis ENSJHYG00000006138
numida_meleagris ENSNMEG00000004131
gallus_gallus ENSGALG00000037992
anser_brachyrhynchus ENSABRG00000016374
crocodylus_porosus ENSCPRG00005001759
chrysemys_picta_bellii ENSCPBG00000002825
pogona_vitticeps ENSPVIG00000016955
gopherus_agassizii ENSGAGG00000024870
chelonoidis_abingdonii ENSCABG00000022978
sphenodon_punctatus ENSSPUG00000004847
sarcophilus_harrisii ENSSHAG00000012497
phascolarctos_cinereus ENSPCIG00000007595
canis_lupus_dingo ENSCAFG00020012277
vulpes_vulpes ENSVVUG00000002350
neovison_vison ENSNVIG00000002953
ursus_maritimus ENSUMAG00000015481
ursus_americanus ENSUAMG00000004092
panthera_tigris_altaica ENSPTIG00000011228
panthera_pardus ENSPPRG00000007772
felis_catus ENSFCAG00000038527
equus_caballus ENSECAG00000029843
bos_mutus ENSBMUG00000011943
bison_bison_bison ENSBBBG00000020865
ovis_aries ENSOARG00000010186
bos_taurus ENSBTAG00000051638
capra_hircus ENSCHIG00000011393
microcebus_murinus ENSMICG00000041689
prolemur_simus ENSPSMG00000003630
macaca_nemestrina ENSMNEG00000034857
macaca_mulatta ENSMMUG00000049102
macaca_fascicularis ENSMFAG00000043801
chlorocebus_sabaeus ENSCSAG00000012848
papio_anubis ENSPANG00000006510
mandrillus_leucophaeus ENSMLEG00000000482
theropithecus_gelada ENSTGEG00000025820
cercocebus_atys ENSCATG00000044291
rhinopithecus_bieti ENSRBIG00000038662
rhinopithecus_roxellana ENSRROG00000042616
piliocolobus_tephrosceles ENSPTEG00000035257
colobus_angolensis_palliatus ENSCANG00000029402
pan_paniscus ENSPPAG00000022982
pan_troglodytes ENSPTRG00000046842
gorilla_gorilla ENSGGOG00000036457
homo_sapiens ENSG00000253250
nomascus_leucogenys ENSNLEG00000002396
cebus_capucinus_imitator ENSCCAG00000033667
saimiri_boliviensis_boliviensis ENSSBOG00000024334
callithrix_jacchus ENSCJAG00000040121
aotus_nancymaae ENSANAG00000022380
spermophilus_dauricus ENSSDAG00000001484
ictidomys_tridecemlineatus ENSSTOG00000023014
marmota_marmota_marmota ENSMMMG00000007107
urocitellus_parryii ENSUPAG00010015437
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011629
cricetulus_griseus_crigri_1.0 ENSCGRG00000000579
cricetulus_griseus_crigri-picr ENSCGRG00015012414
peromyscus_maniculatus_bairdii ENSPEMG00000015295
mus_spicilegus ENSMSIG00000000315
meriones_unguiculatus ENSMUGG00000018358
rattus_norvegicus ENSRNOG00000047537
mesocricetus_auratus ENSMAUG00000004822
microtus_ochrogaster ENSMOCG00000020310
nannospalax_galili ENSNGAG00000017252
castor_canadensis ENSCCNG00000012817
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013974
dipodomys_ordii ENSDORG00000027568
carlito_syrichta ENSTSYG00000033579
propithecus_coquereli ENSPCOG00000009495
equus_asinus_asinus ENSEASG00005014044
sus_scrofa ENSSSCG00000040562
dasypus_novemcinctus ENSDNOG00000042167
