pundamilia_nyererei ENSPNYG00000016479
haplochromis_burtoni ENSHBUG00000018058
astatotilapia_calliptera ENSACLG00000008535
maylandia_zebra ENSMZEG00005011313
neolamprologus_brichardi ENSNBRG00000004316
fundulus_heteroclitus ENSFHEG00000010722
cyprinodon_variegatus ENSCVAG00000010465
poecilia_latipinna ENSPLAG00000008871
poecilia_formosa ENSPFOG00000015314
poecilia_reticulata ENSPREG00000009834
xiphophorus_maculatus ENSXMAG00000028385
stegastes_partitus ENSSPAG00000013208
acanthochromis_polyacanthus ENSAPOG00000021768
oryzias_latipes_asm223471v1 ENSORLG00020003658
gasterosteus_aculeatus ENSGACG00000016128
scophthalmus_maximus ENSSMAG00000004619
anabas_testudineus ENSATEG00000021157
mola_mola ENSMMOG00000015369
tetraodon_nigroviridis ENSTNIG00000013786
labrus_bergylta ENSLBEG00000008583
monopterus_albus ENSMALG00000005890
cynoglossus_semilaevis ENSCSEG00000012883
danio_rerio ENSDARG00000102856
