esox_lucius ENSELUG00000010807
gadus_morhua ENSGMOG00000009847
danio_rerio ENSDARG00000054344
scleropages_formosus ENSSFOG00015004797
paramormyrops_kingsleyae ENSPKIG00000000245
paramormyrops_kingsleyae ENSPKIG00000011134
lepisosteus_oculatus ENSLOCG00000007719
latimeria_chalumnae ENSLACG00000001565
gopherus_agassizii ENSGAGG00000024106
chelonoidis_abingdonii ENSCABG00000010502
chrysemys_picta_bellii ENSCPBG00000009075
pelodiscus_sinensis ENSPSIG00000016514
crocodylus_porosus ENSCPRG00005007492
anas_platyrhynchos_platyrhynchos ENSAPLG00000014691
anser_brachyrhynchus ENSABRG00000008489
calidris_pugnax ENSCPUG00000011614
calidris_pygmaea ENSCPGG00000013154
meleagris_gallopavo ENSMGAG00000001113
gallus_gallus ENSGALG00000026734
coturnix_japonica ENSCJPG00005015262
numida_meleagris ENSNMEG00000007164
apteryx_owenii ENSAOWG00000003456
apteryx_rowi ENSARWG00000012795
apteryx_haastii ENSAHAG00000008994
dromaius_novaehollandiae ENSDNVG00000009165
nothoprocta_perdicaria ENSNPEG00000002597
sphenodon_punctatus ENSSPUG00000003112
anolis_carolinensis ENSACAG00000004010
pogona_vitticeps ENSPVIG00000020609
salvator_merianae ENSSMRG00000021219
jaculus_jaculus ENSJJAG00000017463
ornithorhynchus_anatinus ENSOANG00000029845
jaculus_jaculus ENSJJAG00000021969
sorex_araneus ENSSARG00000003137
phascolarctos_cinereus ENSPCIG00000021073
notamacropus_eugenii ENSMEUG00000008149
monodelphis_domestica ENSMODG00000018836
sarcophilus_harrisii ENSSHAG00000013507
loxodonta_africana ENSLAFG00000004020
echinops_telfairi ENSETEG00000004242
dasypus_novemcinctus ENSDNOG00000031763
choloepus_hoffmanni ENSCHOG00000008231
myotis_lucifugus ENSMLUG00000002973
pteropus_vampyrus ENSPVAG00000011659
erinaceus_europaeus ENSEEUG00000009184
sus_scrofa ENSSSCG00000006636
sus_scrofa ENSSSCG00000037574
vicugna_pacos ENSVPAG00000011630
bos_mutus ENSBMUG00000024085
bos_taurus ENSBTAG00000015371
bison_bison_bison ENSBBBG00000002596
capra_hircus ENSCHIG00000017762
ovis_aries ENSOARG00000020927
tursiops_truncatus ENSTTRG00000007003
equus_caballus ENSECAG00000014497
equus_asinus_asinus ENSEASG00005002094
ursus_americanus ENSUAMG00000027414
ursus_maritimus ENSUMAG00000003028
ailuropoda_melanoleuca ENSAMEG00000000961
mustela_putorius_furo ENSMPUG00000004074
neovison_vison ENSNVIG00000015834
canis_lupus_familiaris ENSCAFG00000012427
canis_lupus_dingo ENSCAFG00020013493
vulpes_vulpes ENSVVUG00000011753
panthera_pardus ENSPPRG00000021737
panthera_tigris_altaica ENSPTIG00000009109
felis_catus ENSFCAG00000033249
tupaia_belangeri ENSTBEG00000006499
castor_canadensis ENSCCNG00000012765
dipodomys_ordii ENSDORG00000005828
nannospalax_galili ENSNGAG00000021741
nannospalax_galili ENSNGAG00000013065
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038766
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026277
mus_spicilegus ENSMSIG00000005022
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025333
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026777
rattus_norvegicus ENSRNOG00000021105
meriones_unguiculatus ENSMUGG00000004273
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013536
cricetulus_griseus_crigri_1.0 ENSCGRG00000007331
cricetulus_griseus_crigri-picr ENSCGRG00015022401
mesocricetus_auratus ENSMAUG00000015210
peromyscus_maniculatus_bairdii ENSPEMG00000016588
microtus_ochrogaster ENSMOCG00000020822
cavia_porcellus ENSCPOG00000011789
cavia_aperea ENSCAPG00000016073
chinchilla_lanigera ENSCLAG00000001712
octodon_degus ENSODEG00000010710
fukomys_damarensis ENSFDAG00000012752
fukomys_damarensis ENSFDAG00000009121
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002979
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002258
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003845
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016719
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005117
urocitellus_parryii ENSUPAG00010003948
ictidomys_tridecemlineatus ENSSTOG00000000567
spermophilus_dauricus ENSSDAG00000022767
marmota_marmota_marmota ENSMMMG00000019037
oryctolagus_cuniculus ENSOCUG00000004712
microcebus_murinus ENSMICG00000006802
propithecus_coquereli ENSPCOG00000024488
prolemur_simus ENSPSMG00000022159
otolemur_garnettii ENSOGAG00000010359
rhinopithecus_bieti ENSRBIG00000035367
rhinopithecus_roxellana ENSRROG00000035884
colobus_angolensis_palliatus ENSCANG00000036725
cercocebus_atys ENSCATG00000042751
mandrillus_leucophaeus ENSMLEG00000043912
macaca_nemestrina ENSMNEG00000013770
macaca_fascicularis ENSMFAG00000002109
macaca_mulatta ENSMMUG00000008402
papio_anubis ENSPANG00000015567
pan_paniscus ENSPPAG00000012295
pan_troglodytes ENSPTRG00000001275
homo_sapiens ENSG00000143458
gorilla_gorilla ENSGGOG00000001029
pongo_abelii ENSPPYG00000000878
nomascus_leucogenys ENSNLEG00000033310
cebus_capucinus_imitator ENSCCAG00000035213
saimiri_boliviensis_boliviensis ENSSBOG00000029601
callithrix_jacchus ENSCJAG00000007146
aotus_nancymaae ENSANAG00000033560
piliocolobus_tephrosceles ENSPTEG00000029965
theropithecus_gelada ENSTGEG00000015035
carlito_syrichta ENSTSYG00000028238
rhinopithecus_bieti ENSRBIG00000027733
chlorocebus_sabaeus ENSCSAG00000001786
carlito_syrichta ENSTSYG00000026164
ochotona_princeps ENSOPRG00000005655
dasypus_novemcinctus ENSDNOG00000004312
procavia_capensis ENSPCAG00000002909
eptatretus_burgeri ENSEBUG00000001848
ciona_intestinalis ENSCING00000021010
ciona_savignyi ENSCSAVG00000004987
eptatretus_burgeri ENSEBUG00000015680
petromyzon_marinus ENSPMAG00000000377
xenopus_tropicalis ENSXETG00000005839
notechis_scutatus ENSNSUG00000004374
drosophila_melanogaster FBgn0052343
