mustela_putorius_furo ENSMPUG00000012406
neovison_vison ENSNVIG00000019129
ailuropoda_melanoleuca ENSAMEG00000004169
canis_lupus_familiaris ENSCAFG00000023600
pteropus_vampyrus ENSPVAG00000011266
myotis_lucifugus ENSMLUG00000000387
tursiops_truncatus ENSTTRG00000013152
ovis_aries ENSOARG00000018864
vicugna_pacos ENSVPAG00000009879
sorex_araneus ENSSARG00000011526
prolemur_simus ENSPSMG00000018194
otolemur_garnettii ENSOGAG00000014473
pan_troglodytes ENSPTRG00000028302
pan_paniscus ENSPPAG00000011197
homo_sapiens ENSG00000165164
gorilla_gorilla ENSGGOG00000039948
pongo_abelii ENSPPYG00000020231
nomascus_leucogenys ENSNLEG00000000347
mandrillus_leucophaeus ENSMLEG00000032276
cercocebus_atys ENSCATG00000029413
theropithecus_gelada ENSTGEG00000025271
macaca_nemestrina ENSMNEG00000032274
chlorocebus_sabaeus ENSCSAG00000014059
colobus_angolensis_palliatus ENSCANG00000028358
echinops_telfairi ENSETEG00000000763
procavia_capensis ENSPCAG00000008144
tupaia_belangeri ENSTBEG00000004026
erinaceus_europaeus ENSEEUG00000003582
dasypus_novemcinctus ENSDNOG00000031761
choloepus_hoffmanni ENSCHOG00000005171
procavia_capensis ENSPCAG00000001341
echinops_telfairi ENSETEG00000014642
chinchilla_lanigera ENSCLAG00000000292
cavia_porcellus ENSCPOG00000009716
fukomys_damarensis ENSFDAG00000002879
rattus_norvegicus ENSRNOG00000038383
mus_spicilegus ENSMSIG00000031693
cricetulus_griseus_crigri_1.0 ENSCGRG00000017449
urocitellus_parryii ENSUPAG00010016203
spermophilus_dauricus ENSSDAG00000001226
marmota_marmota_marmota ENSMMMG00000009784
ochotona_princeps ENSOPRG00000009230
pongo_abelii ENSPPYG00000020230
tupaia_belangeri ENSTBEG00000005078
tursiops_truncatus ENSTTRG00000013149
ovis_aries ENSOARG00000018826
vicugna_pacos ENSVPAG00000009878
pteropus_vampyrus ENSPVAG00000011265
sorex_araneus ENSSARG00000012899
ailuropoda_melanoleuca ENSAMEG00000006383
dasypus_novemcinctus ENSDNOG00000044714
carlito_syrichta ENSTSYG00000004475
ornithorhynchus_anatinus ENSOANG00000007105
anolis_carolinensis ENSACAG00000016075
lepisosteus_oculatus ENSLOCG00000010145
