lonchura_striata_domestica ENSLSDG00000007492
serinus_canaria ENSSCAG00000014658
calidris_pygmaea ENSCPGG00000006483
anas_platyrhynchos_platyrhynchos ENSAPLG00000024434
anser_brachyrhynchus ENSABRG00000009147
apteryx_rowi ENSARWG00000002397
apteryx_haastii ENSAHAG00000010707
apteryx_owenii ENSAOWG00000015491
dromaius_novaehollandiae ENSDNVG00000001034
coturnix_japonica ENSCJPG00005015488
chelonoidis_abingdonii ENSCABG00000003544
chrysemys_picta_bellii ENSCPBG00000015615
crocodylus_porosus ENSCPRG00005004409
notechis_scutatus ENSNSUG00000002352
gallus_gallus ENSGALG00000021686
numida_meleagris ENSNMEG00000003641
calidris_pugnax ENSCPUG00000006665
cyanistes_caeruleus ENSCCEG00000000509
nothoprocta_perdicaria ENSNPEG00000005375
pogona_vitticeps ENSPVIG00000012371
salvator_merianae ENSSMRG00000003352
sphenodon_punctatus ENSSPUG00000006942
gopherus_agassizii ENSGAGG00000019507
