junco_hyemalis ENSJHYG00000004164
zonotrichia_albicollis ENSZALG00000002296
ficedula_albicollis ENSFALG00000012068
lonchura_striata_domestica ENSLSDG00000010614
parus_major ENSPMJG00000011898
lepidothrix_coronata ENSLCOG00000009536
calidris_pygmaea ENSCPGG00000018463
calidris_pugnax ENSCPUG00000018011
gallus_gallus ENSGALG00000034303
coturnix_japonica ENSCJPG00005007176
anas_platyrhynchos_platyrhynchos ENSAPLG00000002096
anser_brachyrhynchus ENSABRG00000015623
dromaius_novaehollandiae ENSDNVG00000005456
sphenodon_punctatus ENSSPUG00000001489
phascolarctos_cinereus ENSPCIG00000010442
phascolarctos_cinereus ENSPCIG00000026765
notamacropus_eugenii ENSMEUG00000009491
monodelphis_domestica ENSMODG00000004629
ovis_aries ENSOARG00000013070
capra_hircus ENSCHIG00000014941
bos_taurus ENSBTAG00000048856
bos_mutus ENSBMUG00000005747
bison_bison_bison ENSBBBG00000004704
tursiops_truncatus ENSTTRG00000014976
sus_scrofa ENSSSCG00000027882
equus_caballus ENSECAG00000018196
equus_asinus_asinus ENSEASG00005006381
pteropus_vampyrus ENSPVAG00000009062
myotis_lucifugus ENSMLUG00000014850
panthera_pardus ENSPPRG00000011552
felis_catus ENSFCAG00000041456
ursus_americanus ENSUAMG00000015510
ailuropoda_melanoleuca ENSAMEG00000010245
neovison_vison ENSNVIG00000017748
callithrix_jacchus ENSCJAG00000040891
cebus_capucinus_imitator ENSCCAG00000028709
aotus_nancymaae ENSANAG00000033392
gorilla_gorilla ENSGGOG00000003776
homo_sapiens ENSG00000162817
pan_troglodytes ENSPTRG00000047775
pan_paniscus ENSPPAG00000042551
pongo_abelii ENSPPYG00000000205
nomascus_leucogenys ENSNLEG00000027698
theropithecus_gelada ENSTGEG00000005812
papio_anubis ENSPANG00000015347
macaca_fascicularis ENSMFAG00000037316
macaca_nemestrina ENSMNEG00000043488
macaca_mulatta ENSMMUG00000023478
chlorocebus_sabaeus ENSCSAG00000015864
cercocebus_atys ENSCATG00000043440
mandrillus_leucophaeus ENSMLEG00000036411
piliocolobus_tephrosceles ENSPTEG00000003157
colobus_angolensis_palliatus ENSCANG00000037871
rhinopithecus_roxellana ENSRROG00000045358
rhinopithecus_bieti ENSRBIG00000022485
carlito_syrichta ENSTSYG00000027700
propithecus_coquereli ENSPCOG00000013624
microcebus_murinus ENSMICG00000038121
prolemur_simus ENSPSMG00000007827
otolemur_garnettii ENSOGAG00000027719
mus_spicilegus ENSMSIG00000000144
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015018
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015818
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039349
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028250
rattus_norvegicus ENSRNOG00000002322
meriones_unguiculatus ENSMUGG00000010699
cricetulus_griseus_crigri-picr ENSCGRG00015008929
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013262
mesocricetus_auratus ENSMAUG00000014190
peromyscus_maniculatus_bairdii ENSPEMG00000031099
microtus_ochrogaster ENSMOCG00000017582
nannospalax_galili ENSNGAG00000008919
jaculus_jaculus ENSJJAG00000022955
castor_canadensis ENSCCNG00000025360
dipodomys_ordii ENSDORG00000028858
marmota_marmota_marmota ENSMMMG00000024185
urocitellus_parryii ENSUPAG00010009923
ictidomys_tridecemlineatus ENSSTOG00000029139
spermophilus_dauricus ENSSDAG00000009909
oryctolagus_cuniculus ENSOCUG00000026893
ochotona_princeps ENSOPRG00000014585
loxodonta_africana ENSLAFG00000015727
procavia_capensis ENSPCAG00000001087
ornithorhynchus_anatinus ENSOANG00000001432
latimeria_chalumnae ENSLACG00000013332
oryzias_latipes_asm223471v1 ENSORLG00020005175
oryzias_latipes_asm223467v1 ENSORLG00000030505
oryzias_latipes_asm223469v1 ENSORLG00015008780
oryzias_melastigma ENSOMEG00000016457
seriola_dumerili ENSSDUG00000005918
danio_rerio ENSDARG00000074809
pygocentrus_nattereri ENSPNAG00000026882
danio_rerio ENSDARG00000093702
poecilia_formosa ENSPFOG00000023123
poecilia_mexicana ENSPMEG00000014363
poecilia_latipinna ENSPLAG00000016033
amphiprion_percula ENSAPEG00000005377
lepisosteus_oculatus ENSLOCG00000017234
