microcebus_murinus ENSMICG00000047914
prolemur_simus ENSPSMG00000025093
propithecus_coquereli ENSPCOG00000026278
tupaia_belangeri ENSTBEG00000010683
urocitellus_parryii ENSUPAG00010012515
spermophilus_dauricus ENSSDAG00000008809
marmota_marmota_marmota ENSMMMG00000019852
castor_canadensis ENSCCNG00000009805
mus_spicilegus ENSMSIG00000018578
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015083
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055197
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014277
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027515
rattus_norvegicus ENSRNOG00000017856
meriones_unguiculatus ENSMUGG00000004009
cricetulus_griseus_crigri-picr ENSCGRG00015003723
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022388
mesocricetus_auratus ENSMAUG00000007309
microtus_ochrogaster ENSMOCG00000007062
peromyscus_maniculatus_bairdii ENSPEMG00000030849
nannospalax_galili ENSNGAG00000022934
jaculus_jaculus ENSJJAG00000014165
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018329
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017662
cavia_porcellus ENSCPOG00000021229
octodon_degus ENSODEG00000008014
chinchilla_lanigera ENSCLAG00000007374
ictidomys_tridecemlineatus ENSSTOG00000020252
oryctolagus_cuniculus ENSOCUG00000021953
pan_troglodytes ENSPTRG00000045039
pan_paniscus ENSPPAG00000018034
gorilla_gorilla ENSGGOG00000010787
homo_sapiens ENSG00000163497
pongo_abelii ENSPPYG00000013189
nomascus_leucogenys ENSNLEG00000009001
piliocolobus_tephrosceles ENSPTEG00000039188
colobus_angolensis_palliatus ENSCANG00000016004
rhinopithecus_bieti ENSRBIG00000045018
rhinopithecus_roxellana ENSRROG00000024839
mandrillus_leucophaeus ENSMLEG00000035968
papio_anubis ENSPANG00000017464
macaca_nemestrina ENSMNEG00000044702
macaca_fascicularis ENSMFAG00000000657
cercocebus_atys ENSCATG00000042120
theropithecus_gelada ENSTGEG00000011721
chlorocebus_sabaeus ENSCSAG00000008586
cebus_capucinus_imitator ENSCCAG00000034592
saimiri_boliviensis_boliviensis ENSSBOG00000031391
callithrix_jacchus ENSCJAG00000042167
aotus_nancymaae ENSANAG00000022907
ovis_aries ENSOARG00000019766
capra_hircus ENSCHIG00000015312
bos_taurus ENSBTAG00000020191
bos_mutus ENSBMUG00000026019
tursiops_truncatus ENSTTRG00000009999
sus_scrofa ENSSSCG00000035988
myotis_lucifugus ENSMLUG00000011400
equus_caballus ENSECAG00000016026
equus_asinus_asinus ENSEASG00005013506
mustela_putorius_furo ENSMPUG00000016552
neovison_vison ENSNVIG00000022682
ursus_americanus ENSUAMG00000014531
canis_lupus_dingo ENSCAFG00020027037
felis_catus ENSFCAG00000045613
panthera_pardus ENSPPRG00000009437
echinops_telfairi ENSETEG00000014588
dasypus_novemcinctus ENSDNOG00000015239
