saimiri_boliviensis_boliviensis ENSSBOG00000029975
cebus_capucinus_imitator ENSCCAG00000021801
aotus_nancymaae ENSANAG00000024336
theropithecus_gelada ENSTGEG00000027679
papio_anubis ENSPANG00000033910
macaca_nemestrina ENSMNEG00000017520
macaca_mulatta ENSMMUG00000043378
macaca_fascicularis ENSMFAG00000019558
colobus_angolensis_palliatus ENSCANG00000038347
rhinopithecus_roxellana ENSRROG00000007228
rhinopithecus_bieti ENSRBIG00000014035
colobus_angolensis_palliatus ENSCANG00000038267
theropithecus_gelada ENSTGEG00000027688
pan_troglodytes ENSPTRG00000013836
pan_paniscus ENSPPAG00000032202
gorilla_gorilla ENSGGOG00000043970
gorilla_gorilla ENSGGOG00000001838
homo_sapiens ENSG00000186977
pongo_abelii ENSPPYG00000011338
carlito_syrichta ENSTSYG00000002412
prolemur_simus ENSPSMG00000007160
bos_mutus ENSBMUG00000026458
bison_bison_bison ENSBBBG00000012661
felis_catus ENSFCAG00000044000
