homo_sapiens ENSG00000204969
rhinopithecus_bieti ENSRBIG00000043789
carlito_syrichta ENSTSYG00000004840
propithecus_coquereli ENSPCOG00000021548
otolemur_garnettii ENSOGAG00000029087
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023055
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000104148
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022142
mus_spicilegus ENSMSIG00000031698
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018876
rattus_norvegicus ENSRNOG00000045960
cricetulus_griseus_crigri_1.0 ENSCGRG00000012460
nannospalax_galili ENSNGAG00000011038
castor_canadensis ENSCCNG00000009757
bos_taurus ENSBTAG00000046190
bison_bison_bison ENSBBBG00000011662
capra_hircus ENSCHIG00000012794
ovis_aries ENSOARG00000013733
tursiops_truncatus ENSTTRG00000001785
myotis_lucifugus ENSMLUG00000013985
equus_asinus_asinus ENSEASG00005018078
ochotona_princeps ENSOPRG00000015536
dasypus_novemcinctus ENSDNOG00000000875
