sphenodon_punctatus ENSSPUG00000016900
pogona_vitticeps ENSPVIG00000021758
numida_meleagris ENSNMEG00000014700
anas_platyrhynchos_platyrhynchos ENSAPLG00000003629
calidris_pygmaea ENSCPGG00000010938
ficedula_albicollis ENSFALG00000013459
parus_major ENSPMJG00000017059
lonchura_striata_domestica ENSLSDG00000012378
manacus_vitellinus ENSMVIG00005007959
lepidothrix_coronata ENSLCOG00000009012
apteryx_rowi ENSARWG00000009289
apteryx_owenii ENSAOWG00000000542
phascolarctos_cinereus ENSPCIG00000006473
notamacropus_eugenii ENSMEUG00000011328
monodelphis_domestica ENSMODG00000018564
sarcophilus_harrisii ENSSHAG00000008437
otolemur_garnettii ENSOGAG00000004032
propithecus_coquereli ENSPCOG00000017987
pan_troglodytes ENSPTRG00000015444
pan_paniscus ENSPPAG00000041110
gorilla_gorilla ENSGGOG00000034930
homo_sapiens ENSG00000181322
pongo_abelii ENSPPYG00000014141
nomascus_leucogenys ENSNLEG00000004183
theropithecus_gelada ENSTGEG00000010706
cercocebus_atys ENSCATG00000037084
mandrillus_leucophaeus ENSMLEG00000041761
papio_anubis ENSPANG00000009487
macaca_mulatta ENSMMUG00000007755
macaca_fascicularis ENSMFAG00000032445
macaca_nemestrina ENSMNEG00000032513
chlorocebus_sabaeus ENSCSAG00000010999
rhinopithecus_bieti ENSRBIG00000032421
rhinopithecus_roxellana ENSRROG00000035400
piliocolobus_tephrosceles ENSPTEG00000004228
colobus_angolensis_palliatus ENSCANG00000033124
cebus_capucinus_imitator ENSCCAG00000022017
callithrix_jacchus ENSCJAG00000002391
saimiri_boliviensis_boliviensis ENSSBOG00000026799
aotus_nancymaae ENSANAG00000021464
tupaia_belangeri ENSTBEG00000000780
peromyscus_maniculatus_bairdii ENSPEMG00000028368
cricetulus_griseus_crigri-picr ENSCGRG00015004908
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046242
mus_spicilegus ENSMSIG00000014688
rattus_norvegicus ENSRNOG00000031523
meriones_unguiculatus ENSMUGG00000004412
castor_canadensis ENSCCNG00000022581
cavia_porcellus ENSCPOG00000008114
chinchilla_lanigera ENSCLAG00000002070
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016377
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014916
spermophilus_dauricus ENSSDAG00000007464
marmota_marmota_marmota ENSMMMG00000017916
urocitellus_parryii ENSUPAG00010007598
ictidomys_tridecemlineatus ENSSTOG00000007197
oryctolagus_cuniculus ENSOCUG00000015151
pteropus_vampyrus ENSPVAG00000004765
myotis_lucifugus ENSMLUG00000001649
canis_lupus_familiaris ENSCAFG00000007538
canis_lupus_dingo ENSCAFG00020008081
vulpes_vulpes ENSVVUG00000026576
neovison_vison ENSNVIG00000022983
mustela_putorius_furo ENSMPUG00000009189
panthera_tigris_altaica ENSPTIG00000018528
panthera_pardus ENSPPRG00000006754
felis_catus ENSFCAG00000001955
bos_mutus ENSBMUG00000006611
bos_taurus ENSBTAG00000012850
bison_bison_bison ENSBBBG00000015880
capra_hircus ENSCHIG00000014298
ovis_aries ENSOARG00000007494
tursiops_truncatus ENSTTRG00000004048
sus_scrofa ENSSSCG00000037044
vicugna_pacos ENSVPAG00000011717
equus_asinus_asinus ENSEASG00005003781
equus_caballus ENSECAG00000029387
loxodonta_africana ENSLAFG00000027731
procavia_capensis ENSPCAG00000002882
dasypus_novemcinctus ENSDNOG00000017421
choloepus_hoffmanni ENSCHOG00000011343
echinops_telfairi ENSETEG00000014737
carlito_syrichta ENSTSYG00000004035
ochotona_princeps ENSOPRG00000015676
fukomys_damarensis ENSFDAG00000013937
octodon_degus ENSODEG00000018119
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016018
mesocricetus_auratus ENSMAUG00000011669
ursus_americanus ENSUAMG00000004631
ursus_maritimus ENSUMAG00000014994
erinaceus_europaeus ENSEEUG00000007343
ornithorhynchus_anatinus ENSOANG00000015676
chelonoidis_abingdonii ENSCABG00000015757
chrysemys_picta_bellii ENSCPBG00000007494
ornithorhynchus_anatinus ENSOANG00000031058
