salvator_merianae ENSSMRG00000004840
notechis_scutatus ENSNSUG00000009419
sphenodon_punctatus ENSSPUG00000005728
nothoprocta_perdicaria ENSNPEG00000014655
equus_caballus ENSECAG00000038436
capra_hircus ENSCHIG00000019202
erinaceus_europaeus ENSEEUG00000007946
vulpes_vulpes ENSVVUG00000001859
canis_lupus_dingo ENSCAFG00020024088
neovison_vison ENSNVIG00000015901
dasypus_novemcinctus ENSDNOG00000015881
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027098
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028094
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029283
haplochromis_burtoni ENSHBUG00000012661
pundamilia_nyererei ENSPNYG00000000394
cyprinodon_variegatus ENSCVAG00000003508
hippocampus_comes ENSHCOG00000008438
seriola_dumerili ENSSDUG00000018689
