ailuropoda_melanoleuca ENSAMEG00000005003
neovison_vison ENSNVIG00000012973
canis_lupus_familiaris ENSCAFG00000004810
panthera_tigris_altaica ENSPTIG00000008290
panthera_pardus ENSPPRG00000004116
felis_catus ENSFCAG00000040968
myotis_lucifugus ENSMLUG00000016757
pteropus_vampyrus ENSPVAG00000017840
pan_troglodytes ENSPTRG00000011060
pan_paniscus ENSPPAG00000000614
homo_sapiens ENSG00000189377
gorilla_gorilla ENSGGOG00000000763
pongo_abelii ENSPPYG00000010049
nomascus_leucogenys ENSNLEG00000010731
piliocolobus_tephrosceles ENSPTEG00000024936
colobus_angolensis_palliatus ENSCANG00000035357
rhinopithecus_bieti ENSRBIG00000034024
rhinopithecus_roxellana ENSRROG00000032330
theropithecus_gelada ENSTGEG00000020540
papio_anubis ENSPANG00000011863
macaca_fascicularis ENSMFAG00000044975
macaca_nemestrina ENSMNEG00000034675
chlorocebus_sabaeus ENSCSAG00000003434
cercocebus_atys ENSCATG00000040602
mandrillus_leucophaeus ENSMLEG00000031431
cebus_capucinus_imitator ENSCCAG00000027291
callithrix_jacchus ENSCJAG00000012985
saimiri_boliviensis_boliviensis ENSSBOG00000027519
aotus_nancymaae ENSANAG00000034293
carlito_syrichta ENSTSYG00000009285
propithecus_coquereli ENSPCOG00000012786
microcebus_murinus ENSMICG00000047306
marmota_marmota_marmota ENSMMMG00000018960
spermophilus_dauricus ENSSDAG00000005872
ictidomys_tridecemlineatus ENSSTOG00000011599
urocitellus_parryii ENSUPAG00010001506
castor_canadensis ENSCCNG00000020032
chinchilla_lanigera ENSCLAG00000001312
octodon_degus ENSODEG00000010054
cavia_porcellus ENSCPOG00000039366
fukomys_damarensis ENSFDAG00000010661
microtus_ochrogaster ENSMOCG00000013452
peromyscus_maniculatus_bairdii ENSPEMG00000013212
mesocricetus_auratus ENSMAUG00000016706
cricetulus_griseus_crigri-picr ENSCGRG00015020970
mus_spicilegus ENSMSIG00000012187
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000060188
rattus_norvegicus ENSRNOG00000037814
meriones_unguiculatus ENSMUGG00000025600
oryctolagus_cuniculus ENSOCUG00000021666
ochotona_princeps ENSOPRG00000001522
tupaia_belangeri ENSTBEG00000007898
bos_taurus ENSBTAG00000018652
bos_mutus ENSBMUG00000026713
capra_hircus ENSCHIG00000023941
tursiops_truncatus ENSTTRG00000013922
sus_scrofa ENSSSCG00000003048
sus_scrofa ENSSSCG00000037422
vicugna_pacos ENSVPAG00000001601
sorex_araneus ENSSARG00000010119
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029369
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030466
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021222
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017481
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013370
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009638
equus_caballus ENSECAG00000028908
equus_asinus_asinus ENSEASG00005003441
equus_asinus_asinus ENSEASG00005006278
equus_caballus ENSECAG00000000790
equus_asinus_asinus ENSEASG00005006288
equus_caballus ENSECAG00000039720
ursus_americanus ENSUAMG00000010686
canis_lupus_dingo ENSCAFG00020014150
ursus_maritimus ENSUMAG00000001950
choloepus_hoffmanni ENSCHOG00000011907
dasypus_novemcinctus ENSDNOG00000012894
procavia_capensis ENSPCAG00000017044
echinops_telfairi ENSETEG00000009939
loxodonta_africana ENSLAFG00000016397
