haplochromis_burtoni ENSHBUG00000022251
maylandia_zebra ENSMZEG00005005952
astatotilapia_calliptera ENSACLG00000010322
pundamilia_nyererei ENSPNYG00000023445
amphilophus_citrinellus ENSACIG00000018951
kryptolebias_marmoratus ENSKMAG00000006547
stegastes_partitus ENSSPAG00000008735
acanthochromis_polyacanthus ENSAPOG00000001728
seriola_lalandi_dorsalis ENSSLDG00000000141
seriola_lalandi_dorsalis ENSSLDG00000020929
seriola_lalandi_dorsalis ENSSLDG00000007152
seriola_dumerili ENSSDUG00000003546
scophthalmus_maximus ENSSMAG00000016434
labrus_bergylta ENSLBEG00000025178
esox_lucius ENSELUG00000014025
astyanax_mexicanus ENSAMXG00000034554
