serinus_canaria ENSSCAG00000001404
zonotrichia_albicollis ENSZALG00000000737
calidris_pugnax ENSCPUG00000014316
pogona_vitticeps ENSPVIG00000002278
notamacropus_eugenii ENSMEUG00000000878
sarcophilus_harrisii ENSSHAG00000012646
sus_scrofa ENSSSCG00000017537
pteropus_vampyrus ENSPVAG00000015529
canis_lupus_dingo ENSCAFG00020023306
canis_lupus_familiaris ENSCAFG00000016860
vulpes_vulpes ENSVVUG00000003366
mustela_putorius_furo ENSMPUG00000015329
neovison_vison ENSNVIG00000006066
ursus_americanus ENSUAMG00000021909
ailuropoda_melanoleuca ENSAMEG00000004982
felis_catus ENSFCAG00000036979
panthera_pardus ENSPPRG00000001156
bos_taurus ENSBTAG00000054162
bos_mutus ENSBMUG00000000824
ovis_aries ENSOARG00000006882
capra_hircus ENSCHIG00000015504
tursiops_truncatus ENSTTRG00000012260
ursus_maritimus ENSUMAG00000015785
equus_asinus_asinus ENSEASG00005000545
equus_caballus ENSECAG00000034473
urocitellus_parryii ENSUPAG00010006310
ictidomys_tridecemlineatus ENSSTOG00000028337
castor_canadensis ENSCCNG00000006193
prolemur_simus ENSPSMG00000020227
propithecus_coquereli ENSPCOG00000024853
microcebus_murinus ENSMICG00000045961
otolemur_garnettii ENSOGAG00000029480
cricetulus_griseus_crigri-picr ENSCGRG00015020053
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020235
cricetulus_griseus_crigri_1.0 ENSCGRG00000016358
mesocricetus_auratus ENSMAUG00000012636
microtus_ochrogaster ENSMOCG00000018435
peromyscus_maniculatus_bairdii ENSPEMG00000009824
mus_spicilegus ENSMSIG00000018807
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017871
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017025
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056648
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018155
rattus_norvegicus ENSRNOG00000007585
nannospalax_galili ENSNGAG00000010647
jaculus_jaculus ENSJJAG00000002398
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006313
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006564
dipodomys_ordii ENSDORG00000007906
oryctolagus_cuniculus ENSOCUG00000029186
octodon_degus ENSODEG00000017119
homo_sapiens ENSG00000120068
gorilla_gorilla ENSGGOG00000039810
pan_troglodytes ENSPTRG00000048497
pan_paniscus ENSPPAG00000034804
macaca_nemestrina ENSMNEG00000034944
macaca_fascicularis ENSMFAG00000033418
macaca_mulatta ENSMMUG00000020868
cercocebus_atys ENSCATG00000025318
theropithecus_gelada ENSTGEG00000000585
mandrillus_leucophaeus ENSMLEG00000007179
papio_anubis ENSPANG00000022895
chlorocebus_sabaeus ENSCSAG00000002523
colobus_angolensis_palliatus ENSCANG00000018620
piliocolobus_tephrosceles ENSPTEG00000032684
rhinopithecus_bieti ENSRBIG00000043329
rhinopithecus_roxellana ENSRROG00000045349
callithrix_jacchus ENSCJAG00000045730
saimiri_boliviensis_boliviensis ENSSBOG00000034884
cebus_capucinus_imitator ENSCCAG00000026051
aotus_nancymaae ENSANAG00000028346
loxodonta_africana ENSLAFG00000030682
meleagris_gallopavo ENSMGAG00000002528
cyanistes_caeruleus ENSCCEG00000018578
ornithorhynchus_anatinus ENSOANG00000014689
gopherus_agassizii ENSGAGG00000018038
chelonoidis_abingdonii ENSCABG00000002750
chrysemys_picta_bellii ENSCPBG00000027340
crocodylus_porosus ENSCPRG00005007236
pogona_vitticeps ENSPVIG00000016454
anolis_carolinensis ENSACAG00000006423
notechis_scutatus ENSNSUG00000007442
notechis_scutatus ENSNSUG00000017661
salvator_merianae ENSSMRG00000021836
anas_platyrhynchos_platyrhynchos ENSAPLG00000013614
anser_brachyrhynchus ENSABRG00000000461
calidris_pygmaea ENSCPGG00000015483
gallus_gallus ENSGALG00000040320
coturnix_japonica ENSCJPG00005019366
numida_meleagris ENSNMEG00000005380
melopsittacus_undulatus ENSMUNG00000016361
lepidothrix_coronata ENSLCOG00000001574
manacus_vitellinus ENSMVIG00005005174
apteryx_haastii ENSAHAG00000013777
apteryx_rowi ENSARWG00000000703
apteryx_owenii ENSAOWG00000009768
dromaius_novaehollandiae ENSDNVG00000003435
nothoprocta_perdicaria ENSNPEG00000010703
parus_major ENSPMJG00000004120
ficedula_albicollis ENSFALG00000000252
lonchura_striata_domestica ENSLSDG00000010378
taeniopygia_guttata ENSTGUG00000003441
junco_hyemalis ENSJHYG00000007479
pelodiscus_sinensis ENSPSIG00000007118
sphenodon_punctatus ENSSPUG00000006333
xenopus_tropicalis ENSXETG00000021993
latimeria_chalumnae ENSLACG00000015099
scleropages_formosus ENSSFOG00015002177
paramormyrops_kingsleyae ENSPKIG00000000388
pygocentrus_nattereri ENSPNAG00000013181
astyanax_mexicanus ENSAMXG00000041262
ictalurus_punctatus ENSIPUG00000019532
danio_rerio ENSDARG00000054025
tetraodon_nigroviridis ENSTNIG00000005016
gambusia_affinis ENSGAFG00000006563
oryzias_latipes_asm223467v1 ENSORLG00000026759
oryzias_latipes_asm223469v1 ENSORLG00015011485
oryzias_latipes_asm223471v1 ENSORLG00020019176
fundulus_heteroclitus ENSFHEG00000013496
cyprinodon_variegatus ENSCVAG00000001110
poecilia_mexicana ENSPMEG00000014100
poecilia_formosa ENSPFOG00000003853
poecilia_latipinna ENSPLAG00000003301
poecilia_reticulata ENSPREG00000006767
xiphophorus_maculatus ENSXMAG00000027358
pundamilia_nyererei ENSPNYG00000022869
neolamprologus_brichardi ENSNBRG00000009838
seriola_lalandi_dorsalis ENSSLDG00000012246
cynoglossus_semilaevis ENSCSEG00000012733
amphiprion_ocellaris ENSAOCG00000013237
amphiprion_percula ENSAPEG00000000511
acanthochromis_polyacanthus ENSAPOG00000001432
astatotilapia_calliptera ENSACLG00000003429
maylandia_zebra ENSMZEG00005023045
haplochromis_burtoni ENSHBUG00000013281
oreochromis_niloticus ENSONIG00000006182
amphilophus_citrinellus ENSACIG00000012892
mastacembelus_armatus ENSMAMG00000001168
anabas_testudineus ENSATEG00000009632
seriola_dumerili ENSSDUG00000017453
scophthalmus_maximus ENSSMAG00000016133
mola_mola ENSMMOG00000005241
hippocampus_comes ENSHCOG00000008293
labrus_bergylta ENSLBEG00000010339
periophthalmus_magnuspinnatus ENSPMGG00000021617
monopterus_albus ENSMALG00000001416
kryptolebias_marmoratus ENSKMAG00000020145
oryzias_melastigma ENSOMEG00000011855
xiphophorus_couchianus ENSXCOG00000009600
stegastes_partitus ENSSPAG00000003685
takifugu_rubripes ENSTRUG00000022871
gadus_morhua ENSGMOG00000009855
esox_lucius ENSELUG00000014798
pygocentrus_nattereri ENSPNAG00000015517
astyanax_mexicanus ENSAMXG00000037495
ictalurus_punctatus ENSIPUG00000002469
danio_rerio ENSDARG00000056027
scleropages_formosus ENSSFOG00015005069
lepisosteus_oculatus ENSLOCG00000013451
lepisosteus_oculatus ENSLOCG00000007085
latimeria_chalumnae ENSLACG00000009061
eptatretus_burgeri ENSEBUG00000011948
eptatretus_burgeri ENSEBUG00000007943
eptatretus_burgeri ENSEBUG00000005321
