astyanax_mexicanus ENSAMXG00000013813
pygocentrus_nattereri ENSPNAG00000010974
ictalurus_punctatus ENSIPUG00000009094
danio_rerio ENSDARG00000004870
takifugu_rubripes ENSTRUG00000002589
tetraodon_nigroviridis ENSTNIG00000003044
mola_mola ENSMMOG00000000441
gasterosteus_aculeatus ENSGACG00000005327
labrus_bergylta ENSLBEG00000028410
cyprinodon_variegatus ENSCVAG00000016298
fundulus_heteroclitus ENSFHEG00000010404
poecilia_formosa ENSPFOG00000023620
poecilia_mexicana ENSPMEG00000006122
poecilia_reticulata ENSPREG00000008635
poecilia_latipinna ENSPLAG00000020863
gambusia_affinis ENSGAFG00000017955
xiphophorus_maculatus ENSXMAG00000009187
kryptolebias_marmoratus ENSKMAG00000016744
pundamilia_nyererei ENSPNYG00000010399
maylandia_zebra ENSMZEG00005011306
astatotilapia_calliptera ENSACLG00000000313
haplochromis_burtoni ENSHBUG00000019449
neolamprologus_brichardi ENSNBRG00000004519
oreochromis_niloticus ENSONIG00000000378
amphilophus_citrinellus ENSACIG00000012134
amphiprion_ocellaris ENSAOCG00000007965
amphiprion_percula ENSAPEG00000006847
acanthochromis_polyacanthus ENSAPOG00000003991
stegastes_partitus ENSSPAG00000002577
scophthalmus_maximus ENSSMAG00000009396
cynoglossus_semilaevis ENSCSEG00000009722
seriola_dumerili ENSSDUG00000001260
seriola_lalandi_dorsalis ENSSLDG00000011285
mastacembelus_armatus ENSMAMG00000000138
monopterus_albus ENSMALG00000022357
anabas_testudineus ENSATEG00000019904
oryzias_latipes_asm223469v1 ENSORLG00015022179
oryzias_latipes_asm223467v1 ENSORLG00000022179
oryzias_latipes_asm223471v1 ENSORLG00020002140
oryzias_melastigma ENSOMEG00000021438
hippocampus_comes ENSHCOG00000018868
periophthalmus_magnuspinnatus ENSPMGG00000021034
gadus_morhua ENSGMOG00000005908
esox_lucius ENSELUG00000022245
scleropages_formosus ENSSFOG00015006513
paramormyrops_kingsleyae ENSPKIG00000007791
lepisosteus_oculatus ENSLOCG00000013357
latimeria_chalumnae ENSLACG00000011253
ornithorhynchus_anatinus ENSOANG00000031761
loxodonta_africana ENSLAFG00000001076
echinops_telfairi ENSETEG00000017042
procavia_capensis ENSPCAG00000000289
dasypus_novemcinctus ENSDNOG00000030820
choloepus_hoffmanni ENSCHOG00000010266
pan_paniscus ENSPPAG00000038712
pan_troglodytes ENSPTRG00000006510
homo_sapiens ENSG00000080815
gorilla_gorilla ENSGGOG00000002132
pongo_abelii ENSPPYG00000005967
nomascus_leucogenys ENSNLEG00000002855
colobus_angolensis_palliatus ENSCANG00000036395
piliocolobus_tephrosceles ENSPTEG00000029757
mandrillus_leucophaeus ENSMLEG00000033881
theropithecus_gelada ENSTGEG00000022269
macaca_fascicularis ENSMFAG00000000113
macaca_nemestrina ENSMNEG00000037289
macaca_mulatta ENSMMUG00000010173
cercocebus_atys ENSCATG00000038778
chlorocebus_sabaeus ENSCSAG00000012773
saimiri_boliviensis_boliviensis ENSSBOG00000023450
cebus_capucinus_imitator ENSCCAG00000036998
aotus_nancymaae ENSANAG00000026358
rhinopithecus_roxellana ENSRROG00000023023
rhinopithecus_bieti ENSRBIG00000019293
papio_anubis ENSPANG00000006859
callithrix_jacchus ENSCJAG00000014387
carlito_syrichta ENSTSYG00000008434
propithecus_coquereli ENSPCOG00000018929
microcebus_murinus ENSMICG00000017923
prolemur_simus ENSPSMG00000016104
otolemur_garnettii ENSOGAG00000031643
castor_canadensis ENSCCNG00000006061
dipodomys_ordii ENSDORG00000001780
mus_spicilegus ENSMSIG00000002158
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018767
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019969
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017922
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029678
rattus_norvegicus ENSRNOG00000009110
meriones_unguiculatus ENSMUGG00000021848
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006926
cricetulus_griseus_crigri-picr ENSCGRG00015028260
cricetulus_griseus_crigri_1.0 ENSCGRG00000012973
