serinus_canaria ENSSCAG00000017096
taeniopygia_guttata ENSTGUG00000008242
zonotrichia_albicollis ENSZALG00000012882
gallus_gallus ENSGALG00000041346
numida_meleagris ENSNMEG00000000675
cyanistes_caeruleus ENSCCEG00000017415
parus_major ENSPMJG00000016047
junco_hyemalis ENSJHYG00000018114
ficedula_albicollis ENSFALG00000007570
lonchura_striata_domestica ENSLSDG00000016739
lepidothrix_coronata ENSLCOG00000006701
calidris_pygmaea ENSCPGG00000017936
calidris_pugnax ENSCPUG00000008048
coturnix_japonica ENSCJPG00005018898
meleagris_gallopavo ENSMGAG00000008155
melopsittacus_undulatus ENSMUNG00000006173
nothoprocta_perdicaria ENSNPEG00000013242
dromaius_novaehollandiae ENSDNVG00000005428
anas_platyrhynchos_platyrhynchos ENSAPLG00000015341
anser_brachyrhynchus ENSABRG00000012153
manacus_vitellinus ENSMVIG00005017112
apteryx_owenii ENSAOWG00000002914
apteryx_rowi ENSARWG00000015317
apteryx_haastii ENSAHAG00000015306
crocodylus_porosus ENSCPRG00005017813
chelonoidis_abingdonii ENSCABG00000005882
chrysemys_picta_bellii ENSCPBG00000012816
pelodiscus_sinensis ENSPSIG00000015057
gopherus_agassizii ENSGAGG00000002869
sphenodon_punctatus ENSSPUG00000009409
ictidomys_tridecemlineatus ENSSTOG00000005950
spermophilus_dauricus ENSSDAG00000017653
urocitellus_parryii ENSUPAG00010022161
marmota_marmota_marmota ENSMMMG00000019552
chinchilla_lanigera ENSCLAG00000005470
octodon_degus ENSODEG00000005442
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018209
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000333
fukomys_damarensis ENSFDAG00000017908
cavia_porcellus ENSCPOG00000031203
cavia_aperea ENSCAPG00000016155
carlito_syrichta ENSTSYG00000031010
pteropus_vampyrus ENSPVAG00000009351
myotis_lucifugus ENSMLUG00000010726
panthera_tigris_altaica ENSPTIG00000006765
panthera_pardus ENSPPRG00000002910
felis_catus ENSFCAG00000036777
ursus_americanus ENSUAMG00000013702
ursus_maritimus ENSUMAG00000016431
ailuropoda_melanoleuca ENSAMEG00000013850
mustela_putorius_furo ENSMPUG00000017297
ursus_americanus ENSUAMG00000013703
canis_lupus_dingo ENSCAFG00020025246
canis_lupus_familiaris ENSCAFG00000007026
vulpes_vulpes ENSVVUG00000021238
equus_asinus_asinus ENSEASG00005006912
equus_caballus ENSECAG00000019551
bos_mutus ENSBMUG00000007158
bos_taurus ENSBTAG00000005077
bison_bison_bison ENSBBBG00000009574
sorex_araneus ENSSARG00000000676
erinaceus_europaeus ENSEEUG00000002484
neovison_vison ENSNVIG00000019903
jaculus_jaculus ENSJJAG00000008365
echinops_telfairi ENSETEG00000010093
tupaia_belangeri ENSTBEG00000011081
oryctolagus_cuniculus ENSOCUG00000029076
otolemur_garnettii ENSOGAG00000025681
capra_hircus ENSCHIG00000010998
ovis_aries ENSOARG00000002991
sus_scrofa ENSSSCG00000034973
tursiops_truncatus ENSTTRG00000008397
choloepus_hoffmanni ENSCHOG00000007944
procavia_capensis ENSPCAG00000010800
castor_canadensis ENSCCNG00000030026
dipodomys_ordii ENSDORG00000027232
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000061353
mus_spicilegus ENSMSIG00000028010
