urocitellus_parryii ENSUPAG00010017111
spermophilus_dauricus ENSSDAG00000000922
marmota_marmota_marmota ENSMMMG00000024472
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022628
mus_spicilegus ENSMSIG00000031764
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021545
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021716
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020706
rattus_norvegicus ENSRNOG00000040095
rattus_norvegicus ENSRNOG00000050818
meriones_unguiculatus ENSMUGG00000018234
peromyscus_maniculatus_bairdii ENSPEMG00000010780
microtus_ochrogaster ENSMOCG00000013855
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013027
cricetulus_griseus_crigri-picr ENSCGRG00015024762
cricetulus_griseus_crigri_1.0 ENSCGRG00000016490
mesocricetus_auratus ENSMAUG00000015408
nannospalax_galili ENSNGAG00000012918
oryctolagus_cuniculus ENSOCUG00000029152
mustela_putorius_furo ENSMPUG00000013610
neovison_vison ENSNVIG00000013230
ursus_americanus ENSUAMG00000012075
ursus_maritimus ENSUMAG00000012179
bos_taurus ENSBTAG00000050887
bos_mutus ENSBMUG00000024281
bison_bison_bison ENSBBBG00000017366
capra_hircus ENSCHIG00000023956
equus_caballus ENSECAG00000030508
equus_asinus_asinus ENSEASG00005003011
